RECORD,T1,T2,T3,T4,T5,AVG,CPU_EWMA,T1,T2,T3,T4,T5,AVG,MEM_EWMA,LABEL
3,113,109,102,125,112,112.2,112.2,6.2,3.4,5.4,5.1,6.2,5.26,5.26,0
6,100,106,119,103,122,110,110.55,6.8,4.5,5.9,5.3,7.3,5.96,5.79,0
9,110,119,115,110,103,111.4,111.19,6.2,4.6,6,6.3,6.2,5.86,5.84,0
12,110,119,113,125,115,116.4,115.1,6.4,4.3,5.5,7.5,6.2,5.98,5.95,0
15,106,126,112,112,109,113,113.52,6.4,4.2,5.6,6.6,4.9,5.54,5.64,0
18,120,110,120,109,112,114.2,114.03,6,3.7,5.8,6.4,5,5.38,5.45,0
21,123,116,119,109,116,116.6,115.96,6.1,3.1,6.3,6.6,4.7,5.36,5.38,0
24,110,113,109,109,112,110.6,111.94,6,6.2,5.7,7.2,6.5,6.32,6.09,0
27,106,119,109,116,116,113.2,112.88,6.9,7.1,7.5,6.4,6,6.78,6.61,0
30,123,116,113,112,112,115.2,114.62,7.1,6.5,5.7,6.3,6.1,6.34,6.41,0
33,113,109,113,113,125,114.6,114.61,5,4.3,4,4.4,6.3,4.8,5.2,0
36,103,110,119,103,118,110.6,111.6,6.3,3,5.8,5.9,5.3,5.26,5.25,0
39,113,109,116,106,109,110.6,110.85,5.1,3.2,6,6.3,5.9,5.3,5.29,0
42,103,109,109,113,112,109.2,109.61,5.1,2.7,5.9,6.3,5.3,5.06,5.12,0
45,123,113,106,116,112,114,112.9,5.7,2.2,5.5,6.8,5.2,5.08,5.09,0
48,103,113,109,106,109,108,109.23,7.1,2.1,5.2,5.7,3.2,4.66,4.77,0
51,119,113,109,106,116,112.6,111.76,5.7,2.1,6.4,6.1,2.7,4.6,4.64,0
54,120,109,116,108,119,114.4,113.74,5.8,7,6.1,6.3,2.1,5.46,5.26,0
57,106,112,126,115,118,115.4,114.98,5.4,4.9,7.1,6.5,2.1,5.2,5.21,0
60,112,106,103,112,112,109,110.5,5.6,5.2,6,5.9,2.1,4.96,5.02,0
63,113,116,113,112,119,114.6,113.57,6.2,5,5.9,5.1,5.8,5.6,5.46,1
66,109,112,106,113,106,109.2,110.29,6.1,6.4,5.7,4.8,4.9,5.58,5.55,1
69,112,109,106,119,118,112.8,112.17,4.5,6.4,6.1,5.1,4.8,5.38,5.42,1
72,112,116,106,112,112,111.6,111.74,5,6.1,5.4,5.3,4.9,5.34,5.36,1
75,113,109,110,112,106,110,110.44,6,6.5,4.2,5.4,3.9,5.2,5.24,1
78,120,123,109,112,109,114.6,113.56,5.2,6.2,4.6,5.6,4.1,5.14,5.17,1
81,120,113,109,120,115,115.4,114.94,6,6.1,5.4,6,3.6,5.42,5.36,1
84,103,112,112,103,109,107.8,109.58,5.4,4.2,5,5,3.1,4.54,4.74,1
87,106,119,112,129,132,119.6,117.1,4.7,4,4.9,5.3,3,4.38,4.47,1
90,106,118,109,125,124,116.4,116.57,4.5,2.8,5,4.6,2.1,3.8,3.97,1
93,110,119,109,131,115,116.8,116.74,4.7,2.8,4.6,5.1,5.2,4.48,4.35,1
96,106,116,112,112,115,112.2,113.34,4.8,2.1,4.9,5.2,4.9,4.38,4.37,1
99,110,109,109,116,114,111.6,112.03,4.3,2.1,5.1,4.8,3.8,4.02,4.11,1
102,113,112,109,109,118,112.2,112.16,4.6,2.2,5.4,4.6,5,4.36,4.3,1
105,106,119,112,116,109,112.4,112.34,5.1,2.2,5.2,4.5,4.8,4.36,4.34,1
108,113,128,118,109,118,117.2,115.98,6.3,2.2,3.9,4.5,5.1,4.4,4.39,1
111,116,109,105,120,111,112.2,113.15,4,6,4.8,4.9,4.2,4.78,4.68,1
114,103,118,133,109,111,114.8,114.39,4.3,4.9,6.1,4.9,3.2,4.68,4.68,1
117,110,118,109,115,115,113.4,113.65,4.8,4.7,4.9,4.4,3.4,4.44,4.5,1
120,113,102,109,117,130,114.2,114.06,4.5,3.7,4.1,4,3,3.86,4.02,1
123,113,109,109,112,115,111.6,112.22,4.7,6.9,4.3,4.1,2.5,4.5,4.38,2
126,106,109,115,117,105,110.4,110.85,4.9,4.6,5.2,5.9,3.2,4.76,4.67,2
129,110,115,115,112,115,113.4,112.76,6.1,6.3,4.5,5,2.8,4.94,4.87,2
132,106,105,131,112,108,112.4,112.49,5,5.5,5.6,5.7,2.2,4.8,4.82,2
135,119,112,115,112,112,114,113.62,5.7,4.9,4.2,6,2.2,4.6,4.65,2
138,110,118,102,109,124,112.6,112.86,5.4,4.4,4.6,5,2.2,4.32,4.4,2
141,103,134,112,123,108,116,115.21,4.7,3.7,3.9,5.8,2.2,4.06,4.15,2
144,110,123,118,115,115,116.2,115.95,5.8,3.6,2.9,5.7,2.2,4.04,4.07,2
147,106,112,131,121,112,116.4,116.29,5.5,2.8,5.2,5.2,2.2,4.18,4.15,2
150,106,115,118,121,109,113.8,114.42,4.8,2.2,4.8,6.8,2.2,4.16,4.16,2
153,110,109,115,112,111,111.4,112.16,5.8,2.2,3.7,5.8,2.2,3.94,3.99,2
156,106,112,115,115,115,112.6,112.49,5,2.2,4.2,6.1,6.1,4.72,4.54,2
159,116,109,115,112,108,112,112.12,5.9,2.2,5.4,5.5,4.7,4.74,4.69,2
162,106,112,109,115,115,111.4,111.58,5.4,2.2,5.4,5.2,4.7,4.58,4.61,2
165,100,118,112,127,112,113.8,113.25,5.7,2.2,4.5,6.2,4.5,4.62,4.62,2
168,109,120,111,115,112,113.4,113.36,6.6,2.2,5,5.9,3.4,4.62,4.62,2
171,126,111,114,129,102,116.4,115.64,4.8,2.2,4.8,4.8,3.5,4.02,4.17,2
174,123,112,124,118,102,115.8,115.76,4.8,2.2,5.4,6,2.8,4.24,4.22,2
177,122,112,108,112,112,113.2,113.84,5.7,2.2,4.9,5,2.2,4,4.06,2
180,112,112,112,109,108,110.6,111.41,5.4,2.2,4,6,2.2,3.96,3.98,2
