,Noise-Group-Wikipedia,,,,,,,Noise-Group-Wikipedia,,,,,,
,HONEST … CPU,,,,,,,HONEST … RAM,,,,,,
,T1,T2,T3,T4,T5,AVG,CPU-EWMA,T1,T2,T3,T4,T5,AVG,MEM-EWMA
1,113,109,102,125,112,112.2,112.2,6.2,3.4,5.4,5.1,6.2,5.26,5.26
2,100,106,119,103,122,110,110.55,6.8,4.5,5.9,5.3,7.3,5.96,5.79
3,110,119,115,110,103,111.4,111.19,6.2,4.6,6,6.3,6.2,5.86,5.84
4,110,119,113,125,115,116.4,115.1,6.4,4.3,5.5,7.5,6.2,5.98,5.95
5,106,126,112,112,109,113,113.52,6.4,4.2,5.6,6.6,4.9,5.54,5.64
6,120,110,120,109,112,114.2,114.03,6,3.7,5.8,6.4,5,5.38,5.45
7,123,116,119,109,116,116.6,115.96,6.1,3.1,6.3,6.6,4.7,5.36,5.38
8,110,113,109,109,112,110.6,111.94,6,6.2,5.7,7.2,6.5,6.32,6.09
9,106,119,109,116,116,113.2,112.88,6.9,7.1,7.5,6.4,6,6.78,6.61
10,123,116,113,112,112,115.2,114.62,7.1,6.5,5.7,6.3,6.1,6.34,6.41
11,113,109,113,113,125,114.6,114.61,5,4.3,4,4.4,6.3,4.8,5.2
12,103,110,119,103,118,110.6,111.6,6.3,3,5.8,5.9,5.3,5.26,5.25
13,113,109,116,106,109,110.6,110.85,5.1,3.2,6,6.3,5.9,5.3,5.29
14,103,109,109,113,112,109.2,109.61,5.1,2.7,5.9,6.3,5.3,5.06,5.12
15,123,113,106,116,112,114,112.9,5.7,2.2,5.5,6.8,5.2,5.08,5.09
16,103,113,109,106,109,108,109.23,7.1,2.1,5.2,5.7,3.2,4.66,4.77
17,119,113,109,106,116,112.6,111.76,5.7,2.1,6.4,6.1,2.7,4.6,4.64
18,120,109,116,108,119,114.4,113.74,5.8,7,6.1,6.3,2.1,5.46,5.26
19,106,112,126,115,118,115.4,114.98,5.4,4.9,7.1,6.5,2.1,5.2,5.21
20,112,106,103,112,112,109,110.5,5.6,5.2,6,5.9,2.1,4.96,5.02
