,Noise-Group-Wikipedia,,,,,,,,,,,,,
,MAL-COMP … CPU,,,,,,,MAL-COMP … RAM,,,,,,
,T1,T2,T3,T4,T5,AVG,CPU-EWMA,T1,T2,T3,T4,T5,AVG,MEM-EWMA
21,122,116,135,106,110,117.8,116.49,5.6,5.2,6.1,5.9,4.6,5.48,5.51
22,103,122,97,112,112,109.2,111.02,5,5.4,5,4.8,5,5.04,5.16
23,116,103,119,126,112,115.2,114.16,5.1,3.3,5,5.9,5,4.86,4.93
24,112,112,116,109,109,111.6,112.24,5,5.4,3.8,5.7,5.3,5.04,5.01
25,121,125,106,109,106,113.4,113.11,5.6,6.3,4,4.8,5.2,5.18,5.14
26,106,106,106,109,103,106,107.78,4.7,4.5,5,4.2,4.9,4.66,4.78
27,122,109,106,109,120,113.2,111.84,4.9,4.7,4.2,5.4,5.2,4.88,4.85
28,109,109,112,116,109,111,111.21,5,5.6,5.5,5.1,5.3,5.3,5.19
29,112,106,123,106,110,111.4,111.35,5.6,5.3,4.6,4.7,5.1,5.06,5.09
30,106,109,109,115,113,110.4,110.64,5.1,6.4,5,4.5,5.2,5.24,5.2
31,102,103,121,120,112,111.6,111.36,5.6,4.5,4.8,5.7,4.7,5.06,5.1
32,112,116,125,100,106,111.8,111.69,6.4,4.8,5.5,4.4,4.6,5.14,5.13
33,97,115,106,116,128,112.4,112.22,4.7,4.6,4.8,4.2,5.6,4.78,4.87
34,106,106,112,100,109,106.6,108.01,4.8,6.6,5.9,5.5,5.6,5.68,5.48
35,117,125,106,112,125,117,114.75,4.3,6.4,4.4,5.3,5.5,5.18,5.25
36,111,106,112,121,100,110,111.19,5.5,4.7,4.8,5,4.7,4.94,5.02
37,106,112,115,106,112,110.2,110.45,5.5,5.2,6,5.2,5.6,5.5,5.38
38,102,109,127,115,121,114.8,113.71,5.2,4.6,5.9,5,5.6,5.26,5.29
39,108,124,131,106,115,116.8,116.03,5,6.1,6.6,5.1,4.9,5.54,5.48
40,118,109,106,103,102,107.6,109.71,5.4,4.3,4.9,4.9,5,4.9,5.04
