,Noise-Group-Wikipedia,,,,,,,,,,,,,
,MAL-ORTH … CPU,,,,,,,MAL-ORTH … RAM,,,,,,
,T1,T2,T3,T4,T5,AVG,CPU-EWMA,T1,T2,T3,T4,T5,AVG,MEM-EWMA
1,106,178,171,178,112,149,149,3,5.6,4.6,4.7,5.3,4.64,4.64
2,112,116,112,158,178,135.2,138.65,4,4.5,3.6,5.8,3.6,4.3,4.39
3,184,160,113,178,167,160.4,154.96,5.2,5.3,3.1,5.8,4.7,4.82,4.71
4,172,115,112,171,196,153.2,153.64,4.2,5.3,4.7,6.4,5.3,5.18,5.06
5,181,118,119,174,193,157,156.16,4.7,4.3,5.5,5.5,6.3,5.26,5.21
6,181,170,102,103,170,145.2,147.94,4.9,4.7,6.2,4.9,5.4,5.22,5.22
7,196,174,180,106,175,166.2,161.64,5.1,4.4,6,5.4,6.1,5.4,5.35
8,181,138,193,177,184,174.6,171.36,5.9,4.9,6.5,5.2,5.2,5.54,5.49
9,184,109,156,128,184,152.2,156.99,6.6,2.9,4.7,5.5,4.6,4.86,5.02
10,125,180,119,167,206,159.4,158.8,5.6,3.6,5,5.3,6,5.1,5.08
11,112,109,159,109,113,120.4,130,3.5,5.1,3.1,5.5,3.7,4.18,4.4
12,203,157,178,170,116,164.8,156.1,4.6,4.1,7,4.2,4.3,4.84,4.73
13,105,166,177,161,152,152.2,153.17,2.3,4.5,4.2,3.8,2.9,3.54,3.84
14,172,190,190,170,174,179.2,172.69,3,5.6,4.1,3.7,5.2,4.32,4.2
15,115,109,109,112,177,124.4,136.47,4.7,4.4,3.2,3.1,2.7,3.62,3.76
16,178,106,106,183,109,136.4,136.42,4,5.8,5.4,5.4,5.8,5.28,4.9
17,146,186,112,151,180,155,150.35,5.6,4.8,5.6,4.9,4.8,5.14,5.08
18,160,170,112,106,109,131.4,136.14,3.8,5.3,6.1,5,6.2,5.28,5.23
19,212,166,190,193,129,178,167.53,5.2,3.7,6.1,6.2,4.5,5.14,5.16
20,127,203,178,112,118,147.6,152.58,3.2,5.4,4.7,6.3,5.1,4.94,5
