RECORD,T1,T2,T3,T4,T5,AVG,EWMA
1,106,103,109,112,93,104.6,104.6
2,126,109,116,110,103,112.8,110.75
3,109,109,131,109,122,116,114.69
4,123,106,112,135,109,117,116.42
5,116,112,100,112,116,111.2,112.51
6,113,109,85,123,119,109.8,110.48
7,112,106,113,86.6,110,105.52,106.76
8,112,109,112,106,119,111.6,110.39
9,106,109,106,106,106,106.6,107.55
10,126,122,116,116,110,118,115.39
11,112,119,116,112,115,114.8,114.95
12,103,112,116,116,106,110.6,111.69
13,119,140,105,109,106,115.8,114.77
14,112,112,122,119,123,117.6,116.89
15,119,112,106,119,113,113.8,114.57
16,105,109,130,112,112,113.6,113.84
17,129,125,112,113,123,120.4,118.76
18,106,113,106,116,109,110,112.19
19,125,106,112,136,108,117.4,116.1
20,112,121,105,116,103,111.4,112.57
21,122,116,135,106,110,117.8,116.49
22,103,122,97,112,112,109.2,111.02
23,116,103,119,126,112,115.2,114.16
24,112,112,116,109,109,111.6,112.24
25,121,125,106,109,106,113.4,113.11
26,106,106,106,109,103,106,107.78
27,122,109,106,109,120,113.2,111.84
28,109,109,112,116,109,111,111.21
29,112,106,123,106,110,111.4,111.35
30,106,109,109,115,113,110.4,110.64
31,102,103,121,120,112,111.6,111.36
32,112,116,125,100,106,111.8,111.69
33,97,115,106,116,128,112.4,112.22
34,106,106,112,100,109,106.6,108.01
35,117,125,106,112,125,117,114.75
36,111,106,112,121,100,110,111.19
37,106,112,115,106,112,110.2,110.45
38,102,109,127,115,121,114.8,113.71
39,108,124,131,106,115,116.8,116.03
40,118,109,106,103,102,107.6,109.71
41,121,109,115,106,112,112.6,111.88
42,109,112,118,112,109,112,111.97
43,105,118,112,117,109,112.2,112.14
44,112,118,112,112,109,112.6,112.49
45,112,112,111,115,112,112.4,112.42
46,112,112,124,120,115,116.6,115.56
47,125,127,118,115,118,120.6,119.34
48,112,121,112,111,112,113.6,115.03
49,109,109,115,115,115,112.6,113.21
50,112,111,115,112,118,113.6,113.5
51,118,115,115,118,115,116.2,115.53
52,115,112,115,109,128,115.8,115.73
53,108,115,137,106,108,114.8,115.03
54,127,125,112,121,112,119.4,118.31
55,115,112,109,115,128,115.8,116.43
56,124,118,108,112,115,115.4,115.66
57,111,115,105,118,109,111.6,112.61
58,117,109,109,118,112,113,112.9
59,108,76.7,112,105,123,104.94,106.93
60,111,,123,111,112,114.25,112.42
