RECORD,T1,T2,T3,T4,T5,AVG,EWMA
1,109,119,106,162,112,121.6,121.6
2,180,115,148,145,112,140,135.4
3,171,187,131,102,158,149.8,146.2
4,112,166,180,167,124,149.8,148.9
5,109,125,155,167,116,134.4,138.03
6,190,158,168,112,129,151.4,148.06
7,157,187,112,154,112,144.4,145.31
8,112,175,174,175,161,159.4,155.88
9,158,103,170,170,174,155,155.22
10,190,103,106,187,178,152.8,153.4
11,187,193,174,97.1,106,151.42,151.92
12,181,170,164,193,112,164,160.98
13,175,193,97,112,177,150.8,153.34
14,168,116,116,183,185,153.6,153.54
15,112,121,166,109,171,135.8,140.23
16,112,116,119,141,130,123.6,127.76
17,112,170,166,112,190,150,144.44
18,200,190,162,103,100,151,149.36
19,178,112,112,206,177,157,155.09
20,125,112,106,132,116,118.2,127.42
21,180,150,109,100,121,132,130.86
22,118,181,109,112,115,127,127.96
23,109,109,106,203,160,137.4,135.04
24,180,212,119,168,145,164.8,157.36
25,218,184,153,116,186,171.4,167.89
26,109,218,145,106,209,157.4,160.02
27,106,184,183,121,196,158,158.51
28,112,106,138,196,106,131.6,138.33
29,219,196,112,133,112,154.4,150.38
30,190,118,109,150,171,147.6,148.3
31,122,112,131,112,109,117.2,124.97
32,109,212,193,140,106,152,145.24
33,112,108,190,115,106,126.2,130.96
34,196,130,166,206,112,162,154.24
35,112,215,103,112,112,130.8,136.66
36,125,136,109,118,240,145.6,143.37
37,193,111,115,115,112,129.2,132.74
38,245,209,112,191,203,192,177.19
39,128,112,109,109,209,133.4,144.35
40,170,250,212,118,112,172.4,165.39
41,234,230,175,140,242,204.2,194.5
42,109,148,234,115,232,167.6,174.32
43,187,112,226,115,245,177,176.33
44,251,105,181,112,206,171,172.33
45,236,127,124,106,187,156,160.08
46,112,223,114,112,118,135.8,141.87
47,115,179,115,109,115,126.6,130.42
48,137,190,154,141,115,147.4,143.15
49,227,115,209,161,112,164.8,159.39
50,138,105,234,236,115,165.6,164.05
51,115,134,182,196,109,147.2,151.41
52,106,196,112,240,121,155,154.1
53,221,248,109,242,215,207,193.78
54,253,227,112,190,250,206.4,203.24
55,112,108,115,108,227,134,151.31
56,115,109,218,124,206,154.4,153.63
57,223,115,211,109,109,153.4,153.46
58,220,112,160,109,112,142.6,145.31
59,,117,115,109,108,112.25,120.52
60,,,,109,118,113.5,115.25
