RECORD,T1,T2,T3,T4,T5,AVG,EWMA
1,106,178,171,178,112,149,149
2,112,116,112,158,178,135.2,138.65
3,184,160,113,178,167,160.4,154.96
4,172,115,112,171,196,153.2,153.64
5,181,118,119,174,193,157,156.16
6,181,170,102,103,170,145.2,147.94
7,196,174,180,106,175,166.2,161.64
8,181,138,193,177,184,174.6,171.36
9,184,109,156,128,184,152.2,156.99
10,125,180,119,167,206,159.4,158.8
11,112,109,159,109,113,120.4,130
12,203,157,178,170,116,164.8,156.1
13,105,166,177,161,152,152.2,153.17
14,172,190,190,170,174,179.2,172.69
15,115,109,109,112,177,124.4,136.47
16,178,106,106,183,109,136.4,136.42
17,146,186,112,151,180,155,150.35
18,160,170,112,106,109,131.4,136.14
19,212,166,190,193,129,178,167.53
20,127,203,178,112,118,147.6,152.58
21,208,222,112,175,115,166.4,162.95
22,112,91.8,219,187,141,150.16,153.36
23,185,175,112,187,175,166.8,163.44
24,140,190,106,219,172,165.4,164.91
25,105,170,166,122,112,135,142.48
26,226,190,206,210,157,197.8,183.97
27,112,134,157,119,105,125.4,140.04
28,112,168,156,106,190,146.4,144.81
29,109,116,118,187,112,128.4,132.5
30,132,115,109,232,225,162.6,155.08
31,115,206,121,109,181,146.4,148.57
32,143,187,115,109,106,132,136.14
33,200,128,197,157,181,172.6,163.49
34,106,112,118,193,109,127.6,136.57
35,215,106,152,122,218,162.6,156.09
36,244,206,108,188,112,171.6,167.72
37,160,115,118,109,112,122.8,134.03
38,173,109,167,112,224,157,151.26
39,132,109,112,112,108,114.6,123.76
40,115,205,372,215,118,205,184.69
41,178,225,302,275,120,220,211.17
42,258,125,251,125,115,174.8,183.89
43,351,175,138,372,205,248.2,232.12
44,360,332,112,351,350,301,283.78
45,351,373,108,275,357,292.8,290.55
46,245,290,161,120,236,210.4,230.44
47,117,124,193,112,124,134,158.11
48,115,115,327,109,106,154.4,155.33
49,120,178,379,131,160,193.6,184.03
50,112,357,284,225,275,250.6,233.96
51,115,318,257,321,335,269.2,260.39
52,112,285,127,302,333,231.8,238.95
53,145,193,121,227,315,200.2,209.89
54,227,116,112,117,342,182.8,189.57
55,339,112,184,121,248,200.8,197.99
56,387,112,362,175,132,233.6,224.7
57,232,153,311,231,133,212,215.17
58,260,333,228,330,133,256.8,246.39
59,124,375,125,315,157,219.2,226
60,,,,,,,
