RECORD,Timestamp,Frame Count,Total Frame Time (millis),Avg Frame Time (millis),Avg FPS,AVG_FPS
1,20201230_094259,56,1002,17.89285714,5.59E-05,5.59E+01
2.015,20201230_094300,58,1015,17.5,5.71E-05,5.71E+01
3.018,20201230_094301,60,1003,16.71666667,5.98E-05,5.98E+01
4.019,20201230_094302,60,1001,16.68333333,5.99E-05,5.99E+01
5.02,20201230_094303,60,1001,16.68333333,5.99E-05,5.99E+01
6.022,20201230_094304,59,1002,16.98305085,5.89E-05,5.89E+01
7.037,20201230_094305,60,1015,16.91666667,5.91E-05,5.91E+01
8.038,20201230_094306,60,1001,16.68333333,5.99E-05,5.99E+01
9.039,20201230_094307,60,1001,16.68333333,5.99E-05,5.99E+01
10.042,20201230_094308,60,1003,16.71666667,5.98E-05,5.98E+01
11.056,20201230_094309,61,1014,16.62295082,6.02E-05,6.02E+01
12.057,20201230_094310,60,1001,16.68333333,5.99E-05,5.99E+01
13.057,20201230_094311,60,1000,16.66666667,6.00E-05,6.00E+01
14.057,20201230_094312,60,1000,16.66666667,6.00E-05,6.00E+01
15.058,20201230_094313,60,1001,16.68333333,5.99E-05,5.99E+01
16.058,20201230_094314,59,1000,16.94915254,5.90E-05,5.90E+01
17.059,20201230_094315,60,1001,16.68333333,5.99E-05,5.99E+01
18.061,20201230_094316,59,1002,16.98305085,5.89E-05,5.89E+01
19.076,20201230_094317,60,1015,16.91666667,5.91E-05,5.91E+01
20.077,20201230_094318,59,1001,16.96610169,5.89E-05,5.89E+01
21.077,20201230_094319,60,1000,16.66666667,6.00E-05,6.00E+01
22.08,20201230_094320,59,1003,17,5.88E-05,5.88E+01
23.095,20201230_094321,61,1015,16.63934426,6.01E-05,6.01E+01
24.095,20201230_094322,59,1000,16.94915254,5.90E-05,5.90E+01
25.096,20201230_094323,60,1001,16.68333333,5.99E-05,5.99E+01
26.096,20201230_094324,58,1000,17.24137931,5.80E-05,5.80E+01
27.097,20201230_094325,60,1001,16.68333333,5.99E-05,5.99E+01
28.097,20201230_094326,59,1000,16.94915254,5.90E-05,5.90E+01
29.098,20201230_094327,59,1001,16.96610169,5.89E-05,5.89E+01
30.098,20201230_094328,60,1000,16.66666667,6.00E-05,6.00E+01
31.099,20201230_094329,58,1001,17.25862069,5.79E-05,5.79E+01
32.099,20201230_094330,57,1000,17.54385965,5.70E-05,5.70E+01
