RECORD,Timestamp,Frame Count,Total Frame Time (millis),Avg Frame Time (millis),Avg FPS,AVG_FPS
1,20201230_075251,58,1013,17.46551724,5.73E-05,5.73E+01
2,20201230_075252,60,1001,16.68333333,5.99E-05,5.99E+01
3,20201230_075253,60,1002,16.7,5.99E-05,5.99E+01
4,20201230_075254,59,1001,16.96610169,5.89E-05,5.89E+01
5,20201230_075255,58,1001,17.25862069,5.79E-05,5.79E+01
6,20201230_075256,57,1001,17.56140351,5.69E-05,5.69E+01
7,20201230_075257,60,1001,16.68333333,5.99E-05,5.99E+01
8,20201230_075258,60,1000,16.66666667,6.00E-05,6.00E+01
9,20201230_075259,60,1002,16.7,5.99E-05,5.99E+01
10,20201230_075300,60,1000,16.66666667,6.00E-05,6.00E+01
11,20201230_075301,60,1001,16.68333333,5.99E-05,5.99E+01
12,20201230_075302,60,1011,16.85,5.93E-05,5.93E+01
13,20201230_075303,61,1008,16.52459016,6.05E-05,6.05E+01
14,20201230_075304,60,1000,16.66666667,6.00E-05,6.00E+01
15,20201230_075305,60,1001,16.68333333,5.99E-05,5.99E+01
16,20201230_075306,60,1001,16.68333333,5.99E-05,5.99E+01
17,20201230_075307,60,1001,16.68333333,5.99E-05,5.99E+01
18,20201230_075308,60,1001,16.68333333,5.99E-05,5.99E+01
19,20201230_075309,59,1001,16.96610169,5.89E-05,5.89E+01
20,20201230_075310,58,1001,17.25862069,5.79E-05,5.79E+01
21,20201230_075311,59,1001,16.96610169,5.89E-05,5.89E+01
22,20201230_075312,58,1000,17.24137931,5.80E-05,5.80E+01
23,20201230_075313,59,1002,16.98305085,5.89E-05,5.89E+01
24,20201230_075314,58,1000,17.24137931,5.80E-05,5.80E+01
25,20201230_075315,60,1001,16.68333333,5.99E-05,5.99E+01
26,20201230_075316,60,1000,16.66666667,6.00E-05,6.00E+01
27,20201230_075317,60,1001,16.68333333,5.99E-05,5.99E+01
28,20201230_075318,59,1001,16.96610169,5.89E-05,5.89E+01
29,20201230_075319,60,1001,16.68333333,5.99E-05,5.99E+01
30,20201230_075320,59,1001,16.96610169,5.89E-05,5.89E+01
31,20201230_075321,59,1001,16.96610169,5.89E-05,5.89E+01
32,20201230_075322,60,1001,16.68333333,5.99E-05,5.99E+01
33,20201230_075323,59,1001,16.96610169,5.89E-05,5.89E+01
34,20201230_075324,60,1001,16.68333333,5.99E-05,5.99E+01
35,20201230_075325,58,1001,17.25862069,5.79E-05,5.79E+01
36,20201230_075326,58,1001,17.25862069,5.79E-05,5.79E+01
37,20201230_075327,59,1001,16.96610169,5.89E-05,5.89E+01
38,20201230_075328,59,1001,16.96610169,5.89E-05,5.89E+01
39,20201230_075329,60,1001,16.68333333,5.99E-05,5.99E+01
40,20201230_075330,60,1001,16.68333333,5.99E-05,5.99E+01
41,20201230_075331,58,1001,17.25862069,5.79E-05,5.79E+01
