RECORD,Timestamp,Frame Count,Total Frame Time (millis),Avg Frame Time (millis),Avg FPS,AVG_FPS
1,20201230_085950,58,1009,17.39655172,5.75E-05,5.75E+01
2.001,20201230_085951,59,1001,16.96610169,5.89E-05,5.89E+01
3.001,20201230_085952,57,1000,17.54385965,5.70E-05,5.70E+01
4.003,20201230_085953,60,1002,16.7,5.99E-05,5.99E+01
5.003,20201230_085954,58,1000,17.24137931,5.80E-05,5.80E+01
6.004,20201230_085955,59,1001,16.96610169,5.89E-05,5.89E+01
7.005,20201230_085956,57,1001,17.56140351,5.69E-05,5.69E+01
8.006,20201230_085957,60,1001,16.68333333,5.99E-05,5.99E+01
9.007,20201230_085958,60,1001,16.68333333,5.99E-05,5.99E+01
10.007,20201230_085959,59,1000,16.94915254,5.90E-05,5.90E+01
11.008,20201230_090000,59,1001,16.96610169,5.89E-05,5.89E+01
12.009,20201230_090001,57,1001,17.56140351,5.69E-05,5.69E+01
13.009,20201230_090002,59,1000,16.94915254,5.90E-05,5.90E+01
14.01,20201230_090003,59,1001,16.96610169,5.89E-05,5.89E+01
15.011,20201230_090004,59,1001,16.96610169,5.89E-05,5.89E+01
16.011,20201230_090005,60,1000,16.66666667,6.00E-05,6.00E+01
17.026,20201230_090006,59,1015,17.20338983,5.81E-05,5.81E+01
18.029,20201230_090007,59,1003,17,5.88E-05,5.88E+01
19.029,20201230_090008,60,1000,16.66666667,6.00E-05,6.00E+01
20.03,20201230_090009,59,1001,16.96610169,5.89E-05,5.89E+01
21.031,20201230_090010,59,1001,16.96610169,5.89E-05,5.89E+01
22.032,20201230_090011,59,1001,16.96610169,5.89E-05,5.89E+01
23.032,20201230_090012,57,1000,17.54385965,5.70E-05,5.70E+01
24.033,20201230_090013,60,1001,16.68333333,5.99E-05,5.99E+01
25.033,20201230_090014,60,1000,16.66666667,6.00E-05,6.00E+01
26.034,20201230_090015,59,1001,16.96610169,5.89E-05,5.89E+01
27.034,20201230_090016,59,1000,16.94915254,5.90E-05,5.90E+01
28.035,20201230_090017,59,1001,16.96610169,5.89E-05,5.89E+01
29.035,20201230_090018,60,1000,16.66666667,6.00E-05,6.00E+01
30.036,20201230_090019,59,1001,16.96610169,5.89E-05,5.89E+01
31.037,20201230_090020,60,1001,16.68333333,5.99E-05,5.99E+01
32.038,20201230_090021,60,1001,16.68333333,5.99E-05,5.99E+01
33.039,20201230_090022,57,1001,17.56140351,5.69E-05,5.69E+01
34.039,20201230_090023,60,1000,16.66666667,6.00E-05,6.00E+01
35.04,20201230_090024,58,1001,17.25862069,5.79E-05,5.79E+01
36.041,20201230_090025,60,1001,16.68333333,5.99E-05,5.99E+01
37.041,20201230_090026,60,1000,16.66666667,6.00E-05,6.00E+01
38.042,20201230_090027,60,1001,16.68333333,5.99E-05,5.99E+01
39.057,20201230_090028,59,1015,17.20338983,5.81E-05,5.81E+01
40.06,20201230_090029,59,1003,17,5.88E-05,5.88E+01
41.061,20201230_090030,60,1001,16.68333333,5.99E-05,5.99E+01
42.061,20201230_090031,60,1000,16.66666667,6.00E-05,6.00E+01
43.062,20201230_090032,60,1001,16.68333333,5.99E-05,5.99E+01
44.062,20201230_090033,60,1000,16.66666667,6.00E-05,6.00E+01
45.063,20201230_090034,60,1001,16.68333333,5.99E-05,5.99E+01
46.064,20201230_090035,59,1001,16.96610169,5.89E-05,5.89E+01
47.065,20201230_090036,59,1001,16.96610169,5.89E-05,5.89E+01
48.067,20201230_090037,60,1002,16.7,5.99E-05,5.99E+01
49.082,20201230_090038,60,1015,16.91666667,5.91E-05,5.91E+01
50.083,20201230_090039,60,1001,16.68333333,5.99E-05,5.99E+01
51.084,20201230_090040,60,1001,16.68333333,5.99E-05,5.99E+01
52.084,20201230_090041,60,1000,16.66666667,6.00E-05,6.00E+01
53.085,20201230_090042,60,1001,16.68333333,5.99E-05,5.99E+01
54.085,20201230_090043,59,1000,16.94915254,5.90E-05,5.90E+01
55.086,20201230_090044,60,1001,16.68333333,5.99E-05,5.99E+01
56.087,20201230_090045,60,1001,16.68333333,5.99E-05,5.99E+01
57.103,20201230_090046,60,1016,16.93333333,5.91E-05,5.91E+01
58.104,20201230_090047,60,1001,16.68333333,5.99E-05,5.99E+01
59.105,20201230_090048,60,1001,16.68333333,5.99E-05,5.99E+01
60.12,20201230_090049,60,1015,16.91666667,5.91E-05,5.91E+01
61.122,20201230_090050,59,1002,16.98305085,5.89E-05,5.89E+01
62.123,20201230_090051,60,1001,16.68333333,5.99E-05,5.99E+01
63.123,20201230_090052,60,1000,16.66666667,6.00E-05,6.00E+01
64.124,20201230_090053,60,1001,16.68333333,5.99E-05,5.99E+01
65.125,20201230_090054,60,1001,16.68333333,5.99E-05,5.99E+01
66.125,20201230_090055,60,1000,16.66666667,6.00E-05,6.00E+01
67.126,20201230_090056,60,1001,16.68333333,5.99E-05,5.99E+01
68.127,20201230_090057,59,1001,16.96610169,5.89E-05,5.89E+01
69.127,20201230_090058,60,1000,16.66666667,6.00E-05,6.00E+01
70.128,20201230_090059,60,1001,16.68333333,5.99E-05,5.99E+01
71.128,20201230_090100,60,1000,16.66666667,6.00E-05,6.00E+01
72.129,20201230_090101,60,1001,16.68333333,5.99E-05,5.99E+01
73.13,20201230_090102,59,1001,16.96610169,5.89E-05,5.89E+01
74.131,20201230_090103,59,1001,16.96610169,5.89E-05,5.89E+01
75.131,20201230_090104,59,1000,16.94915254,5.90E-05,5.90E+01
76.132,20201230_090105,60,1001,16.68333333,5.99E-05,5.99E+01
77.133,20201230_090106,59,1001,16.96610169,5.89E-05,5.89E+01
78.134,20201230_090107,60,1001,16.68333333,5.99E-05,5.99E+01
79.135,20201230_090108,60,1001,16.68333333,5.99E-05,5.99E+01
80.136,20201230_090109,59,1001,16.96610169,5.89E-05,5.89E+01
81.136,20201230_090110,60,1000,16.66666667,6.00E-05,6.00E+01
82.137,20201230_090111,60,1001,16.68333333,5.99E-05,5.99E+01
83.138,20201230_090112,60,1001,16.68333333,5.99E-05,5.99E+01
84.138,20201230_090113,59,1000,16.94915254,5.90E-05,5.90E+01
85.139,20201230_090114,59,1001,16.96610169,5.89E-05,5.89E+01
86.15,20201230_090115,60,1011,16.85,5.93E-05,5.93E+01
87.158,20201230_090116,60,1008,16.8,5.95E-05,5.95E+01
88.158,20201230_090117,59,1000,16.94915254,5.90E-05,5.90E+01
89.159,20201230_090118,60,1001,16.68333333,5.99E-05,5.99E+01
90.16,20201230_090119,59,1001,16.96610169,5.89E-05,5.89E+01
91.16,20201230_090120,59,1000,16.94915254,5.90E-05,5.90E+01
92.161,20201230_090121,60,1001,16.68333333,5.99E-05,5.99E+01
93.162,20201230_090122,58,1001,17.25862069,5.79E-05,5.79E+01
94.162,20201230_090123,59,1000,16.94915254,5.90E-05,5.90E+01
95.163,20201230_090124,60,1001,16.68333333,5.99E-05,5.99E+01
96.164,20201230_090125,60,1001,16.68333333,5.99E-05,5.99E+01
97.165,20201230_090126,59,1001,16.96610169,5.89E-05,5.89E+01
98.166,20201230_090127,58,1001,17.25862069,5.79E-05,5.79E+01
99.166,20201230_090128,59,1000,16.94915254,5.90E-05,5.90E+01
100.167,20201230_090129,59,1001,16.96610169,5.89E-05,5.89E+01
101.168,20201230_090130,60,1001,16.68333333,5.99E-05,5.99E+01
102.169,20201230_090131,60,1001,16.68333333,5.99E-05,5.99E+01
103.17,20201230_090132,57,1001,17.56140351,5.69E-05,5.69E+01
104.17,20201230_090133,60,1000,16.66666667,6.00E-05,6.00E+01
105.171,20201230_090134,60,1001,16.68333333,5.99E-05,5.99E+01
106.172,20201230_090135,59,1001,16.96610169,5.89E-05,5.89E+01
107.172,20201230_090136,59,1000,16.94915254,5.90E-05,5.90E+01
108.173,20201230_090137,60,1001,16.68333333,5.99E-05,5.99E+01
109.174,20201230_090138,59,1001,16.96610169,5.89E-05,5.89E+01
110.175,20201230_090139,60,1001,16.68333333,5.99E-05,5.99E+01
