RECORD,Timestamp,Frame Count,Total Frame Time (millis),Avg Frame Time (millis),Avg FPS,AVG_FPS
1,20201230_081728,58,1016,17.51724138,5.71E-05,5.71E+01
2,20201230_081729,59,1016,17.22033898,5.81E-05,5.81E+01
3,20201230_081730,59,1000,16.94915254,5.90E-05,5.90E+01
4,20201230_081731,59,1000,16.94915254,5.90E-05,5.90E+01
5,20201230_081732,60,1004,16.73333333,5.98E-05,5.98E+01
6,20201230_081734,61,1016,16.6557377,6.00E-05,6.00E+01
7,20201230_081735,60,1001,16.68333333,5.99E-05,5.99E+01
8,20201230_081736,60,1000,16.66666667,6.00E-05,6.00E+01
9,20201230_081737,60,1001,16.68333333,5.99E-05,5.99E+01
10,20201230_081738,60,1001,16.68333333,5.99E-05,5.99E+01
11,20201230_081739,59,1006,17.05084746,5.86E-05,5.86E+01
12,20201230_081740,60,1012,16.86666667,5.93E-05,5.93E+01
13,20201230_081741,59,1000,16.94915254,5.90E-05,5.90E+01
14,20201230_081742,60,1001,16.68333333,5.99E-05,5.99E+01
15,20201230_081743,60,1000,16.66666667,6.00E-05,6.00E+01
16,20201230_081744,60,1001,16.68333333,5.99E-05,5.99E+01
17,20201230_081745,59,1000,16.94915254,5.90E-05,5.90E+01
18,20201230_081746,58,1001,17.25862069,5.79E-05,5.79E+01
19,20201230_081747,59,1000,16.94915254,5.90E-05,5.90E+01
20,20201230_081748,60,1001,16.68333333,5.99E-05,5.99E+01
21,20201230_081749,60,1000,16.66666667,6.00E-05,6.00E+01
22,20201230_081750,60,1001,16.68333333,5.99E-05,5.99E+01
23,20201230_081751,59,1000,16.94915254,5.90E-05,5.90E+01
24,20201230_081752,60,1001,16.68333333,5.99E-05,5.99E+01
25,20201230_081753,60,1001,16.68333333,5.99E-05,5.99E+01
26,20201230_081754,60,1000,16.66666667,6.00E-05,6.00E+01
27,20201230_081755,60,1005,16.75,5.97E-05,5.97E+01
28,20201230_081756,61,1020,16.72131148,5.98E-05,5.98E+01
29,20201230_081757,60,1010,16.83333333,5.94E-05,5.94E+01
30,20201230_081758,60,1001,16.68333333,5.99E-05,5.99E+01
31,20201230_081759,59,1000,16.94915254,5.90E-05,5.90E+01
32,20201230_081800,59,1001,16.96610169,5.89E-05,5.89E+01
33,20201230_081801,58,1001,17.25862069,5.79E-05,5.79E+01
34,20201230_081802,60,1000,16.66666667,6.00E-05,6.00E+01
35,20201230_081803,58,1001,17.25862069,5.79E-05,5.79E+01
36,20201230_081804,60,1001,16.68333333,5.99E-05,5.99E+01
37,20201230_081805,57,1001,17.56140351,5.69E-05,5.69E+01
38,20201230_081806,60,1000,16.66666667,6.00E-05,6.00E+01
39,20201230_081807,59,1001,16.96610169,5.89E-05,5.89E+01
40,20201230_081808,60,1001,16.68333333,5.99E-05,5.99E+01
41,20201230_081809,59,1000,16.94915254,5.90E-05,5.90E+01
42,20201230_081810,60,1001,16.68333333,5.99E-05,5.99E+01
43,20201230_081811,60,1000,16.66666667,6.00E-05,6.00E+01
44,20201230_081812,59,1001,16.96610169,5.89E-05,5.89E+01
45,20201230_081813,60,1001,16.68333333,5.99E-05,5.99E+01
46,20201230_081814,59,1000,16.94915254,5.90E-05,5.90E+01
47,20201230_081815,60,1001,16.68333333,5.99E-05,5.99E+01
48,20201230_081816,59,1000,16.94915254,5.90E-05,5.90E+01
49,20201230_081817,60,1000,16.66666667,6.00E-05,6.00E+01
50,20201230_081818,59,1001,16.96610169,5.89E-05,5.89E+01
51,20201230_081819,60,1001,16.68333333,5.99E-05,5.99E+01
52,20201230_081820,60,1000,16.66666667,6.00E-05,6.00E+01
