  bash arg: -p
  bash arg: edu.temple.mar_security.mlkit_comp
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=36ms (0ms mobile, 0ms wifi, 36ms not connected)
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,109,6.1,54725904,49459312,5266592,10,16,3667668,334544,1520648,1077952832,602,70,0,0,10,26,1482,54951
2,8157,119,6.4,54725904,49459332,5266572,10,16,3667668,350964,1535348,1077952832,928,83,0,0,10,26,1482,59154
3,11111,110,6.5,54725904,49459708,5266196,10,16,3667668,345072,1503380,1077952832,1238,103,0,0,10,26,1482,67491
4,14012,112,6.6,54725904,49459300,5266604,10,16,3667668,398804,1564568,1077952832,1543,128,0,0,10,26,1482,63348
5,16928,116,7.5,54725904,49461792,5264112,10,16,3667668,351256,1575732,1077952832,1863,149,0,0,10,26,1482,62136
6,19875,106,7.0,54725904,49460596,5265308,10,16,3667668,311308,1518760,1077952832,2178,173,0,0,10,26,1482,64952
7,22791,118,6.3,54725904,49460588,5265316,10,16,3667668,354732,1545216,1077952832,2483,194,0,0,10,26,1482,67575
8,25724,109,5.5,54725904,49460588,5265316,10,16,3667668,401024,1592692,1077952832,2786,218,0,0,10,26,1482,57440
9,28635,106,6.0,54725904,49459300,5266604,10,16,3667668,398100,1589848,1077952832,3099,238,0,0,10,26,1482,59021
10,31584,109,6.8,54725904,49459208,5266696,10,16,3667668,324436,1603640,1077952832,3414,265,0,0,10,26,1482,59066
11,34575,115,7.4,54725904,49459200,5266704,10,16,3667668,304816,1584664,1077952832,3731,292,0,0,10,26,1482,59957
12,37533,109,6.4,54725904,49459200,5266704,10,16,3667668,320520,1600468,1077952832,4046,318,0,0,10,26,1482,69036
13,40510,109,7.4,54725904,49459200,5266704,10,16,3667668,299632,1579624,1077952832,4360,344,0,0,10,26,1482,62839
14,43427,109,6.2,54725904,49459200,5266704,10,16,3667668,329032,1609848,1077952832,4677,369,0,0,10,26,1482,59698
15,46357,106,6.9,54725904,49459192,5266712,10,16,3667668,323296,1604476,1077952832,4985,397,0,0,10,26,1482,56887
16,49300,116,7.3,54725904,49459188,5266716,10,16,3667668,301128,1585220,1077952832,5304,418,0,0,10,26,1482,68922
17,52240,112,6.1,54725904,49459180,5266724,10,16,3667668,341548,1625672,1077952832,5608,454,0,0,10,33,1482,57846
18,55154,100,7.5,54725904,49459180,5266724,10,16,3667668,345844,1630060,1077952832,5924,474,0,0,10,33,1482,58940
19,58111,108,6.5,54725904,49459172,5266732,10,16,3667668,359508,1645136,1077952832,6245,498,0,0,10,33,1482,56882
20,61102,132,6.3,54725904,49459168,5266736,10,16,3667668,366580,1652688,1077952832,6560,524,0,0,10,33,1482,54354
21,64095,121,6.3,54725904,49459164,5266740,10,20,3667668,363572,1649856,1077952832,6894,545,0,0,10,33,1482,55576
22,67085,R,131,54725904,49459164,5266740,10,20,3667668,433568,1711448,1077952832,7207,582,0,0,10,33,1482,43797
23,70169,R,112,54725904,49459164,5266740,10,20,3667668,415620,1688632,1077952832,7518,619,0,0,10,33,1482,50384
24,73198,109,6.5,54725904,49459160,5266744,10,20,3667668,351448,1623832,4211008,7820,651,0,0,10,33,1482,62106
25,76176,R,103,54725904,49459156,5266748,10,20,3667668,393220,1666600,4211008,8142,673,0,0,10,33,1482,46926
26,79190,137,5.4,54725904,49459156,5266748,10,20,3667668,396472,1671912,1077952832,8460,705,0,0,10,33,1482,38915
27,82208,109,5.0,54725904,49459156,5266748,10,20,3667668,392664,1668108,1077952832,8790,728,0,0,10,33,1482,39168
28,85257,R,109,54725904,49459156,5266748,10,20,3667668,359356,1634844,4211008,9112,760,0,0,10,33,1482,50617
29,88351,R,125,54725904,49459160,5266744,10,20,3667668,344232,1619768,1077952832,9423,796,0,0,10,33,1482,63997
30,91397,R,112,54725904,49459156,5266748,10,20,3667668,390780,1666316,1077952832,9738,825,0,0,10,33,1482,51219
31,94408,R,105,54725904,49459156,5266748,10,20,3667668,359980,1635532,1077952832,10046,862,0,0,10,33,1482,53902
32,97414,112,6.8,54725904,49459156,5266748,10,20,3667668,367080,1642640,1077952832,10359,894,0,0,10,33,1482,57139
33,100402,115,4.9,54725904,49459156,5266748,10,20,3667668,369116,1644644,1077952832,10668,929,0,0,10,33,1482,55345
34,103408,R,109,54725904,49459152,5266752,10,20,3667668,351104,1626652,4211008,10997,953,0,0,10,33,1482,52683
35,106563,102,6.5,54725904,49459152,5266752,10,20,3667668,365824,1648192,1077952832,11329,981,0,0,10,33,1482,58574
36,109686,111,4.1,54725904,49459148,5266756,10,20,3667668,367836,1650908,1077952832,11652,1008,0,0,10,33,1482,47154
37,112803,R,112,54725904,49459148,5266756,10,20,3667668,332808,1616124,4211008,11976,1036,0,0,10,33,1482,55051
38,115896,111,4.2,54725904,49459144,5266760,10,20,3667668,363740,1647332,1077952832,12289,1072,0,0,10,33,1482,56932
39,118925,117,6.3,54725904,49459140,5266764,10,20,3667668,351500,1635476,1077952832,12613,1101,0,0,10,33,1482,54694
40,121989,R,115,54725904,49459140,5266764,10,20,3667668,343768,1627784,1077952832,12933,1144,0,0,10,33,1482,61622
41,125205,R,108,54725904,49459140,5266764,10,20,3667668,349136,1633160,1077952832,13276,1168,0,0,10,33,1482,46312
42,128292,111,6.2,54725904,49459140,5266764,10,20,3667668,327600,1611652,1077952832,13605,1196,0,0,10,33,1482,55733
43,131435,112,6.3,54725904,49459132,5266772,10,24,3667668,288888,1572944,1077952832,13930,1219,0,0,10,33,1482,58288
44,134451,122,6.0,54725904,49459128,5266776,10,24,3667668,308140,1592212,1077952832,14253,1249,0,0,10,34,1482,60428
45,137500,108,5.0,54725904,49459128,5266776,10,24,3667668,349448,1634140,1077952832,14576,1278,0,0,10,34,1482,48605
46,140555,112,5.1,54725904,49459128,5266776,10,24,3667668,340512,1625492,4211008,14893,1307,0,0,10,34,1482,55023
47,143602,115,5.5,54725904,49459128,5266776,10,24,3667668,333716,1618700,1077952832,15211,1330,0,0,10,34,1482,53836
48,146599,120,6.1,54725904,49459128,5266776,10,24,3667668,292552,1577540,1077952832,15532,1355,0,0,10,34,1482,58333
49,149600,115,5.3,54725904,49459124,5266780,10,24,3667668,327608,1622152,1077952832,15844,1385,0,0,10,34,1482,57861
50,152615,108,6.3,54725904,49459120,5266784,10,24,3667668,322716,1617368,1077952832,16163,1411,0,0,10,34,1482,47626
51,155637,111,5.3,54725904,49459120,5266784,10,24,3667668,301052,1595720,1077952832,16479,1436,0,0,10,34,1482,56593
52,158621,109,6.4,54725904,49459120,5266784,10,24,3667668,351964,1646416,1077952832,16795,1457,0,0,10,34,1482,46503
53,161587,111,5.6,54725904,49459120,5266784,10,24,3667668,306396,1601096,1077952832,17115,1489,0,0,10,34,1482,56898
54,164616,114,6.1,54725904,49459116,5266788,10,24,3667668,360224,1655312,4211008,17438,1512,0,0,10,34,1482,48889
55,167626,112,6.1,54725904,49459112,5266792,10,24,3667668,358088,1653180,1077952832,17757,1539,0,0,10,34,1482,54389
56,170620,112,5.2,54725904,49459112,5266792,10,24,3667668,379456,1674556,1077952832,18075,1563,0,0,10,34,1482,43030
57,173554,112,5.3,54725904,49459112,5266792,10,24,3667668,349508,1644624,1077952832,18395,1586,0,0,10,34,1482,56363
58,176544,127,6.2,54725904,49459112,5266792,10,24,3667668,362020,1657144,1077952832,18731,1599,0,0,10,34,1482,52230
59,179536,121,5.3,54725904,49459112,5266792,10,24,3667668,356924,1652056,1077952832,19048,1625,0,0,10,34,1482,56517
