Timestamp,Result Title,Result Confidence
20201230_122059,bird face_signs.mp4 03:00 0000
20201230_122100,T -
20201230_122100,-
20201230_122101,T
20201230_122101,T
20201230_122102,T
20201230_122104,liz
20201230_122106,T
20201230_122106,i
20201230_122107,T
20201230_122114,e T
20201230_122120,-
20201230_122122,-
20201230_122123,T
20201230_122149,T
20201230_122150,T
20201230_122151,T
20201230_122152,T
20201230_122155,T
20201230_122156,T
20201230_122157,-
20201230_122200,T
20201230_122204,T
20201230_122205,T
20201230_122206,T
20201230_122207,T
20201230_122209,T
20201230_122210,T
20201230_122212,T
20201230_122212,T
20201230_122213,T
20201230_122213,T
20201230_122226,2
20201230_122226,27
20201230_122228,2
20201230_122229,2
20201230_122244,.
20201230_122246,.
20201230_122249,-
20201230_122259,T
20201230_122259,NICOLE PL 7800 N NO OUTLET
20201230_122300,NICOLE PL 7800 N NO OUTLET
20201230_122301,NICOLE NO OUTLET PL 7800 N 2
20201230_122301,NICOLE NO OUTLET PL 7800 N 2
20201230_122302,NICOLE PL 7800 N NO OUTLET
20201230_122303,NICOLE PL 7800 N NO OUTLET 2
20201230_122303,NICOLE PL 7800 N NO OUTLET
20201230_122304,Black Lives Matter AVENUE Stonewall ST HISTORIC a DISTRICT
20201230_122305,Black Lives Matter AVENUE StonevalST HISTORIC T DISTRICT
20201230_122305,Black Lives Matter AVENUE Stonewall ST HISTORIC TDISTRICT
20201230_122306,Black Lives Matter AVENUE Stonewall ST HISTORIC DISTRICT
20201230_122307,Black Lives Matter AVENUE StonewallST ar, DISTRICTH HISTORIC
20201230_122308,Black Lives Matter AVENUE StonevalST at, DISTRICT HISTORIC
20201230_122308,Black Lives Matter AVENUE Stonevall ST HISTORIC DISTRICT
20201230_122309,ONE AY r RANS aS ONE WAY BROADWAY NO STANDING ANYTIME
20201230_122310,ONE AY r ANS AIS ONE HAY BROADWAY NO STANDING ANYTIME
20201230_122311,ONE AY ONE HAY BROADWAY NO STANDING ANYTIME
20201230_122311,ONE AY ONE WAY BROADWAY NO STANDING ANYTIME
20201230_122312,ONE AY r ANS AIS ONE HAY BROADWAY NO STANDING ANYTIME wy.cc
20201230_122313,ONE AY ONE HAY BROADWAY, NO STANDING ANYTIME
20201230_122314,ONE AY r ANS AS ONE HAY BROADWAY NO STANDING ANYTIME
20201230_122314,Ohio St Historic South Norfolk Chesapeake Ave Historic South Norfolk STOP
20201230_122315,Ohio St Historic South Norfolk Chesapeake Ave Historic South Norfolk STOP
20201230_122316,Ohio St Historic South Norfolk Chesapeake Ave Historic South Norfolk STOP
20201230_122316,Ohio St Historic South Norfolk Chesapeake Ave ! Historic South Norfolk STOP
20201230_122317,Ohio St Historic South Norfolk Chesapeake Ave Historic South Norfolk STOP
20201230_122318,Ohio St Historic South Norfolk Chesapeake Ave Historic South Norfolk STOP
20201230_122319,Ohio St Historic South Norfolk Chesapeake Ave Historic South Norfolk STOP
20201230_122319,STOP
20201230_122320,STOP -
20201230_122321,STOP
