  bash arg: -p
  bash arg: edu.temple.mar_security.mlkit_orth
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=37ms (0ms mobile, 0ms wifi, 37ms not connected)
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,R,106,54725904,49438516,5287388,10,20,3667668,304696,1621900,1077952832,875,78,0,0,10,47,1510,40303
2,8072,143,3.8,54725904,49438516,5287388,10,20,3667668,301128,1618716,1077952832,1323,108,0,0,10,47,1510,42281
3,10999,180,5.8,54725904,49438512,5287392,10,20,3667668,287780,1606472,1077952832,1824,132,0,0,10,47,1510,45455
4,13975,172,4.6,54725904,49438512,5287392,10,20,3667668,302600,1621664,1077952832,2256,162,0,0,10,47,1510,43401
5,16956,170,4.9,54725904,49438512,5287392,10,20,3667668,279704,1590220,1077952832,2681,195,0,0,10,47,1510,43474
6,19895,176,5.1,54725904,49438512,5287392,10,20,3667668,276184,1583552,1077952832,3139,219,0,0,10,47,1510,49273
7,22845,175,7.0,54725904,49438508,5287396,10,20,3667668,281496,1569392,1077952832,3570,251,0,0,10,47,1510,67382
8,25797,R,182,54725904,49438508,5287396,10,20,3667668,348700,1620932,4211008,3994,275,0,0,10,47,1510,65099
9,28760,173,6.5,54725904,49438508,5287396,10,20,3667668,347372,1619620,1077952832,4456,302,0,0,10,47,1510,58200
10,31707,176,5.9,54725904,49438504,5287400,10,20,3667668,323196,1595708,1077952832,4912,342,0,0,10,47,1510,47047
11,34664,183,5.7,54725904,49438504,5287400,10,20,3667668,289808,1562628,1077952832,5358,375,0,0,10,47,1510,31686
12,37634,175,4.2,54725904,49438504,5287400,10,20,3667668,326276,1599112,1077952832,5786,404,0,0,10,53,1510,33444
13,40561,117,2.5,54725904,49438504,5287400,10,20,3667668,422164,1695044,1077952832,6210,430,0,0,10,53,1510,23864
14,43524,110,4.1,54725904,49438500,5287404,10,20,3667668,413192,1686264,1077952832,6654,456,0,0,10,53,1510,37781
15,46471,103,5.5,54725904,49438496,5287408,10,20,3667668,383548,1656844,1077952832,7087,487,0,0,10,53,1510,47477
16,49424,154,5.3,54725904,49438496,5287408,10,20,3667668,368472,1644664,1077952832,7526,525,0,0,10,53,1510,40067
17,52418,100,6.0,54725904,49438496,5287408,10,20,3667668,349948,1626148,1077952832,7942,560,0,0,10,53,1510,49434
18,55370,166,5.9,54725904,49438492,5287412,10,20,3667668,315856,1592296,1077952832,8356,597,0,0,10,53,1510,53405
19,58323,163,6.1,54725904,49438492,5287412,10,20,3667668,355908,1622608,1077952832,8791,622,0,0,10,53,1510,56136
20,61302,187,6.5,54725904,49438492,5287412,10,24,3667668,414400,1681288,1077952832,9214,663,0,0,10,53,1510,21887
21,64282,170,4.8,54725904,49438484,5287420,10,24,3667668,371736,1638696,1077952832,9632,689,0,0,10,53,1510,51903
22,67215,156,5.2,54725904,49438484,5287420,10,24,3667668,382484,1649572,1077952832,10079,728,0,0,10,53,1510,46353
23,70192,176,5.2,54725904,49438484,5287420,10,24,3667668,358412,1625588,1077952832,10517,761,0,0,10,53,1510,60311
24,73169,186,6.3,54725904,49438480,5287424,10,24,3667668,356816,1623996,1077952832,10934,785,0,0,10,53,1510,57843
25,76103,180,6.2,54725904,49438480,5287424,10,24,3667668,358884,1626096,1077952832,11364,824,0,0,10,53,1510,57640
26,79061,117,5.7,54725904,49438476,5287428,10,24,3667668,353024,1620240,1077952832,11780,843,0,0,10,53,1510,65075
27,81993,175,6.1,54725904,49438476,5287428,10,24,3667668,345020,1612244,1077952832,12239,869,0,0,10,53,1510,55128
28,84951,193,6.3,54725904,49438476,5287428,10,24,3667668,336340,1603572,1077952832,12666,917,0,0,10,53,1510,66937
29,87893,103,5.6,54725904,49438472,5287432,10,24,3667668,378072,1645316,1077952832,13123,936,0,0,10,53,1510,54496
30,90885,190,5.4,54725904,49438472,5287432,10,24,3667668,398556,1665900,1077952832,13582,970,0,0,10,52,1510,47037
31,93838,113,5.6,54725904,49438472,5287432,10,24,3667668,414500,1681980,1077952832,13977,1008,0,0,10,53,1510,48210
32,96777,200,5.2,54725904,49438468,5287436,10,24,3667668,367284,1634776,1077952832,14438,1046,0,0,10,53,1510,50967
33,99780,113,5.5,54725904,49438468,5287436,10,24,3667668,360808,1628300,1077952832,14877,1072,0,0,10,53,1510,52910
34,102734,158,6.0,54725904,49438464,5287440,10,24,3667668,349996,1617500,1077952832,15299,1108,0,0,10,53,1510,58534
35,105671,117,5.9,54725904,49438464,5287440,10,24,3667668,363120,1630632,1077952832,15712,1132,0,0,10,53,1510,57964
36,108642,R,174,54725904,49438464,5287440,10,24,3667668,379548,1647060,1077952832,16161,1168,0,0,10,53,1510,56057
37,111604,166,6.2,54725904,49438460,5287444,10,24,3667668,370660,1638336,1077952832,16601,1201,0,0,10,53,1510,61486
38,114591,170,5.6,54725904,49438460,5287444,10,24,3667668,371248,1640140,1077952832,17017,1228,0,0,10,53,1510,52856
39,117536,106,5.4,54725904,49438460,5287444,10,24,3667668,389828,1659060,1077952832,17423,1260,0,0,10,53,1510,53824
40,120528,140,5.1,54725904,49438456,5287448,10,24,3667668,371520,1640832,1077952832,17835,1295,0,0,10,53,1510,50719
41,123477,213,3.7,54725904,49438456,5287448,10,24,3667668,367556,1636912,1077952832,18321,1325,0,0,10,53,1510,33835
42,126432,123,4.7,54725904,49438452,5287452,10,28,3667668,372808,1642176,1077952832,18776,1358,0,0,10,53,1510,40854
43,129391,186,5.4,54725904,49438448,5287456,10,28,3667668,371568,1640940,1077952832,19234,1391,0,0,10,53,1510,46447
44,132319,153,4.9,54725904,49438448,5287456,10,28,3667668,325564,1595032,1077952832,19718,1427,0,0,10,53,1510,50556
45,135342,137,4.1,54725904,49438448,5287456,10,28,3667668,374800,1644276,1077952832,20196,1463,0,0,10,53,1510,38185
46,138346,113,3.6,54725904,49438444,5287460,10,32,3667668,413136,1682616,1077952832,20707,1494,0,0,10,53,1510,32101
47,141468,187,4.9,54725904,49438440,5287464,10,32,3667668,310260,1579760,1077952832,21170,1525,0,0,10,53,1510,60063
48,144433,190,5.6,54725904,49438440,5287464,10,32,3667668,306388,1576216,1077952832,21625,1566,0,0,10,53,1510,45121
49,147408,190,4.5,54725904,49438440,5287464,10,32,3667668,359576,1629412,1077952832,22054,1601,0,0,10,53,1510,40266
50,150353,196,3.6,54725904,49438440,5287464,10,32,3667668,352008,1621860,1077952832,22514,1631,0,0,10,53,1510,45892
51,153327,196,3.9,54725904,49438440,5287464,10,32,3667668,342924,1612780,1077952832,23006,1659,0,0,10,53,1510,48595
52,156335,106,5.5,54725904,49438436,5287468,10,32,3667668,380268,1650132,1077952832,23457,1678,0,0,10,53,1510,41845
53,159302,111,4.5,54725904,49438436,5287468,10,32,3667668,359408,1629280,4211008,23964,1704,0,0,10,53,1510,37988
54,162337,193,5.2,54725904,49438436,5287468,10,32,3667668,338092,1607964,1077952832,24436,1743,0,0,10,53,1510,45011
55,165300,186,4.5,54725904,49438436,5287468,10,32,3667668,349800,1619680,1077952832,24905,1763,0,0,10,53,1510,47856
56,168258,122,4.7,54725904,49438432,5287472,10,32,3667668,352352,1622236,1077952832,25362,1791,0,0,10,53,1510,52068
57,171197,206,6.3,54725904,49438432,5287472,10,32,3667668,370040,1639940,1077952832,25809,1826,0,0,10,53,1510,48616
58,174103,109,4.9,54725904,49438432,5287472,10,32,3667668,337244,1607144,1077952832,26240,1858,0,0,10,53,1510,33450
59,177064,212,3.3,54725904,49438432,5287472,10,32,3667668,340340,1610248,1077952832,26706,1881,0,0,10,53,1510,43807
