  bash arg: -p
  bash arg: edu.temple.mar_security.mlkit
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=50ms (0ms mobile, 0ms wifi, 50ms not connected)
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,106,4.4,54725904,49417912,5307992,10,16,3667668,334848,1611404,1077952832,637,59,0,0,10,26,1505,45578
2,8108,118,5.9,54725904,49417912,5307992,10,16,3667668,330620,1607824,1077952832,970,74,0,0,10,26,1505,55329
3,11090,109,5.7,54725904,49417912,5307992,10,16,3667668,334520,1611688,1077952832,1287,93,0,0,10,26,1505,46506
4,14057,128,5.3,54725904,49417904,5308000,10,16,3667668,341124,1618348,1077952832,1612,112,0,0,10,26,1505,45786
5,17033,112,5.1,54725904,49417904,5308000,10,16,3667668,316600,1593888,1077952832,1932,139,0,0,10,26,1505,49839
6,19981,112,5.3,54725904,49417904,5308000,10,16,3667668,311592,1588888,1077952832,2255,161,0,0,10,26,1505,47512
7,22933,109,4.3,54725904,49417904,5308000,10,16,3667668,316576,1594112,1077952832,2575,181,0,0,10,26,1505,44722
8,25920,115,6.2,54725904,49417900,5308004,10,16,3667668,343308,1620924,1077952832,2907,211,0,0,10,26,1505,53794
9,28998,116,4.8,54725904,49417892,5308012,10,16,3667668,342224,1619888,1077952832,3268,230,0,0,10,32,1505,47918
10,32382,112,4.9,54725904,49417888,5308016,10,16,3667668,323928,1601608,1077952832,3606,258,0,0,10,32,1505,35507
11,35536,109,5.3,54725904,49417888,5308016,10,16,3667668,340228,1617912,1077952832,3953,289,0,0,10,32,1505,55056
12,38896,119,5.4,54725904,49417888,5308016,10,16,3667668,343244,1621124,1077952832,4289,318,0,0,10,32,1505,49546
13,41922,112,6.5,54725904,49417880,5308024,10,16,3667668,333024,1610912,1077952832,4615,338,0,0,10,32,1505,53912
14,44907,132,5.8,54725904,49417880,5308024,10,16,3667668,319156,1597064,1077952832,4937,364,0,0,10,32,1505,42257
15,47928,112,4.0,54725904,49417880,5308024,10,16,3667668,354288,1632204,1077952832,5260,390,0,0,10,32,1505,36166
16,50904,118,4.6,54725904,49417880,5308024,10,16,3667668,335640,1613556,1077952832,5583,414,0,0,10,32,1505,39446
17,53871,116,3.8,54725904,49417880,5308024,10,16,3667668,303736,1581676,1077952832,5905,432,0,0,10,32,1505,36821
18,56849,112,3.3,54725904,49417872,5308032,10,16,3667668,336900,1614852,1077952832,6226,450,0,0,10,32,1505,34553
19,59864,119,3.2,54725904,49417872,5308032,10,16,3667668,337500,1615648,1077952832,6550,475,0,0,10,32,1505,19734
20,62835,125,2.6,54725904,49417868,5308036,10,20,3667668,334796,1613560,1077952832,6876,486,0,0,10,32,1505,23790
21,65786,129,2.2,54725904,49417868,5308036,10,20,3667668,328884,1607648,1077952832,7195,512,0,0,10,32,1505,19815
22,68831,118,2.1,54725904,49417864,5308040,10,20,3667668,316616,1595520,1077952832,7506,544,0,0,10,32,1505,19835
23,71842,112,2.1,54725904,49417852,5308052,10,20,3667668,343496,1622376,1077952832,7824,570,0,0,10,32,1505,19851
24,74806,118,2.1,54725904,49417852,5308052,10,20,3667668,346664,1625552,1077952832,8143,599,0,0,10,32,1505,19865
25,77832,112,2.1,54725904,49417852,5308052,10,20,3667668,328364,1607324,1077952832,8468,619,0,0,10,32,1505,19865
26,80824,109,2.1,54725904,49417848,5308056,10,20,3667668,355240,1634204,1077952832,8776,648,0,0,10,32,1505,19869
27,83765,118,2.1,54725904,49417844,5308060,10,20,3667668,327500,1606480,1077952832,9096,665,0,0,10,32,1505,19869
28,86747,105,2.1,54725904,49417848,5308056,10,20,3667668,324944,1603684,1077952832,9410,691,0,0,10,32,1505,19871
29,89728,109,2.1,54725904,49417844,5308060,10,20,3667668,320400,1599520,1077952832,9729,710,0,0,10,32,1505,19871
30,92684,116,2.1,54725904,49417840,5308064,10,20,3667668,328136,1607260,4211008,10038,741,0,0,10,32,1505,19873
31,95675,132,2.1,54725904,49417840,5308064,10,20,3667668,332960,1612092,1077952832,10352,765,0,0,10,32,1505,19875
32,98631,109,2.1,54725904,49417840,5308064,10,20,3667668,339320,1618520,1077952832,10670,793,0,0,10,32,1505,19877
33,101649,106,2.1,54725904,49417836,5308068,10,20,3667668,332528,1611732,1077952832,10983,826,0,0,10,34,1505,19877
34,104666,124,2.1,54725904,49417832,5308072,10,20,3667668,326344,1605560,1077952832,11301,850,0,0,10,34,1505,19879
35,107637,112,2.1,54725904,49417832,5308072,10,20,3667668,331740,1611116,1077952832,11612,875,0,0,10,34,1505,19885
36,110608,118,2.1,54725904,49417832,5308072,10,20,3667668,352100,1631480,1077952832,11930,899,0,0,10,34,1505,19901
37,113547,109,2.1,54725904,49417828,5308076,10,20,3667668,339652,1619040,4211008,12257,923,0,0,10,34,1505,19913
38,116606,121,5.9,54725904,49417828,5308076,10,20,3667668,331992,1611604,1077952832,12609,953,0,0,10,34,1505,47101
39,119925,118,4.3,54725904,49417824,5308080,10,20,3667668,381592,1661216,1077952832,12928,983,0,0,10,34,1505,40269
40,122912,127,5.2,54725904,49417824,5308080,10,20,3667668,323204,1606620,1077952832,13253,1011,0,0,10,34,1505,44702
41,126016,112,3.6,54725904,49417824,5308080,10,20,3667668,327128,1610544,1077952832,13575,1042,0,0,10,34,1505,37286
42,129148,125,3.7,54725904,49417816,5308088,10,24,3667668,333376,1617452,1077952832,13920,1059,0,0,10,34,1505,35498
43,132304,115,2.5,54725904,49417816,5308088,10,24,3667668,337640,1621720,1077952832,14262,1082,0,0,10,34,1505,31648
44,135497,124,3.1,54725904,49417812,5308092,10,24,3667668,339064,1623168,1077952832,14589,1107,0,0,10,34,1505,24540
45,138559,109,2.1,54725904,49417812,5308092,10,24,3667668,335876,1620088,1077952832,14931,1125,0,0,10,34,1505,23083
46,141727,121,2.2,54725904,49417812,5308092,10,24,3667668,309416,1593636,1077952832,15254,1145,0,0,10,34,1505,22848
47,144720,115,2.1,54725904,49417812,5308092,10,24,3667668,341708,1626280,1077952832,15578,1160,0,0,10,34,1505,19984
48,147722,112,2.1,54725904,49417808,5308096,10,24,3667668,304432,1589028,1077952832,15900,1181,0,0,10,34,1505,19986
49,150695,115,2.1,54725904,49417808,5308096,10,24,3667668,326936,1611564,1077952832,16220,1201,0,0,10,34,1505,19989
50,153656,112,2.1,54725904,49417804,5308100,10,24,3667668,334384,1619024,1077952832,16542,1222,0,0,10,34,1505,20005
51,156649,115,2.1,54725904,49417804,5308100,10,24,3667668,326032,1610672,1077952832,16867,1244,0,0,10,34,1505,20007
52,159648,115,2.1,54725904,49417804,5308100,10,24,3667668,345644,1630292,1077952832,17196,1265,0,0,10,34,1505,20009
53,162736,112,2.1,54725904,49417804,5308100,10,24,3667668,295124,1579780,1077952832,17517,1294,0,0,10,34,1505,20016
54,165798,106,6.0,54725904,49417800,5308104,10,24,3667668,333356,1618016,1077952832,17836,1321,0,0,10,34,1505,51238
55,168809,112,4.7,54725904,49417800,5308104,10,24,3667668,324748,1609416,1077952832,18158,1341,0,0,10,34,1505,51372
56,171828,115,6.2,54725904,49417796,5308108,10,24,3667668,310352,1595024,1077952832,18487,1370,0,0,10,34,1505,52315
57,174921,112,5.9,54725904,49417796,5308108,10,24,3667668,376336,1661256,1077952832,18815,1387,0,0,10,34,1505,47978
58,177907,115,4.7,54725904,49417796,5308108,10,24,3667668,337472,1622452,1077952832,19140,1402,0,0,10,34,1505,50988
