  bash arg: -p
  bash arg: edu.temple.mar_security.mlkit_comp
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=61ms (0ms mobile, 0ms wifi, 61ms not connected)
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,112,6.2,54725904,49416568,5309336,10,16,3667668,333220,1573048,4211008,647,63,0,0,10,26,1498,58631
2,8146,106,6.5,54725904,49416568,5309336,10,16,3667668,303456,1544220,1077952832,973,82,0,0,10,26,1498,65251
3,11132,115,7.3,54725904,49416556,5309348,10,16,3667668,326644,1566260,1077952832,1297,104,0,0,10,26,1498,56424
4,14176,125,6.4,54725904,49416556,5309348,10,16,3667668,307812,1548008,1077952832,1625,127,0,0,10,26,1498,57048
5,17224,115,5.7,54725904,49416556,5309348,10,16,3667668,340756,1581092,1077952832,1949,155,0,0,10,26,1498,54237
6,20240,116,6.6,54725904,49416556,5309348,10,16,3667668,308436,1548844,1077952832,2273,182,0,0,10,26,1498,70474
7,23266,118,7.1,54725904,49416548,5309356,10,16,3667668,331608,1569440,4211008,2607,202,0,0,10,26,1498,57998
8,26286,106,6.5,54725904,49416548,5309356,10,16,3667668,280656,1518496,1077952832,2931,228,0,0,10,26,1498,69354
9,29351,115,7.6,54725904,49416548,5309356,10,16,3667668,322508,1560348,1077952832,3250,256,0,0,10,26,1498,58988
10,32387,122,7.1,54725904,49416548,5309356,10,16,3667668,298464,1538296,1077952832,3581,275,0,0,10,26,1498,68325
11,35385,112,6.6,54725904,49416536,5309368,10,16,3667668,343856,1583780,1077952832,3899,302,0,0,10,30,1498,57330
12,38371,109,6.7,54725904,49416536,5309368,10,16,3667668,317408,1557332,1077952832,4217,333,0,0,10,30,1498,60991
13,41411,124,6.3,54725904,49416536,5309368,10,16,3667668,341424,1567152,1077952832,4543,359,0,0,10,30,1498,52941
14,44453,124,6.3,54725904,49416540,5309364,10,16,3667668,362544,1588328,1077952832,4874,387,0,0,10,30,1498,50885
15,47523,121,6.4,54725904,49416540,5309364,10,16,3667668,361168,1586960,1077952832,5192,416,0,0,10,30,1498,57025
16,50526,109,6.0,54725904,49416532,5309372,10,16,3667668,332736,1558668,1077952832,5522,438,0,0,10,30,1498,59807
17,53575,112,5.6,54725904,49416524,5309380,10,16,3667668,347496,1573492,4211008,5850,459,0,0,10,30,1498,58794
18,56633,112,6.0,54725904,49416524,5309380,10,16,3667668,335580,1561620,4211008,6192,486,0,0,10,30,1498,53599
19,59714,106,6.4,54725904,49416524,5309380,10,16,3667668,404940,1635460,1077952832,6509,515,0,0,10,30,1498,59419
20,62749,115,6.6,54725904,49416516,5309388,10,16,3667668,398084,1628968,1077952832,6828,542,0,0,10,30,1498,53433
21,65756,109,6.6,54725904,49416512,5309392,10,20,3667668,389024,1620048,1077952832,7155,560,0,0,10,30,1498,62456
22,68796,118,5.9,54725904,49416512,5309392,10,20,3667668,413008,1643292,1077952832,7475,596,0,0,10,30,1498,49992
23,71802,106,5.4,54725904,49416512,5309392,10,20,3667668,419664,1649880,4211008,7786,631,0,0,10,30,1498,58026
24,74832,108,4.4,54725904,49416512,5309392,10,20,3667668,411848,1642076,1077952832,8114,655,0,0,10,30,1498,60199
25,77867,112,5.7,54725904,49416504,5309400,10,20,3667668,400516,1630800,4211008,8440,679,0,0,10,30,1498,54147
26,80888,112,6.2,54725904,49416504,5309400,10,20,3667668,401636,1632048,1077952832,8762,707,0,0,10,30,1498,64397
27,83923,115,5.3,54725904,49416500,5309404,10,20,3667668,374360,1604780,1077952832,9084,739,0,0,10,30,1498,61422
28,86967,112,5.9,54725904,49416500,5309404,10,20,3667668,400436,1630864,4211008,9409,765,0,0,10,30,1498,39913
29,89971,118,6.8,54725904,49416500,5309404,10,20,3667668,385984,1617232,4211008,9717,796,0,0,10,30,1498,63149
30,92982,125,5.4,54725904,49416500,5309404,10,20,3667668,416000,1647248,1077952832,10032,826,0,0,10,30,1498,46866
31,96031,109,6.8,54725904,49416496,5309408,10,20,3667668,379756,1611032,4211008,10352,855,0,0,10,30,1498,57155
32,99050,111,5.3,54725904,49416496,5309408,10,20,3667668,462572,1693848,1077952832,10671,888,0,0,10,30,1498,40178
33,102109,112,6.1,54725904,49416492,5309412,10,20,3667668,374916,1606200,1077952832,10999,908,0,0,10,30,1498,62207
34,105148,112,6.3,54725904,49416492,5309412,10,20,3667668,370496,1601784,4211008,11323,937,0,0,10,30,1498,58210
35,108184,127,5.7,54725904,49416492,5309412,10,20,3667668,423512,1655308,1077952832,11636,973,0,0,10,30,1498,45237
36,111228,117,6.0,54725904,49416488,5309416,10,20,3667668,402548,1634428,1077952832,11970,996,0,0,10,30,1498,61148
37,114310,112,4.6,54725904,49416488,5309416,10,20,3667668,402984,1634972,1077952832,12280,1036,0,0,10,30,1498,47497
38,117293,109,5.1,54725904,49416488,5309416,10,20,3667668,420192,1652516,1077952832,12602,1069,0,0,10,30,1498,55480
39,120408,124,6.1,54725904,49416488,5309416,10,20,3667668,474308,1706632,1077952832,12917,1102,0,0,10,30,1498,40783
40,123430,112,5.8,54725904,49416484,5309420,10,20,3667668,368292,1600628,1077952832,13233,1134,0,0,10,30,1498,65904
41,126464,112,6.4,54725904,49416480,5309424,10,20,3667668,385036,1617380,1077952832,13558,1156,0,0,10,34,1498,53530
42,129463,112,5.9,54725904,49416480,5309424,10,20,3667668,401760,1634116,1077952832,13867,1194,0,0,10,34,1498,57955
43,132476,118,6.3,54725904,49416476,5309428,10,24,3667668,390732,1626128,1077952832,14190,1219,0,0,10,34,1498,56338
44,135488,118,5.4,54725904,49416476,5309428,10,24,3667668,425408,1660912,1077952832,14509,1247,0,0,10,34,1498,47350
45,138485,112,5.0,54725904,49416472,5309432,10,24,3667668,427840,1663368,1077952832,14833,1267,0,0,10,34,1498,46451
46,141483,112,5.0,54725904,49416468,5309436,10,24,3667668,404420,1640116,1077952832,15156,1297,0,0,10,34,1498,50951
47,144519,115,6.3,54725904,49416468,5309436,10,24,3667668,392684,1628388,1077952832,15470,1325,0,0,10,34,1498,50816
48,147533,108,6.3,54725904,49416468,5309436,10,24,3667668,387468,1623276,1077952832,15784,1355,0,0,10,34,1498,55499
49,150497,112,6.3,54725904,49416468,5309436,10,24,3667668,360828,1596636,1077952832,16100,1377,0,0,10,34,1498,59473
50,153469,112,6.4,54725904,49416464,5309440,10,24,3667668,369808,1605628,1077952832,16450,1410,0,0,10,34,1498,57884
51,156927,109,5.9,54725904,49416460,5309444,10,24,3667668,392864,1628704,1077952832,16795,1428,0,0,10,34,1498,50105
52,159967,109,6.1,54725904,49416460,5309444,10,24,3667668,349656,1585496,1077952832,17115,1456,0,0,10,34,1498,59741
53,163003,109,6.5,54725904,49416460,5309444,10,24,3667668,384692,1620696,4211008,17428,1476,0,0,10,34,1498,52309
54,166042,124,6.2,54725904,49416460,5309444,10,24,3667668,374056,1610064,1077952832,17740,1505,0,0,10,34,1498,57571
55,169092,118,5.5,54725904,49416456,5309448,10,24,3667668,379948,1615960,1077952832,18053,1539,0,0,10,34,1498,56343
56,172121,102,6.5,54725904,49416452,5309452,10,24,3667668,363908,1599936,1077952832,18383,1565,0,0,10,34,1498,50348
57,175202,118,5.3,54725904,49416452,5309452,10,24,3667668,354656,1591444,1077952832,18703,1593,0,0,10,34,1498,58337
58,178225,111,5.7,54725904,49416452,5309452,10,24,3667668,360348,1597152,1077952832,19027,1620,0,0,10,34,1498,56705
