  bash arg: -p
  bash arg: edu.temple.mar_security.mlkit_orth
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=46ms (0ms mobile, 0ms wifi, 46ms not connected)
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,117,4.7,54725904,49444936,5280968,10,20,3667668,376824,1475240,1077952832,810,64,0,0,10,47,1511,52387
2,7953,184,4.7,54725904,49444840,5281064,10,20,3667668,384160,1514212,1077952832,1241,91,0,0,10,48,1511,38073
3,10979,117,3.9,54725904,49444676,5281228,10,20,3667668,330336,1524764,1077952832,1590,126,0,0,10,48,1511,42458
4,14282,183,4.7,54725904,49444536,5281368,10,20,3667668,307988,1549864,1077952832,1999,154,0,0,10,48,1511,44014
5,17217,177,3.8,54725904,49444516,5281388,10,20,3667668,236288,1557936,1077952832,2413,183,0,0,10,48,1511,47900
6,20163,158,5.9,54725904,49444468,5281436,10,20,3667668,237260,1598364,1077952832,2799,216,0,0,10,48,1511,47364
7,23117,109,4.6,54725904,49444436,5281468,10,20,3667668,192964,1546680,1077952832,3201,239,0,0,10,48,1511,43441
8,26031,158,3.7,54725904,49444420,5281484,10,20,3667668,154140,1493040,1077952832,3607,266,0,0,10,48,1511,41726
9,28966,183,4.8,54725904,49444412,5281492,10,20,3667668,139924,1530864,1077952832,4023,294,0,0,10,48,1511,45231
10,31935,190,5.1,54725904,49444336,5281568,10,20,3667668,171964,1525664,4211008,4481,324,0,0,10,50,1511,34346
11,34862,116,4.6,54725904,49444284,5281620,10,20,3667668,172480,1491644,1077952832,4893,352,0,0,10,50,1511,41151
12,37785,131,5.0,54725904,49416108,5309796,10,20,3667668,155632,1503984,1077952832,5298,381,0,0,10,50,1511,48311
13,40730,116,4.0,54725904,49415556,5310348,10,20,3667668,197616,1585792,1077952832,5700,408,0,0,10,50,1511,38002
14,43652,221,5.2,54725904,49415552,5310352,10,20,3667668,126696,1521668,4211008,6143,436,0,0,10,50,1511,49181
15,46627,109,4.4,54725904,49415536,5310368,10,20,3667668,165556,1570648,1077952832,6602,465,0,0,10,50,1511,38629
16,49652,183,5.5,54725904,49415944,5309960,10,20,3667668,111168,1517080,1077952832,7066,490,0,0,10,50,1511,50128
17,52623,112,6.0,54725904,49415940,5309964,10,20,3667668,148048,1560116,1077952832,7494,522,0,0,10,50,1511,53211
18,55644,109,3.8,54725904,49418024,5307880,10,20,3667668,107708,1605604,1077952832,7920,555,0,0,10,51,1511,32032
19,58562,175,3.2,54725904,49416828,5309076,10,20,3667668,94668,1587608,1077952832,8352,586,0,0,10,51,1511,34286
