Timestamp,Result Title,Result Confidence
20201230_074841,nolse face_signs.mp4 00:00 03:00
20201230_074843,T
20201230_074843,T
20201230_074844,T
20201230_074844,T
20201230_074845,T
20201230_074845,T
20201230_074847,T
20201230_074849,T
20201230_074850,T
20201230_074852,T
20201230_074853,-
20201230_074853,T *
20201230_074854,T
20201230_074854,T
20201230_074855,T
20201230_074855,T
20201230_074856,T
20201230_074857,T
20201230_074857,T
20201230_074858,T
20201230_074859,T
20201230_074859,T
20201230_074901,T
20201230_074901,T
20201230_074902,T -
20201230_074902,T
20201230_074903,T
20201230_074903,T
20201230_074904,T
20201230_074904,T
20201230_074905,T
20201230_074905,T
20201230_074906,T
20201230_074906,e
20201230_074911,T
20201230_074912,T
20201230_074913,T
20201230_074913,T
20201230_074914,T
20201230_074915,T
20201230_074915,T
20201230_074916,T
20201230_074918,T
20201230_074920,T
20201230_074921,T
20201230_074921,T
20201230_074922,T
20201230_074923,T -
20201230_074923,T
20201230_074924,T
20201230_074925,T
20201230_074925,T
20201230_074926,T
20201230_074927,www
20201230_074928,T
20201230_074930,T
20201230_074931,T
20201230_074932,T -
20201230_074932,T
20201230_074933,T
20201230_074934,T
20201230_074934,T
20201230_074935,T
20201230_074935,T
20201230_074936,T
20201230_074942,T
20201230_074943,M
20201230_074944,T
20201230_074944,AA T
20201230_074945,T
20201230_074945,T
20201230_074946,A
20201230_074947,T
20201230_074949,T
20201230_074950,T
20201230_074951,T
20201230_074951,T
20201230_074952,T
20201230_074953,T
20201230_074954,T
20201230_074954,T
20201230_074956,T
20201230_074957,T
20201230_074958,T
20201230_074958,T
20201230_074959,T
20201230_075000,T
20201230_075000,T
20201230_075001,T
20201230_075002,T
20201230_075003,T -*
20201230_075003,T
20201230_075004,T -
20201230_075004,T
20201230_075005,T
20201230_075005,T -
20201230_075006,T *
20201230_075006,T
20201230_075007,1927 T
20201230_075008,T
20201230_075008,ad192 T
20201230_075009,T
20201230_075009,-
20201230_075010,T
20201230_075011,T
20201230_075011,T -
20201230_075012,T
20201230_075013,T
20201230_075013,T
20201230_075015,A
20201230_075016,T
20201230_075016,T
20201230_075017,T
20201230_075017,T
20201230_075018,T -
20201230_075020,T
20201230_075020,T
20201230_075021,T A *
20201230_075021,T
20201230_075022,T
20201230_075023,T -
20201230_075023,T
20201230_075024,T
20201230_075025,T
20201230_075025,-
20201230_075026,T
20201230_075027,T
20201230_075028,T
20201230_075028,T
20201230_075029,T
20201230_075030,-
20201230_075030,T
20201230_075032,T
20201230_075033,T
20201230_075035,T
20201230_075036,T
20201230_075037,T
20201230_075037,T
20201230_075038,T
20201230_075039,T
20201230_075039,T
20201230_075040,T
20201230_075041,T
20201230_075041,NICOLE P 7800 N NO OUTLET T
20201230_075042,NICOLE PL 7800 N NO OUTLET T -
20201230_075043,NICOLEP 7800 N NO OUTLET T -*
20201230_075044,NICOLEPL 7800 N NO OUTLET -*
20201230_075044,NICOLE 7800 N PL NO OUTLET T -*
20201230_075045,NICOLE PL 7800 N NO OUTLET T
20201230_075045,NICOLE PL 7800 N NO OUTLET T -
20201230_075046,NICOLE PL 7800 N NO OUTLET T
20201230_075047,Black Lives Matter AVENUE Stonewall sT VE HISTORIC DISTRICT T
20201230_075048,Black Lives Matter AVENUE Stonewall s UE HISTORIC DISTRICT T
20201230_075048,Black Lives Matter ANENUE Stonewall sT UE HISTORIC DISTRICT T
20201230_075049,Black Lives Matter AVENUE Stonewall s7 LE HISTORIC DISTRICT
20201230_075050,Black Lives Matter AVENUE Stonewall ST VE HISTORIC DISTRICT T -
20201230_075050,Black Lives Matter AVENUE Stonewall s VE HISTORIC DISTRICT -
20201230_075051,Black Lives Matter AVENUE Stonewall sT HISTORIC L DISTRICT T
20201230_075052,ONE AY A ration ONE A BROADWAY 5AY NO STANDING ANYTIME T
20201230_075053,ONE AY ONE HAY BROADWAY AV NO STANDING ANYTIME T
20201230_075053,ONE AY ONE HAY BROADWAY AY NO STANDING ANYTIME T
20201230_075054,ONE AY ONE WAY BROADWAY AV 5 NO STANDING ANYTIME T
20201230_075055,ONE AY P A tatuo ONE NAY BROADWAY 5 AV NO STANDING ANY TIME T --
20201230_075056,ONE AY A rato ONE HAY BROADWAY AV 5 NO STANDING ANYTIME T
20201230_075056,ONE AY ONE MAY BROADWAY A NO STANDING ANYTIME a T
20201230_075057,Ohio St Historic South Norfolk Chesapeake Ave Historic South Norfolk STOP
20201230_075058,Ohio St Historic Squth Norfolk Chesapeake Ave Historic Sonth Norfolk STOP T
20201230_075058,Ohio St Historic South Norfolk Chesapeake Ave Historic Sonth Norfolk STOP
20201230_075059,Ohio St Historic South Norfolk Chesapeake Ave Historic South Norfolk STOP T
20201230_075100,Ohio St Historic Squth Norfolk Chesapeake Ave Historic Sonth Norfolk STOP
20201230_075101,Ohio St Historic Sounth Norfolk Chesapeake Ave Historic South Norfolk STOP
20201230_075101,STOP mwr T
20201230_075102,STOP
20201230_075103,STOP T
20201230_075104,STOP T
20201230_075104,STOP T
20201230_075105,STOP 7 T *
20201230_075106,STOP T
