  bash arg: -p
  bash arg: edu.temple.mar_security.mlkit
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=52ms (0ms mobile, 0ms wifi, 52ms not connected)
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,106,5.3,54725904,49440300,5285604,10,16,3667680,308304,1558744,1077952832,606,60,0,0,10,27,1496,58931
2,8044,122,7.6,54725904,49440256,5285648,10,16,3667680,291640,1507868,1077952832,909,91,0,0,10,27,1496,59918
3,10984,109,6.0,54725904,49440244,5285660,10,16,3667680,273756,1523192,1077952832,1218,107,0,0,10,27,1496,59917
4,13919,112,6.6,54725904,49440232,5285672,10,16,3667680,228492,1498888,1077952832,1527,132,0,0,10,27,1496,65246
5,16894,109,6.3,54725904,49440204,5285700,10,16,3667680,273060,1528936,1077952832,1840,150,0,0,10,27,1496,59207
6,19842,122,6.5,54725904,49440064,5285840,10,16,3667680,298996,1528372,1077952832,2150,177,0,0,10,29,1496,53536
7,22910,122,6.5,54725904,49439928,5285976,10,16,3667680,242500,1490220,1077952832,2461,203,0,0,10,29,1496,61860
8,25870,112,5.6,54725904,49411580,5314324,10,16,3667680,228404,1493200,1077952832,2775,225,0,0,10,29,1496,57065
9,28850,110,5.6,54725904,49411232,5314672,10,16,3667680,240004,1557280,1077952832,3093,244,0,0,10,29,1496,59429
10,31991,109,5.5,54725904,49411224,5314680,10,16,3667680,262436,1591060,1077952832,3420,270,0,0,10,30,1496,54875
11,35019,109,5.0,54725904,49411248,5314656,10,16,3667680,273456,1610780,1077952832,3750,291,0,0,10,30,1496,47083
12,38180,113,6.3,54725904,49411216,5314688,10,16,3667680,271040,1615200,1077952832,4080,321,0,0,10,30,1496,52754
13,41234,113,5.9,54725904,49482636,5243268,10,16,3667680,273712,1648448,1077952832,4410,342,0,0,10,30,1496,51174
14,44276,116,6.4,54725904,49412508,5313396,10,16,3667680,164940,1632792,1077952832,4734,358,0,0,10,30,1496,55741
15,47253,121,6.2,54725904,49412508,5313396,10,16,3667680,178400,1602756,1077952832,5048,384,0,0,10,30,1496,66881
16,50393,103,5.4,54725904,49412508,5313396,10,16,3667680,209484,1633924,1077952832,5366,410,0,0,10,30,1496,53699
17,53431,106,5.9,54725904,49412500,5313404,10,16,3667680,217760,1642436,1077952832,5678,433,0,0,10,30,1496,50365
18,56412,122,6.1,54725904,49411192,5314712,10,16,3667680,178432,1662472,1077952832,5991,454,0,0,10,30,1496,54267
19,59382,106,5.8,54725904,49411112,5314792,10,16,3667680,128668,1630300,1077952832,6315,479,0,0,10,30,1496,58332
20,62464,112,5.2,54725904,49411108,5314796,10,20,3667680,164772,1666772,1077952832,6638,501,0,0,10,30,1496,57800
21,65511,106,6.3,54725904,49411104,5314800,10,20,3667680,145380,1647400,1077952832,6955,530,0,0,10,30,1496,50297
22,68521,109,6.1,54725904,49411100,5314804,10,20,3667680,140568,1642040,1077952832,7279,556,0,0,10,30,1496,53787
23,71528,112,5.0,54725904,49411100,5314804,10,20,3667680,169712,1671248,1077952832,7600,585,0,0,10,30,1496,57931
24,74552,121,7.0,54725904,49411100,5314804,10,20,3667680,147436,1648972,1077952832,7931,615,0,0,10,30,1496,43130
25,77621,112,4.8,54725904,49411092,5314812,10,20,3667680,223964,1725540,1077952832,8260,642,0,0,10,30,1496,48420
26,80669,128,6.1,54725904,49411092,5314812,10,20,3667680,219172,1720760,1077952832,8579,674,0,0,10,30,1496,42895
27,83722,131,6.1,54725904,49411088,5314816,10,20,3667680,171516,1673104,1077952832,8899,707,0,0,10,30,1496,53952
28,86763,115,5.4,54725904,49411088,5314816,10,20,3667680,158780,1661096,1077952832,9221,730,0,0,10,30,1496,59758
29,89816,109,4.9,54725904,49411084,5314820,10,20,3667680,182164,1684524,1077952832,9550,752,0,0,10,30,1496,44549
30,92877,124,5.0,54725904,49411084,5314820,10,20,3667680,212680,1715316,1077952832,9882,771,0,0,10,30,1496,46802
31,95942,121,4.5,54725904,49411084,5314820,10,20,3667680,204996,1707632,1077952832,10194,802,0,0,10,30,1496,45704
32,99018,128,5.1,54725904,49411080,5314824,10,20,3667680,202500,1705144,1077952832,10519,828,0,0,10,30,1496,47464
33,102059,121,5.1,54725904,49411076,5314828,10,20,3667680,197540,1700196,1077952832,10839,859,0,0,10,30,1496,46976
34,105105,121,5.6,54725904,49411076,5314828,10,20,3667680,189776,1694492,1077952832,11163,887,0,0,10,30,1496,41535
35,108181,108,5.1,54725904,49411080,5314824,10,20,3667680,206444,1711176,1077952832,11489,919,0,0,10,30,1496,41581
36,111270,115,5.1,54725904,49411080,5314824,10,20,3667680,197120,1701860,1077952832,11814,949,0,0,10,30,1496,46954
37,114418,112,5.0,54725904,49411080,5314824,10,20,3667680,225092,1729832,1077952832,12158,974,0,0,10,30,1496,46639
38,117560,118,4.8,54725904,49411076,5314828,10,20,3667680,214848,1719600,1077952832,12472,1011,0,0,10,30,1496,47575
39,120582,111,4.5,54725904,49411072,5314832,10,20,3667680,196564,1701328,1077952832,12798,1037,0,0,10,30,1496,46665
40,123649,123,6.0,54725904,49411072,5314832,10,20,3667680,159828,1664596,1077952832,13137,1057,0,0,10,35,1496,56210
41,126747,109,6.3,54725904,49411072,5314832,10,20,3667680,177300,1682076,1077952832,13451,1092,0,0,10,35,1496,56944
42,129827,112,6.1,54725904,49411068,5314836,10,24,3667680,153664,1658484,1077952832,13782,1116,0,0,10,35,1496,54287
43,132910,115,6.2,54725904,49411064,5314840,10,24,3667680,190108,1695004,1077952832,14106,1140,0,0,10,35,1496,49379
44,135938,115,5.3,54725904,49411060,5314844,10,24,3667680,147900,1652996,1077952832,14434,1158,0,0,10,35,1496,56692
45,139011,108,6.1,54725904,49411060,5314844,10,24,3667680,172824,1677924,1077952832,14756,1187,0,0,10,35,1496,55034
46,142051,105,5.1,54725904,49411060,5314844,10,24,3667680,180916,1686024,1077952832,15080,1214,0,0,10,35,1496,54651
47,145163,114,5.5,54725904,49411060,5314844,10,24,3667680,180232,1685348,1077952832,15406,1238,0,0,10,35,1496,51928
48,148206,115,5.6,54725904,49411060,5314844,10,24,3667680,208712,1713896,1077952832,15722,1266,0,0,10,35,1496,48289
49,151254,109,5.1,54725904,49411052,5314852,10,24,3667680,161736,1670100,1077952832,16044,1283,0,0,10,35,1496,55603
50,154307,115,6.1,54725904,49411048,5314856,10,24,3667680,176208,1684648,1077952832,16376,1305,0,0,10,35,1496,49913
51,157360,109,6.4,54725904,49411048,5314856,10,24,3667680,181252,1689716,1077952832,16697,1336,0,0,10,35,1496,55545
52,160411,115,5.8,54725904,49411048,5314856,10,24,3667680,205000,1713500,1077952832,17013,1359,0,0,10,35,1496,45691
53,163484,112,5.2,54725904,49411048,5314856,10,24,3667680,157712,1666212,4211008,17334,1384,0,0,10,35,1496,55242
54,166546,112,6.1,54725904,49411048,5314856,10,24,3667680,165004,1676700,1077952832,17663,1416,0,0,10,35,1496,48833
55,169663,115,5.2,54725904,49411044,5314860,10,24,3667680,178876,1690584,1077952832,17985,1445,0,0,10,35,1496,57839
56,172761,117,6.1,54725904,49411044,5314860,10,24,3667680,181028,1692736,1077952832,18306,1471,0,0,10,35,1496,51982
57,175834,109,5.6,54725904,49411040,5314864,10,24,3667680,183732,1695452,4211008,18630,1493,0,0,10,35,1496,52052
58,178939,112,6.0,54725904,49411040,5314864,10,24,3667680,154196,1665924,1077952832,18946,1526,0,0,10,35,1496,51882
