  bash arg: -p
  bash arg: edu.temple.mar_security.mlkit_comp
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=32ms (0ms mobile, 0ms wifi, 32ms not connected)
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,112,6.2,54725904,49446624,5279280,10,16,3667668,264504,1390068,1077952832,595,65,0,0,10,27,1503,59066
2,7951,113,6.8,54725904,49446472,5279432,10,16,3667668,275396,1374920,1077952832,901,90,0,0,10,27,1503,71417
3,10860,106,7.3,54725904,49446384,5279520,10,16,3667668,328616,1463508,1077952832,1206,106,0,0,10,28,1503,59786
4,13743,103,6.4,54725904,49446188,5279716,10,16,3667668,391068,1580464,1077952832,1482,129,0,0,10,28,1503,60806
5,16724,112,6.6,54725904,49446136,5279768,10,16,3667668,269460,1511968,1077952832,1786,152,0,0,10,28,1503,58809
6,19623,119,7.1,54725904,49447096,5278808,10,16,3667668,265384,1573424,1077952832,2082,173,0,0,10,28,1503,57798
7,22536,116,7.6,54725904,49446996,5278908,10,16,3667668,194508,1548704,1077952832,2385,197,0,0,10,29,1503,71988
8,25471,109,7.1,54725904,49446792,5279112,10,16,3667668,145812,1491584,1077952832,2666,219,0,0,10,29,1503,64974
9,28331,116,7.4,54725904,49446912,5278992,10,16,3667668,208652,1490844,1077952832,2977,233,0,0,10,29,1503,65439
10,31247,112,6.1,54725904,49446896,5279008,10,16,3667668,214432,1556588,1077952832,3273,261,0,0,10,29,1503,57637
11,34148,109,6.6,54725904,49446816,5279088,10,16,3667668,230180,1591248,1077952832,3581,284,0,0,10,31,1503,48807
12,37131,109,6.3,54725904,49446760,5279144,10,16,3667668,138624,1489652,1077952832,3880,304,0,0,10,32,1503,58980
13,40044,122,7.0,54725904,49418392,5307512,10,16,3667668,133064,1445632,1077952832,4176,328,0,0,10,32,1503,57868
14,42972,103,7.0,54725904,49418036,5307868,10,16,3667668,164296,1528068,4211008,4484,343,0,0,10,32,1503,58179
15,45905,116,6.5,54725904,49418036,5307868,10,16,3667668,169048,1548128,1077952832,4788,376,0,0,10,32,1503,56617
16,48785,112,6.7,54725904,49418020,5307884,10,16,3667668,142676,1530332,1077952832,5106,393,0,0,10,32,1503,62454
17,51732,128,7.3,54725904,49418424,5307480,10,16,3667668,102244,1487260,1077952832,5426,429,0,0,10,32,1503,65136
18,54865,109,6.2,54725904,49418048,5307856,10,16,3667668,113980,1505060,1077952832,5739,459,0,0,10,32,1503,65697
19,57820,116,6.1,54725904,49420504,5305400,10,16,3667668,126644,1554300,1077952832,6049,481,0,0,10,32,1503,65268
20,60834,112,6.0,54725904,49419292,5306612,10,16,3667668,149516,1580220,1077952832,6364,503,0,0,10,32,1503,54142
21,63843,112,6.1,54725904,49419288,5306616,10,20,3667668,162524,1543852,1077952832,6685,532,0,0,10,32,1503,62973
22,66977,90.6,5.9,54725904,49419288,5306616,10,20,3667668,249640,1642096,4211008,6975,563,0,0,10,32,1503,44480
23,69940,105,4.8,54725904,49417996,5307908,10,20,3667668,248000,1646828,1077952832,7282,593,0,0,10,32,1503,44413
24,72962,113,4.0,54725904,49417904,5308000,10,20,3667668,216936,1681092,1077952832,7587,630,0,0,10,33,1503,45122
25,75961,119,5.4,54725904,49417900,5308004,10,20,3667668,203316,1667612,4211008,7901,673,0,0,10,33,1503,41313
26,79030,120,6.4,54725904,49417900,5308004,10,20,3667668,199424,1663784,1077952832,8220,707,0,0,10,33,1503,52688
27,82090,109,5.8,54725904,49417900,5308004,10,20,3667668,164524,1628920,1077952832,8543,735,0,0,10,33,1503,57947
28,85126,119,3.9,54725904,49417892,5308012,10,20,3667668,176284,1641084,4211008,8861,763,0,0,10,33,1503,52168
29,88158,106,5.3,54725904,49417888,5308016,10,20,3667668,215028,1679832,4211008,9171,798,0,0,10,33,1503,38049
30,91211,116,6.1,54725904,49417884,5308020,10,20,3667668,161448,1626264,1077952832,9485,835,0,0,10,33,1503,61495
31,94291,116,4.5,54725904,49417880,5308024,10,20,3667668,240924,1706540,1077952832,9798,866,0,0,10,33,1503,44901
32,97346,112,6.2,54725904,49417876,5308028,10,20,3667668,204004,1670220,4211008,10132,894,0,0,10,33,1503,49838
33,100529,109,4.3,54725904,49417876,5308028,10,20,3667668,214044,1681236,4211008,10455,928,0,0,10,33,1503,54018
34,103593,103,5.7,54725904,49417876,5308028,10,20,3667668,224408,1691656,1077952832,10764,969,0,0,10,33,1503,42199
35,106651,112,5.9,54725904,49417872,5308032,10,20,3667668,230292,1697576,1077952832,11083,995,0,0,10,33,1503,53376
36,109696,112,6.6,54725904,49417864,5308040,10,20,3667668,209400,1676868,1077952832,11406,1028,0,0,10,33,1503,56610
37,112808,115,6.3,54725904,49417864,5308040,10,20,3667668,184384,1651852,1077952832,11727,1055,0,0,10,33,1503,54941
