  bash arg: -p
  bash arg: edu.temple.mar_security.mlkit_orth
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=32ms (0ms mobile, 0ms wifi, 32ms not connected)
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,109,4.6,54725904,49414388,5311516,10,20,3667668,378376,1567732,1077952832,881,72,0,0,10,46,1527,38624
2,8195,146,4.5,54725904,49414412,5311492,10,20,3667668,303800,1503952,1077952832,1314,103,0,0,10,47,1527,55208
3,11202,187,5.9,54725904,49414792,5311112,10,20,3667668,330492,1527836,1077952832,1761,135,0,0,10,47,1527,52549
4,14193,190,6.6,54725904,49414380,5311524,10,20,3667668,360904,1567560,1077952832,2202,163,0,0,10,47,1527,47043
5,17211,184,3.1,54725904,49416872,5309032,10,20,3667668,334996,1611564,1077952832,2643,194,0,0,10,47,1527,33194
6,20238,109,4.5,54725904,49415676,5310228,10,20,3667668,351184,1632752,1077952832,3053,228,0,0,10,47,1527,31730
7,23219,215,4.7,54725904,49415676,5310228,10,20,3667668,300656,1582760,1077952832,3475,249,0,0,10,47,1527,43922
8,26239,184,5.2,54725904,49415672,5310232,10,20,3667668,371080,1612480,1077952832,3895,292,0,0,10,47,1527,33980
9,29239,109,4.5,54725904,49415668,5310236,10,20,3667668,346884,1588688,1077952832,4318,319,0,0,10,47,1527,30133
10,32251,168,4.2,54725904,49414292,5311612,10,20,3667668,314032,1615676,1077952832,4737,353,0,0,10,47,1527,51496
11,35230,161,3.7,54725904,49414292,5311612,10,20,3667668,300884,1602852,1077952832,5150,388,0,0,10,47,1527,40518
12,38234,190,5.4,54725904,49414292,5311612,10,20,3667668,313112,1615092,1077952832,5557,423,0,0,10,47,1527,46939
