  bash arg: -p
  bash arg: edu.temple.mar_security.mlkit
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=44ms (0ms mobile, 0ms wifi, 44ms not connected)
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,109,5.2,54725904,49413460,5312444,10,16,3667668,375400,1607376,1077952832,644,59,0,0,10,26,1500,50477
2,8035,112,6.4,54725904,49474260,5251644,10,16,3667668,295540,1584320,1077952832,969,82,0,0,10,26,1500,57483
3,11039,113,6.2,54725904,49414756,5311148,10,16,3667668,361304,1599892,1077952832,1276,103,0,0,10,26,1500,53519
4,13957,132,6.1,54725904,49414752,5311152,10,16,3667668,349548,1588560,1077952832,1593,117,0,0,10,26,1500,49215
5,16900,112,6.2,54725904,49414752,5311152,10,16,3667668,362552,1602076,1077952832,1905,138,0,0,10,26,1500,58530
6,19813,112,5.2,54725904,49414752,5311152,10,16,3667668,344560,1584440,1077952832,2229,158,0,0,10,28,1500,54489
7,22829,109,6.1,54725904,49413456,5312448,10,16,3667668,323872,1611844,1077952832,2545,182,0,0,10,28,1500,59768
8,25837,112,6.3,54725904,49413364,5312540,10,16,3667668,300372,1604076,1077952832,2874,203,0,0,10,28,1500,66919
9,28908,110,7.3,54725904,49413364,5312540,10,16,3667668,344232,1649704,1077952832,3192,222,0,0,10,28,1500,57910
10,31957,122,7.5,54725904,49413364,5312540,10,16,3667668,325308,1605548,4211008,3515,245,0,0,10,28,1500,64858
11,34989,112,6.4,54725904,49413364,5312540,10,16,3667668,346640,1626876,1077952832,3830,279,0,0,10,28,1500,52768
12,38030,112,6.3,54725904,49413356,5312548,10,16,3667668,353188,1633364,1077952832,4151,307,0,0,10,28,1500,56835
13,41057,112,6.3,54725904,49413356,5312548,10,16,3667668,347572,1628056,1077952832,4485,334,0,0,10,28,1500,58699
14,44155,103,6.4,54725904,49413356,5312548,10,16,3667668,326544,1607176,1077952832,4803,353,0,0,10,28,1500,70721
15,47224,115,6.2,54725904,49413352,5312552,10,16,3667668,368388,1649032,1077952832,5130,380,0,0,10,28,1500,58342
16,50302,113,6.1,54725904,49413348,5312556,10,16,3667668,367248,1648012,1077952832,5455,406,0,0,10,28,1500,57475
17,53396,103,6.6,54725904,49413340,5312564,10,16,3667668,385152,1666496,1077952832,5796,429,0,0,10,28,1500,57958
18,56566,112,6.1,54725904,49413332,5312572,10,16,3667668,376028,1657664,1077952832,6133,453,0,0,10,28,1500,57894
19,59615,112,7.6,54725904,49413332,5312572,10,16,3667668,320500,1602332,1077952832,6460,474,0,0,10,28,1500,66744
20,62671,116,5.5,54725904,49413320,5312584,10,20,3667668,371952,1654444,1077952832,6786,504,0,0,10,28,1500,60072
21,65754,112,6.3,54725904,49413316,5312588,10,20,3667668,400100,1682372,1077952832,7112,526,0,0,10,28,1500,48791
22,68740,115,5.4,54725904,49413308,5312596,10,20,3667668,341624,1623956,1077952832,7437,549,0,0,10,31,1500,62779
23,71772,106,6.4,54725904,49413308,5312596,10,20,3667668,398084,1680416,1077952832,7750,582,0,0,10,31,1500,51225
24,74784,121,4.9,54725904,49413304,5312600,10,20,3667668,342716,1627116,1077952832,8078,603,0,0,10,31,1500,48487
25,77849,118,5.7,54725904,49413304,5312600,10,20,3667668,374728,1659128,1077952832,8401,635,0,0,10,31,1500,47972
26,80911,112,5.6,54725904,49413304,5312600,10,20,3667668,381588,1666044,1077952832,8714,669,0,0,10,31,1500,52117
27,83949,121,6.0,54725904,49413304,5312600,10,20,3667668,381796,1666252,1077952832,9045,691,0,0,10,31,1500,50750
28,87005,109,5.5,54725904,49413296,5312608,10,20,3667668,339800,1624284,1077952832,9379,710,0,0,10,31,1500,61728
29,90083,115,4.6,54725904,49413292,5312612,10,20,3667668,383080,1667572,1077952832,9721,725,0,0,10,31,1500,51439
30,93106,115,4.6,54725904,49413292,5312612,10,20,3667668,373456,1661652,1077952832,10054,742,0,0,10,31,1500,50885
31,96158,112,4.9,54725904,49413288,5312616,10,20,3667668,373088,1661288,1077952832,10382,763,0,0,10,31,1500,51402
