  bash arg: -p
  bash arg: edu.temple.mar_security.mlkit_comp
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=35ms (0ms mobile, 0ms wifi, 35ms not connected)
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,116,6.1,54725904,49419108,5306796,10,16,3667668,316740,1537480,1077952832,629,55,0,0,10,25,1494,56928
2,7863,109,6.8,54725904,49417724,5308180,10,16,3667668,270388,1565372,1077952832,947,86,0,0,10,26,1494,67398
3,10897,106,7.7,54725904,49417716,5308188,10,16,3667668,246972,1538876,1077952832,1268,109,0,0,10,26,1494,78785
4,13943,115,7.9,54725904,49417716,5308188,10,16,3667668,338984,1578212,1077952832,1586,143,0,0,10,26,1494,58391
5,16999,116,6.8,54725904,49417716,5308188,10,16,3667668,367676,1606968,1077952832,1914,168,0,0,10,26,1494,64384
6,20013,109,7.7,54725904,49417716,5308188,10,16,3667668,356548,1596012,1077952832,2244,190,0,0,10,26,1494,72205
7,23032,112,6.7,54725904,49417708,5308196,10,16,3667668,383988,1623496,1077952832,2570,213,0,0,10,26,1494,68906
8,26099,116,6.2,54725904,49417704,5308200,10,16,3667668,411752,1651504,1077952832,2890,247,0,0,10,26,1494,55403
9,29109,106,6.6,54725904,49417704,5308200,10,16,3667668,372044,1611808,1077952832,3220,267,0,0,10,26,1494,65554
10,32168,106,7.1,54725904,49417700,5308204,10,16,3667668,471420,1711188,1077952832,3573,285,0,0,10,26,1494,47626
11,35521,125,6.5,54725904,49417696,5308208,10,16,3667668,428160,1669900,1077952832,3906,314,0,0,10,26,1494,57077
12,38597,109,6.4,54725904,49417696,5308208,10,16,3667668,363248,1605280,1077952832,4230,339,0,0,10,26,1494,69253
13,41629,112,6.6,54725904,49417696,5308208,10,16,3667668,405060,1647184,1077952832,4563,362,0,0,10,26,1494,60197
14,44756,109,6.3,54725904,49417688,5308216,10,16,3667668,393464,1635756,1077952832,4897,382,0,0,10,26,1494,62691
15,47796,109,6.3,54725904,49417676,5308228,10,16,3667668,357652,1599992,4211008,5231,406,0,0,10,26,1494,69213
16,50893,100,6.3,54725904,49417676,5308228,10,16,3667668,419224,1661960,1077952832,5550,430,0,0,10,26,1494,59028
17,53961,112,7.4,54725904,49417676,5308228,10,16,3667668,346808,1591548,1077952832,5863,463,0,0,10,26,1494,74551
18,56990,112,6.8,54725904,49417676,5308228,10,16,3667668,394000,1638856,1077952832,6183,489,0,0,10,26,1494,58838
19,60017,128,6.5,54725904,49417668,5308236,10,16,3667668,377956,1624272,1077952832,6499,525,0,0,10,26,1494,52633
20,63059,112,5.4,54725904,49417668,5308236,10,16,3667668,486676,1723456,4211008,6833,551,0,0,10,26,1494,43142
21,66202,118,5.0,54725904,49417664,5308240,10,20,3667668,481680,1709680,4211008,7160,585,0,0,10,26,1494,46275
22,69412,128,6.2,54725904,49417664,5308240,10,20,3667668,433652,1661836,4211008,7478,617,0,0,10,27,1494,53321
23,72490,97.0,5.2,54725904,49417660,5308244,10,20,3667668,451020,1679220,4211008,7804,646,0,0,10,27,1494,55456
24,75598,112,5.3,54725904,49417660,5308244,10,20,3667668,455736,1683944,1077952832,8118,686,0,0,10,27,1494,49947
25,78831,112,4.8,54725904,49417660,5308244,10,20,3667668,458640,1686848,1077952832,8439,722,0,0,10,27,1494,45122
26,81950,112,4.9,54725904,49417660,5308244,10,20,3667668,442976,1671252,4211008,8763,753,0,0,10,27,1494,53239
27,85065,109,5.4,54725904,49417660,5308244,10,20,3667668,444580,1672892,1077952832,9072,784,0,0,10,27,1494,53914
28,88148,115,4.8,54725904,49417656,5308248,10,20,3667668,474148,1702520,1077952832,9384,818,0,0,10,27,1494,52779
29,91281,115,4.4,54725904,49417652,5308252,10,20,3667668,460796,1689180,4211008,9719,849,0,0,10,27,1494,57429
