Timestamp,Result Title,Result Confidence
20201230_100122,noise group_signs.mp4 00:00 03:00
20201230_100124,T
20201230_100125,T
20201230_100133,T
20201230_100148,-
20201230_100153,T
20201230_100154,T
20201230_100203,T
20201230_100207,T
20201230_100215,-
20201230_100220,T
20201230_100221,T
20201230_100227,T
20201230_100240,t F
20201230_100242,T
20201230_100243,T
20201230_100244,M
20201230_100248,T
20201230_100250,T
20201230_100256,A
20201230_100328,noise_group_signs.mp4 01-41 03:00
20201230_100329,noise group_signs.mp4 01:41 03-00
20201230_100329,noise group_signs.mp4 01:41 03:00
20201230_100330,noise group_signs.mp4 01:41 03-00
20201230_100331,noise group_signs.mp4 0141 03300
20201230_100332,noise group_signs.mp4 0142 03:00
20201230_100333,noise group_signs.mp4 0142 03-00
20201230_100334,noise group_signs.mp4 01-42 03300
20201230_100334,noise_group_signs.mp4 03:00
20201230_100335,noise_group_signs.mp4 90700 03 00
20201230_100336,noise_groupsigns.mp4 « 90200 03100
