  bash arg: -p
  bash arg: edu.temple.mar_security.mlkit_orth
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=51ms (0ms mobile, 0ms wifi, 51ms not connected)
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,112,4.9,54725904,49483612,5242292,10,20,3667668,292468,1406580,1077952832,757,93,0,0,10,48,1504,40452
2,8026,112,4.3,54725904,49483392,5242512,10,20,3667668,378964,1456772,1077952832,1170,109,0,0,10,48,1504,44054
3,10930,158,5.5,54725904,49483292,5242612,10,20,3667668,372756,1485132,1077952832,1579,129,0,0,10,49,1504,52038
4,13881,124,5.1,54725904,49483068,5242836,10,20,3667668,301544,1490444,1077952832,1927,160,0,0,10,49,1504,55478
5,16993,116,4.7,54725904,49483076,5242828,10,20,3667668,355320,1593184,1077952832,2318,178,0,0,10,49,1504,38808
6,19887,129,6.0,54725904,49482956,5242948,10,20,3667668,242952,1572220,1077952832,2708,205,0,0,10,49,1504,54979
7,22812,112,4.7,54725904,49482796,5243108,10,20,3667668,262056,1615064,1077952832,3078,231,0,0,10,49,1504,49057
8,25683,161,4.9,54725904,49482712,5243192,10,20,3667668,167564,1546416,1077952832,3453,259,0,0,10,49,1504,37876
9,28531,174,4.9,54725904,49482752,5243152,10,20,3667668,225648,1543712,1077952832,3870,279,0,0,10,49,1504,43311
10,31465,178,3.5,54725904,49482708,5243196,10,20,3667668,172624,1544232,1077952832,4255,301,0,0,10,49,1504,38402
11,34401,106,2.8,54725904,49482636,5243268,10,20,3667668,242620,1594424,1077952832,4660,340,0,0,10,49,1504,33945
12,37269,112,5.3,54725904,49482584,5243320,10,20,3667668,188616,1512280,1077952832,5036,366,0,0,10,51,1504,41637
13,40200,177,4.6,54725904,49454404,5271500,10,20,3667668,145448,1527816,1077952832,5425,391,0,0,10,51,1504,38523
14,43043,185,2.3,54725904,49454196,5271708,10,20,3667668,180548,1512316,1077952832,5817,422,0,0,10,51,1504,32905
15,45961,171,5.5,54725904,49453840,5272064,10,20,3667668,119504,1499148,4211008,6231,449,0,0,10,51,1504,61368
16,48876,130,5.8,54725904,49453856,5272048,10,20,3667668,151780,1536416,1077952832,6667,482,0,0,10,51,1504,51728
17,51799,190,5.0,54725904,49453820,5272084,10,20,3667668,170796,1561068,4211008,7090,515,0,0,10,51,1504,47047
18,54734,100,5.0,54725904,49453820,5272084,10,20,3667668,119704,1516300,1077952832,7517,549,0,0,10,51,1504,49864
19,57647,177,3.9,54725904,49514612,5211292,10,20,3667668,128664,1567264,1077952832,7921,575,0,0,10,51,1504,40832
20,60553,116,4.9,54725904,49455112,5270792,10,20,3667668,183296,1612696,1077952832,8335,600,0,0,10,51,1504,48730
21,63440,121,5.5,54725904,49455108,5270796,10,24,3667668,177180,1610296,1077952832,8742,624,0,0,10,51,1504,57255
22,66394,115,5.8,54725904,49455100,5270804,10,24,3667668,221536,1659184,1077952832,9127,652,0,0,10,51,1504,46752
23,69296,160,4.5,54725904,49455100,5270804,10,24,3667668,206152,1643956,1077952832,9515,675,0,0,10,51,1504,39373
24,72206,145,4.6,54725904,49455096,5270808,10,24,3667668,179460,1617564,1077952832,9903,699,0,0,10,51,1504,45793
25,75164,186,6.0,54725904,49453716,5272188,10,24,3667668,128872,1643064,1077952832,10310,724,0,0,10,51,1504,52276
26,78074,209,5.5,54725904,49453712,5272192,10,24,3667668,98236,1612380,1077952832,10758,749,0,0,10,51,1504,59198
