  bash arg: -p
  bash arg: edu.temple.mar_security.mlkit
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=34ms (0ms mobile, 0ms wifi, 34ms not connected)
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,112,6.2,54725904,49420084,5305820,10,16,3667668,344348,1587908,1077952832,633,59,0,0,10,26,1508,57432
2,7875,122,7.3,54725904,49422576,5303328,10,16,3667668,315272,1588420,1077952832,954,78,0,0,10,26,1508,60004
3,10789,103,6.2,54725904,49421376,5304528,10,16,3667668,343532,1598188,1077952832,1252,99,0,0,10,26,1508,49572
4,13632,115,6.2,54725904,49421372,5304532,10,16,3667668,310484,1570940,1077952832,1544,127,0,0,10,26,1508,65223
5,16483,109,4.9,54725904,49421372,5304532,10,16,3667668,373900,1634820,1077952832,1856,143,0,0,10,26,1508,50183
6,19381,112,5.0,54725904,49420080,5305824,10,16,3667668,342736,1635676,1077952832,2156,173,0,0,10,26,1508,46824
7,22293,116,4.7,54725904,49419992,5305912,10,16,3667668,280640,1601628,4211008,2469,201,0,0,10,26,1508,65159
8,25209,112,6.5,54725904,49419984,5305920,10,16,3667668,333564,1654688,1077952832,2782,228,0,0,10,26,1508,53264
9,28163,116,6.0,54725904,49419984,5305920,10,16,3667668,272728,1592652,1077952832,3096,246,0,0,10,26,1508,52361
10,31075,112,6.1,54725904,49419984,5305920,10,16,3667668,316240,1634992,1077952832,3411,266,0,0,10,26,1508,58475
11,33997,125,6.3,54725904,49419984,5305920,10,16,3667668,373312,1692072,1077952832,3717,298,0,0,10,32,1508,51265
12,36941,118,5.3,54725904,49419980,5305924,10,16,3667668,325440,1644232,1077952832,4027,330,0,0,10,32,1508,52010
13,39879,109,5.9,54725904,49419976,5305928,10,16,3667668,313648,1632488,1077952832,4348,345,0,0,10,32,1508,51063
14,42805,112,5.3,54725904,49419972,5305932,10,16,3667668,314848,1633800,1077952832,4670,360,0,0,10,32,1508,50324
15,45737,112,5.2,54725904,49419972,5305932,10,16,3667668,377872,1696808,1077952832,4991,377,0,0,10,32,1508,34471
16,48692,109,3.2,54725904,49419968,5305936,10,16,3667668,369224,1688176,1077952832,5314,392,0,0,10,32,1508,33053
17,51642,116,2.7,54725904,49419960,5305944,10,16,3667668,388596,1707596,1077952832,5633,412,0,0,10,32,1508,22491
18,54598,119,2.1,54725904,49419952,5305952,10,16,3667668,366860,1686296,1077952832,5944,444,0,0,10,32,1508,21967
19,57549,118,2.1,54725904,49419952,5305952,10,16,3667668,369148,1688620,1077952832,6266,465,0,0,10,32,1508,19867
20,60510,112,2.1,54725904,49419952,5305952,10,16,3667668,339796,1658848,1077952832,6575,489,0,0,10,32,1508,19874
21,63403,119,5.8,54725904,49419944,5305960,10,20,3667668,352604,1672008,1077952832,6881,526,0,0,10,32,1508,52395
22,66319,106,4.9,54725904,49419940,5305964,10,20,3667668,391516,1710768,1077952832,7195,544,0,0,10,32,1508,48188
23,69257,118,4.8,54725904,49419936,5305968,10,20,3667668,382028,1704648,1077952832,7501,573,0,0,10,32,1508,43509
24,72194,112,4.9,54725904,49419936,5305968,10,20,3667668,385636,1710392,1077952832,7822,587,0,0,10,32,1508,48217
25,75158,106,3.9,54725904,49419932,5305972,10,20,3667668,388044,1712812,4211008,8133,613,0,0,10,32,1508,43578
26,78082,109,4.1,54725904,49419936,5305968,10,20,3667668,389536,1714332,1077952832,8429,637,0,0,10,32,1508,41333
