Timestamp,Frame Count,Total Frame Time (millis),Avg Frame Time (millis),Avg FPS
20201230_062451,57,1011.0,17.736842105263158,5.637982195845697E-5
20201230_062452,59,1000.0,16.949152542372882,5.9E-5
20201230_062453,58,1001.0,17.25862068965517,5.7942057942057946E-5
20201230_062454,59,1000.0,16.949152542372882,5.9E-5
20201230_062455,58,1000.0,17.24137931034483,5.8E-5
20201230_062456,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_062457,55,1005.0,18.272727272727273,5.472636815920398E-5
20201230_062458,61,1012.0,16.59016393442623,6.027667984189723E-5
20201230_062459,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_062500,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_062501,60,1016.0,16.933333333333334,5.905511811023622E-5
20201230_062502,59,1000.0,16.949152542372882,5.9E-5
20201230_062503,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_062504,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_062505,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_062506,59,1003.0,17.0,5.882352941176471E-5
20201230_062507,61,1015.0,16.639344262295083,6.009852216748769E-5
20201230_062508,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_062509,59,1000.0,16.949152542372882,5.9E-5
20201230_062510,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_062511,59,1000.0,16.949152542372882,5.9E-5
20201230_062512,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_062513,60,1011.0,16.85,5.934718100890208E-5
20201230_062514,61,1006.0,16.491803278688526,6.063618290258449E-5
20201230_062515,59,1002.0,16.983050847457626,5.888223552894212E-5
20201230_062516,61,1015.0,16.639344262295083,6.009852216748769E-5
20201230_062517,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_062518,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_062519,60,1004.0,16.733333333333334,5.976095617529881E-5
20201230_062520,60,1013.0,16.883333333333333,5.9230009871668316E-5
20201230_062521,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_062522,61,1016.0,16.65573770491803,6.0039370078740153E-5
20201230_062523,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_062524,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_062525,59,1000.0,16.949152542372882,5.9E-5
20201230_062526,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_062527,59,1000.0,16.949152542372882,5.9E-5
20201230_062528,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_062529,59,1000.0,16.949152542372882,5.9E-5
20201230_062530,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_062531,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_062532,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_062533,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_062534,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_062535,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_062536,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_062537,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_062538,59,1000.0,16.949152542372882,5.9E-5
20201230_062539,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_062540,60,1016.0,16.933333333333334,5.905511811023622E-5
20201230_062541,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_062542,60,1002.0,16.7,5.988023952095808E-5
20201230_062543,61,1015.0,16.639344262295083,6.009852216748769E-5
20201230_062544,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_062545,59,1000.0,16.949152542372882,5.9E-5
20201230_062546,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_062547,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_062548,61,1016.0,16.65573770491803,6.0039370078740153E-5
20201230_062549,59,1000.0,16.949152542372882,5.9E-5
20201230_062550,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_062551,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_062552,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_062554,18,1292.0,71.77777777777777,1.393188854489164E-5
20201230_062555,40,1615.0,40.375,2.476780185758514E-5
20201230_062557,33,1454.0,44.06060606060606,2.269601100412655E-5
20201230_062558,30,1361.0,45.36666666666667,2.2042615723732552E-5
20201230_062600,31,1365.0,44.03225806451613,2.271062271062271E-5
20201230_062601,29,1341.0,46.241379310344826,2.162565249813572E-5
20201230_062602,30,1348.0,44.93333333333333,2.225519287833828E-5
20201230_062603,31,1221.0,39.38709677419355,2.538902538902539E-5
20201230_062605,33,1463.0,44.333333333333336,2.255639097744361E-5
20201230_062606,33,1472.0,44.60606060606061,2.2418478260869565E-5
20201230_062608,33,1467.0,44.45454545454545,2.2494887525562373E-5
20201230_062609,33,1463.0,44.333333333333336,2.255639097744361E-5
20201230_062610,39,1007.0,25.82051282051282,3.8728897715988087E-5
20201230_062611,38,1000.0,26.31578947368421,3.8E-5
20201230_062612,39,1016.0,26.05128205128205,3.8385826771653546E-5
20201230_062613,38,1001.0,26.342105263157894,3.796203796203796E-5
20201230_062616,7,2155.0,307.85714285714283,3.2482598607888633E-6
20201230_062618,39,2657.0,68.12820512820512,1.4678208505833647E-5
20201230_062621,39,2662.0,68.25641025641026,1.4650638617580767E-5
20201230_062623,36,1719.0,47.75,2.0942408376963353E-5
20201230_062624,36,1830.0,50.833333333333336,1.9672131147540985E-5
20201230_062626,37,1631.0,44.08108108108108,2.2685469037400367E-5
20201230_062628,37,1651.0,44.62162162162162,2.2410660205935796E-5
20201230_062629,36,1630.0,45.27777777777778,2.208588957055215E-5
20201230_062631,40,2091.0,52.275,1.912960306073649E-5
20201230_062633,39,2069.0,53.05128205128205,1.884968583856936E-5
20201230_062636,41,2097.0,51.146341463414636,1.9551740581783503E-5
20201230_062637,37,1644.0,44.432432432432435,2.2506082725060828E-5
20201230_062639,38,1665.0,43.81578947368421,2.2822822822822822E-5
20201230_062641,45,2574.0,57.2,1.7482517482517483E-5
20201230_062644,42,2653.0,63.166666666666664,1.5831134564643802E-5
20201230_062646,41,1610.0,39.26829268292683,2.546583850931677E-5
20201230_062647,41,1620.0,39.51219512195122,2.5308641975308642E-5
20201230_062649,40,1588.0,39.7,2.5188916876574308E-5
20201230_062651,44,2361.0,53.65909090909091,1.8636171113934775E-5
20201230_062654,45,2386.0,53.022222222222226,1.8860016764459347E-5
20201230_062655,61,1014.0,16.62295081967213,6.01577909270217E-5
