  bash arg: -p
  bash arg: edu.temple.mar_security.mlkit_comp
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=39ms (0ms mobile, 0ms wifi, 39ms not connected)
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,112,5.1,54725904,49446140,5279764,10,16,3667668,371748,1449540,1077952832,590,60,0,0,10,27,1483,47925
2,7707,110,6.4,54725904,49446036,5279868,10,16,3667668,305792,1422032,1077952832,898,87,0,0,10,27,1483,51116
3,10786,109,6.2,54725904,49445896,5280008,10,16,3667668,434704,1556408,1077952832,1166,108,0,0,10,28,1483,53544
4,13612,135,6.3,54725904,49445880,5280024,10,16,3667668,319816,1535564,1077952832,1468,126,0,0,10,28,1483,60958
5,16472,112,6.4,54725904,49449416,5276488,10,16,3667668,223684,1553132,1077952832,1777,141,0,0,10,30,1483,58233
6,19316,123,7.6,54725904,49445800,5280104,10,16,3667668,199704,1540244,1077952832,2058,171,0,0,10,30,1483,66492
7,22189,86.6,7.0,54725904,49446796,5279108,10,16,3667668,224032,1517412,1077952832,2337,201,0,0,10,30,1483,62712
8,25014,106,6.9,54725904,49446744,5279160,10,16,3667668,238440,1540132,1077952832,2643,219,0,0,10,30,1483,61441
9,27895,106,6.4,54725904,49446740,5279164,10,16,3667668,160972,1482152,1077952832,2940,242,0,0,10,30,1483,67767
10,30814,116,7.0,54725904,49446648,5279256,10,16,3667668,167732,1503296,1077952832,3238,260,0,0,10,31,1483,68550
11,33688,112,5.4,54725904,49446592,5279312,10,16,3667668,189032,1504952,1077952832,3539,278,0,0,10,32,1483,50283
12,36517,116,5.0,54725904,49418428,5307476,10,16,3667668,158944,1544516,1077952832,3836,302,0,0,10,32,1483,45374
13,39395,109,5.5,54725904,49417876,5308028,10,16,3667668,111272,1505156,1077952832,4120,326,0,0,10,32,1483,57061
14,42237,119,8.0,54725904,49417864,5308040,10,16,3667668,118700,1471148,4211008,4435,349,0,0,10,32,1483,61380
15,45157,119,7.3,54725904,49417848,5308056,10,16,3667668,147196,1509696,1077952832,4747,377,0,0,10,32,1483,61668
