  bash arg: -p
  bash arg: edu.temple.mar_security.mlkit_orth
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=42ms (0ms mobile, 0ms wifi, 42ms not connected)
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,171,4.6,54725904,49452828,5273076,10,20,3667668,304232,1486264,1077952832,819,64,0,0,10,47,1509,44294
2,7974,112,3.6,54725904,49452700,5273204,10,20,3667668,318308,1497308,1077952832,1240,91,0,0,10,49,1509,24211
3,10914,113,3.1,54725904,49452668,5273236,10,20,3667668,349860,1514004,1077952832,1639,126,0,0,10,49,1509,36592
4,13908,112,4.7,54725904,49424324,5301580,10,20,3667668,262556,1465416,1077952832,2042,162,0,0,10,49,1509,44964
5,16823,119,5.5,54725904,49423972,5301932,10,20,3667668,336340,1545656,1077952832,2442,186,0,0,10,49,1509,57409
6,19747,102,6.2,54725904,49423972,5301932,10,20,3667668,286756,1511988,1077952832,2898,214,0,0,10,49,1509,50229
7,22778,180,6.0,54725904,49423992,5301912,10,20,3667668,307244,1542128,1077952832,3327,249,0,0,10,49,1509,59712
8,25792,193,6.5,54725904,49424364,5301540,10,20,3667668,308588,1544160,1077952832,3766,281,0,0,10,51,1509,44259
9,28794,156,4.7,54725904,49423956,5301948,10,20,3667668,337004,1582460,1077952832,4176,312,0,0,10,51,1509,56612
10,31759,119,5.0,54725904,49426448,5299456,10,20,3667668,263628,1613088,1077952832,4613,340,0,0,10,51,1509,48012
11,34690,159,3.1,54725904,49425252,5300652,10,20,3667668,233516,1574836,1077952832,5025,367,0,0,10,51,1509,32066
12,37634,178,7.0,54725904,49425252,5300652,10,20,3667668,218132,1555536,1077952832,5426,390,0,0,10,51,1509,44642
13,40623,177,4.2,54725904,49425248,5300656,10,20,3667668,251516,1589316,1077952832,5823,417,0,0,10,51,1509,43774
14,43552,190,4.1,54725904,49425244,5300660,10,20,3667668,266512,1604360,1077952832,6224,451,0,0,10,51,1509,35470
15,46469,109,3.2,54725904,49423868,5302036,10,20,3667668,265480,1661996,1077952832,6655,474,0,0,10,51,1509,31406
16,49405,106,5.4,54725904,49423868,5302036,10,20,3667668,206496,1581480,1077952832,7069,512,0,0,10,51,1509,42448
17,52356,112,5.6,54725904,49423864,5302040,10,20,3667668,260056,1634740,1077952832,7507,543,0,0,10,51,1509,46690
18,55316,112,6.1,54725904,49423864,5302040,10,20,3667668,230512,1605300,1077952832,7932,558,0,0,10,51,1509,63501
19,58287,190,6.1,54725904,49423864,5302040,10,20,3667668,250620,1625404,1077952832,8346,596,0,0,10,51,1509,55551
20,61250,178,4.7,54725904,49423864,5302040,10,20,3667668,249208,1623548,1077952832,8748,630,0,0,10,51,1509,54204
21,64251,112,5.2,54725904,49423848,5302056,10,24,3667668,301496,1675964,1077952832,9180,671,0,0,10,51,1509,56450
22,67206,219,7.0,54725904,49423848,5302056,10,24,3667668,335540,1710008,1077952832,9584,699,0,0,10,51,1509,48150
23,70180,112,5.5,54725904,49423844,5302060,10,24,3667668,311900,1686436,1077952832,10011,729,0,0,10,51,1509,47680
24,73122,106,5.4,54725904,49423836,5302068,10,24,3667668,339040,1713612,1077952832,10420,749,0,0,10,51,1509,53739
25,76112,166,5.4,54725904,49423836,5302068,10,24,3667668,305860,1680432,1077952832,10837,778,0,0,10,51,1509,55625
26,79074,206,5.5,54725904,49423832,5302072,10,24,3667668,301072,1675708,1077952832,11285,806,0,0,10,51,1509,54328
27,82064,157,5.5,54725904,49423828,5302076,10,24,3667668,339916,1714564,1077952832,11710,834,0,0,10,51,1509,46792
28,85043,156,6.4,54725904,49423824,5302080,10,24,3667668,267212,1641872,1077952832,12103,857,0,0,10,51,1509,61017
29,87999,118,6.7,54725904,49423824,5302080,10,24,3667668,321368,1695788,1077952832,12513,892,0,0,10,51,1509,55879
30,90984,109,5.3,54725904,49423820,5302084,10,24,3667668,317848,1694576,1077952832,12932,929,0,0,10,51,1509,53257
31,93953,121,5.5,54725904,49423820,5302084,10,24,3667668,303816,1680544,1077952832,13369,959,0,0,10,51,1509,50191
32,96973,115,5.6,54725904,49423816,5302088,10,24,3667668,319660,1696408,1077952832,13808,987,0,0,10,51,1509,52208
33,99979,197,7.0,54725904,49423812,5302092,10,24,3667668,248728,1625488,1077952832,14210,1013,0,0,10,51,1509,66612
34,103010,118,5.9,54725904,49423812,5302092,10,24,3667668,335644,1712404,1077952832,14626,1053,0,0,10,51,1509,48150
35,106010,152,6.1,54725904,49423812,5302092,10,24,3667668,259012,1635780,1077952832,15023,1077,0,0,10,51,1509,64779
36,108998,108,4.8,54725904,49423808,5302096,10,24,3667668,309544,1686316,1077952832,15440,1113,0,0,10,51,1509,50557
37,112044,118,5.4,54725904,49423804,5302100,10,24,3667668,312112,1688900,1077952832,15903,1141,0,0,10,51,1509,53290
38,115054,167,4.1,54725904,49423804,5302100,10,24,3667668,320212,1697092,1077952832,16314,1167,0,0,10,51,1509,48044
39,118035,112,6.3,54725904,49423800,5302104,10,24,3667668,274960,1651956,1077952832,16762,1205,0,0,10,51,1509,38297
40,120991,372,5.9,54725904,49423800,5302104,10,24,3667668,242952,1619952,1077952832,17227,1241,0,0,10,50,1509,49786
41,124009,302,3.2,54725904,49423796,5302108,10,28,3667668,289560,1666664,1077952832,17877,1276,0,0,10,51,1509,33270
42,127020,251,4.0,54725904,49423788,5302116,10,36,3667668,265000,1642144,1077952832,18543,1318,0,0,10,54,1509,36535
43,130052,138,4.1,54725904,49423776,5302128,10,44,3667668,260532,1640772,1077952832,19209,1361,0,0,10,54,1509,32135
44,133073,112,4.9,54725904,49423772,5302132,10,48,3667668,324384,1704640,1077952832,19887,1395,0,0,10,54,1509,29604
45,136090,108,4.5,54725904,49423768,5302136,10,56,3667668,351372,1731668,1077952832,20546,1434,0,0,10,54,1509,25546
46,139105,161,4.8,54725904,49423756,5302148,10,60,3667668,306304,1686648,1077952832,21166,1467,0,0,10,54,1509,29818
47,142107,193,4.6,54725904,49423752,5302152,10,68,3667668,288484,1668856,1077952832,21764,1503,0,0,10,54,1509,40499
