Timestamp,TimeToClassify,LabelCount,IsRunningLocally,,,,,
53:31.1,128,2,TRUE,,,,42.77622378,143
53:31.3,43,2,TRUE,,,,,
53:31.4,41,2,TRUE,,,,,
53:31.5,41,2,TRUE,,,,,
53:31.7,41,2,TRUE,,,,,
53:31.8,40,2,TRUE,,,,,
53:31.9,41,2,TRUE,,,,,
53:32.0,41,2,TRUE,,,,,
53:32.2,49,2,TRUE,,,,,
53:32.4,45,2,TRUE,,,,,
53:32.5,46,2,TRUE,,,,,
53:32.7,44,2,TRUE,,,,,
53:32.9,42,2,TRUE,,,,,
53:33.0,44,2,TRUE,,,,,
53:33.2,46,2,TRUE,,,,,
53:33.3,42,2,TRUE,,,,,
53:33.4,41,2,TRUE,,,,,
53:33.6,43,2,TRUE,,,,,
53:33.7,44,2,TRUE,,,,,
53:33.9,45,2,TRUE,,,,,
53:34.0,50,2,TRUE,,,,,
53:34.1,42,2,TRUE,,,,,
53:34.3,41,2,TRUE,,,,,
53:34.4,43,2,TRUE,,,,,
53:34.6,41,2,TRUE,,,,,
53:34.7,43,2,TRUE,,,,,
53:34.9,44,2,TRUE,,,,,
53:35.1,43,2,TRUE,,,,,
53:35.2,47,3,TRUE,,,,,
53:35.4,42,3,TRUE,,,,,
53:35.5,41,3,TRUE,,,,,
53:35.7,41,3,TRUE,,,,,
53:35.8,40,3,TRUE,,,,,
53:36.0,41,3,TRUE,,,,,
53:36.1,41,3,TRUE,,,,,
53:36.3,43,3,TRUE,,,,,
53:36.4,41,3,TRUE,,,,,
53:36.6,41,3,TRUE,,,,,
53:36.7,41,3,TRUE,,,,,
53:36.9,41,3,TRUE,,,,,
53:37.0,41,3,TRUE,,,,,
53:37.2,41,3,TRUE,,,,,
53:37.3,41,3,TRUE,,,,,
53:37.4,40,3,TRUE,,,,,
53:37.6,42,3,TRUE,,,,,
53:37.7,41,3,TRUE,,,,,
53:37.9,40,3,TRUE,,,,,
53:38.0,42,3,TRUE,,,,,
53:38.2,41,3,TRUE,,,,,
53:38.4,40,3,TRUE,,,,,
53:38.5,45,3,TRUE,,,,,
53:38.6,41,3,TRUE,,,,,
53:38.8,41,3,TRUE,,,,,
53:38.9,42,3,TRUE,,,,,
53:39.1,41,3,TRUE,,,,,
53:39.2,42,3,TRUE,,,,,
53:39.3,41,3,TRUE,,,,,
53:39.5,42,3,TRUE,,,,,
53:39.7,41,3,TRUE,,,,,
53:39.8,55,3,TRUE,,,,,
53:40.0,42,3,TRUE,,,,,
53:40.1,43,3,TRUE,,,,,
53:40.3,46,3,TRUE,,,,,
53:40.4,45,3,TRUE,,,,,
53:40.6,44,3,TRUE,,,,,
53:40.7,46,3,TRUE,,,,,
53:40.9,40,3,TRUE,,,,,
53:41.0,44,3,TRUE,,,,,
53:41.1,42,3,TRUE,,,,,
53:41.3,42,3,TRUE,,,,,
53:41.4,42,3,TRUE,,,,,
53:41.6,42,3,TRUE,,,,,
53:41.8,41,3,TRUE,,,,,
53:41.9,42,3,TRUE,,,,,
53:42.1,41,3,TRUE,,,,,
53:42.2,41,3,TRUE,,,,,
53:42.3,41,3,TRUE,,,,,
53:42.5,42,3,TRUE,,,,,
53:42.6,41,3,TRUE,,,,,
53:42.8,42,3,TRUE,,,,,
53:42.9,43,3,TRUE,,,,,
53:43.0,42,3,TRUE,,,,,
53:43.2,41,3,TRUE,,,,,
53:43.3,41,3,TRUE,,,,,
53:43.5,41,3,TRUE,,,,,
53:43.6,43,3,TRUE,,,,,
53:43.8,41,3,TRUE,,,,,
53:43.9,42,3,TRUE,,,,,
53:44.0,42,3,TRUE,,,,,
53:44.2,41,3,TRUE,,,,,
53:44.3,42,3,TRUE,,,,,
53:44.4,42,3,TRUE,,,,,
53:44.6,41,3,TRUE,,,,,
53:44.7,41,3,TRUE,,,,,
53:44.9,46,3,TRUE,,,,,
53:45.0,41,3,TRUE,,,,,
53:45.2,42,3,TRUE,,,,,
53:45.3,41,3,TRUE,,,,,
53:45.4,41,3,TRUE,,,,,
53:45.6,41,3,TRUE,,,,,
53:45.8,42,3,TRUE,,,,,
53:45.9,41,3,TRUE,,,,,
53:46.1,41,3,TRUE,,,,,
53:46.2,44,3,TRUE,,,,,
53:46.4,41,3,TRUE,,,,,
53:46.5,39,3,TRUE,,,,,
53:46.7,39,3,TRUE,,,,,
53:46.8,39,3,TRUE,,,,,
53:47.0,40,3,TRUE,,,,,
53:47.1,40,3,TRUE,,,,,
53:47.2,40,3,TRUE,,,,,
53:47.4,40,3,TRUE,,,,,
53:47.5,41,3,TRUE,,,,,
53:47.7,50,3,TRUE,,,,,
53:47.9,42,3,TRUE,,,,,
53:48.0,40,3,TRUE,,,,,
53:48.1,41,3,TRUE,,,,,
53:48.3,39,3,TRUE,,,,,
53:48.4,43,3,TRUE,,,,,
53:48.5,39,3,TRUE,,,,,
53:48.7,41,3,TRUE,,,,,
53:48.8,39,3,TRUE,,,,,
53:48.9,43,3,TRUE,,,,,
53:49.0,39,3,TRUE,,,,,
53:49.2,41,3,TRUE,,,,,
53:49.3,39,3,TRUE,,,,,
53:49.4,40,3,TRUE,,,,,
53:49.6,39,3,TRUE,,,,,
53:49.7,40,3,TRUE,,,,,
53:49.8,40,3,TRUE,,,,,
53:50.0,39,3,TRUE,,,,,
53:50.2,41,3,TRUE,,,,,
53:50.3,40,3,TRUE,,,,,
53:50.5,40,3,TRUE,,,,,
53:50.6,39,3,TRUE,,,,,
53:50.7,40,3,TRUE,,,,,
53:50.9,41,3,TRUE,,,,,
53:51.1,39,3,TRUE,,,,,
53:51.2,39,3,TRUE,,,,,
53:51.3,44,3,TRUE,,,,,
53:51.5,40,3,TRUE,,,,,
53:51.6,40,3,TRUE,,,,,
53:51.8,95,3,TRUE,,,,,
