Timestamp,TimeToClassify,LabelCount,IsRunningLocally,,,,,
51:02.1,747,16,FALSE,,,,613.9259259,27
51:02.9,698,16,FALSE,,,,,
51:03.7,584,16,FALSE,,,,,
51:04.5,696,16,FALSE,,,,,
51:05.1,423,16,FALSE,,,,,
51:05.7,538,16,FALSE,,,,,
51:06.5,676,17,FALSE,,,,,
51:07.2,483,17,FALSE,,,,,
51:07.7,480,17,FALSE,,,,,
51:08.6,697,17,FALSE,,,,,
51:09.3,552,17,FALSE,,,,,
51:09.8,460,17,FALSE,,,,,
51:10.5,557,17,FALSE,,,,,
51:11.3,697,17,FALSE,,,,,
51:12.2,674,17,FALSE,,,,,
51:12.9,610,17,FALSE,,,,,
51:13.6,641,17,FALSE,,,,,
51:14.2,456,17,FALSE,,,,,
51:14.9,580,18,FALSE,,,,,
51:15.7,670,18,FALSE,,,,,
51:16.5,571,18,FALSE,,,,,
51:17.3,690,18,FALSE,,,,,
51:18.1,633,18,FALSE,,,,,
51:18.9,672,18,FALSE,,,,,
51:19.7,750,18,FALSE,,,,,
51:20.5,664,18,FALSE,,,,,
51:21.4,677,18,FALSE,,,,,
