Timestamp,TimeToClassify,LabelCount,IsRunningLocally,,,,,
12:35.0,777,20,FALSE,,,,630.6538462,26
12:35.8,663,20,FALSE,,,,,
12:36.6,597,20,FALSE,,,,,
12:37.4,642,20,FALSE,,,,,
12:38.1,581,20,FALSE,,,,,
12:39.0,782,20,FALSE,,,,,
12:39.8,675,20,FALSE,,,,,
12:40.6,659,20,FALSE,,,,,
12:41.4,548,20,FALSE,,,,,
12:42.2,669,20,FALSE,,,,,
12:43.0,616,20,FALSE,,,,,
12:43.8,676,20,FALSE,,,,,
12:44.6,681,20,FALSE,,,,,
12:45.4,640,20,FALSE,,,,,
12:46.2,578,20,FALSE,,,,,
12:46.8,459,20,FALSE,,,,,
12:47.6,671,18,FALSE,,,,,
12:48.3,528,18,FALSE,,,,,
12:49.0,534,18,FALSE,,,,,
12:49.8,661,18,FALSE,,,,,
12:50.8,799,18,FALSE,,,,,
12:51.5,558,18,FALSE,,,,,
12:52.2,545,18,FALSE,,,,,
12:53.1,731,18,FALSE,,,,,
12:53.8,562,18,FALSE,,,,,
12:54.6,565,18,FALSE,,,,,
