,Bird-Face-Wikipedia,,,,,,
,MAL-COMP,,,,,,
,T1,T2,T3,T4,T5,AVG,EWMA
1,102,109,109,R,R,106.67,106.67
2,109,106,R,112,113,110,109.17
3,109,132,106,106,116,113.8,112.64
4,119,109,109,R,113,112.5,112.54
5,R,112,109,R,110,110.33,110.88
6,106,118,R,112,R,112,111.72
7,R,112,113,100,113,109.5,110.06
8,106,121,123,106,109,113,112.26
9,112,112,116,112,110,112.4,112.37
10,106,125,118,109,113,114.2,113.74
11,112,109,125,119,113,115.6,115.14
12,109,112,119,125,113,115.6,115.48
13,106,122,129,125,R,120.5,119.25
14,106,109,113,112,116,111.2,113.21
15,116,125,109,109,113,114.4,114.1
16,R,112,112,116,103,110.75,111.59
17,106,121,116,112,110,113,112.65
18,112,109,116,121,110,113.6,113.36
19,R,116,113,127,110,116.5,115.72
20,125,125,110,115,106,116.2,116.08
21,112,116,103,115,113,111.8,112.87
22,112,R,R,R,R,112,112.22
23,R,R,R,121,R,121,118.8
24,R,R,R,R,126,126,124.2
25,109,118,103,R,R,110,113.55
26,116,128,112,109,R,116.25,115.58
27,112,R,R,120,113,115,115.14
28,R,106,120,115,117,114.5,114.66
29,109,R,120,108,112,112.25,112.85
30,106,112,R,109,R,109,109.96
31,112,112,109,124,113,114,112.99
32,103,106,119,R,110,109.5,110.37
33,125,R,123,109,116,118.25,116.28
34,121,112,116,120,113,116.4,116.37
35,109,106,109,R,116,110,111.59
36,128,122,R,109,R,119.67,117.65
37,121,115,R,126,R,120.67,119.91
38,R,R,113,R,116,114.5,115.85
39,124,125,123,112,109,118.6,117.91
40,121,106,R,R,R,113.5,114.6
41,R,112,112,115,109,112,112.65
42,116,R,106,108,122,113,112.91
43,R,115,113,112,116,114,113.73
44,112,118,126,R,R,118.67,117.43
45,115,106,113,111,123,113.6,114.56
46,115,109,116,114,R,113.5,113.76
47,109,118,120,112,109,113.6,113.64
48,106,118,112,109,106,110.2,111.06
49,109,R,110,115,106,110,110.27
50,125,109,116,115,126,118.2,116.22
51,115,109,122,130,115,118.2,117.7
52,115,118,112,112,109,113.2,114.33
53,124,112,109,112,109,113.2,113.48
54,115,R,109,112,125,115.25,114.81
55,R,128,116,112,112,117,116.45
56,128,115,112,124,109,117.6,117.31
57,112,108,109,121,109,111.8,113.18
58,115,115,112,112,112,113.2,113.19
59,112,118,112,,109,112.75,112.86
60,,,,,,,
