  bash arg: -p
  bash arg: edu.temple.mar_security.mlkit
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=43ms (0ms mobile, 0ms wifi, 43ms not connected)
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,130,7.5,54725904,49458084,5267820,10,16,3667668,409372,1622456,1077952832,635,64,0,0,10,26,1501,65897
2,8018,R,110,54725904,49458084,5267820,10,16,3667668,364344,1578280,1077952832,948,87,0,0,10,26,1501,66984
3,10961,103,6.3,54725904,49458076,5267828,10,16,3667668,386176,1600196,1077952832,1261,110,0,0,10,26,1501,71106
4,13943,116,7.2,54725904,49458076,5267828,10,16,3667668,407272,1621724,1077952832,1572,137,0,0,10,26,1501,69346
5,16904,110,7.5,54725904,49458076,5267828,10,16,3667668,389272,1604356,1077952832,1891,155,0,0,10,26,1501,58631
6,19887,113,7.5,54725904,49458076,5267828,10,16,3667668,417456,1632552,1077952832,2210,184,0,0,10,26,1501,67704
7,22886,113,7.4,54725904,49458068,5267836,10,16,3667668,406652,1621764,1077952832,2524,218,0,0,10,26,1501,59895
8,25893,R,109,54725904,49458068,5267836,10,16,3667668,431160,1646272,1077952832,2844,238,0,0,10,26,1501,59881
9,28868,113,7.0,54725904,49458068,5267836,10,16,3667668,403596,1618716,1077952832,3157,263,0,0,10,26,1501,66477
10,31832,118,7.5,54725904,49458060,5267844,10,16,3667668,400392,1615672,1077952832,3467,292,0,0,10,26,1501,66366
11,34812,109,7.0,54725904,49458060,5267844,10,16,3667668,371020,1586312,1077952832,3782,310,0,0,10,26,1501,68870
12,37789,110,6.6,54725904,49458060,5267844,10,16,3667668,371392,1586692,1077952832,4095,337,0,0,10,26,1501,65115
