  bash arg: -p
  bash arg: edu.temple.mar_security.mlkit_comp
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=48ms (0ms mobile, 0ms wifi, 48ms not connected)
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,109,6.5,54725904,49433980,5291924,10,16,3667668,283972,1543820,1077952832,644,60,0,0,10,26,1502,70087
2,7989,106,7.4,54725904,49433976,5291928,10,16,3667668,342404,1583296,1077952832,965,77,0,0,10,26,1502,59606
3,10929,132,7.7,54725904,49433968,5291936,10,16,3667668,323788,1564996,1077952832,1272,111,0,0,10,26,1502,66556
4,13929,109,6.7,54725904,49433968,5291936,10,16,3667668,322008,1564696,1077952832,1582,138,0,0,10,26,1502,70697
5,16900,112,7.2,54725904,49433964,5291940,10,16,3667668,314224,1557180,1077952832,1913,160,0,0,10,26,1502,59983
6,19927,118,6.6,54725904,49433964,5291940,10,16,3667668,335312,1578420,1077952832,2227,195,0,0,10,26,1502,58758
7,22937,112,6.5,54725904,49433956,5291948,10,16,3667668,376548,1619664,1077952832,2536,221,0,0,10,26,1502,70902
8,25867,121,6.4,54725904,49433956,5291948,10,16,3667668,443644,1686760,1077952832,2859,250,0,0,10,26,1502,58184
9,29083,112,7.3,54725904,49433956,5291948,10,16,3667668,416768,1661940,1077952832,3193,281,0,0,10,26,1502,52563
10,32069,125,6.9,54725904,49433956,5291948,10,16,3667668,395644,1640832,1077952832,3518,302,0,0,10,26,1502,66473
11,35044,109,6.2,54725904,49433948,5291956,10,16,3667668,415136,1660388,1077952832,3835,323,0,0,10,26,1502,66320
12,38003,112,7.5,54725904,49433948,5291956,10,16,3667668,419016,1664316,1077952832,4153,356,0,0,10,26,1502,62278
13,40980,122,7.4,54725904,49433948,5291956,10,16,3667668,384680,1630144,1077952832,4467,382,0,0,10,26,1502,70726
14,43991,109,6.4,54725904,49433948,5291956,10,16,3667668,414440,1659976,1077952832,4798,401,0,0,10,26,1502,65358
15,46950,125,7.3,54725904,49433932,5291972,10,16,3667668,407656,1653216,1077952832,5097,440,0,0,10,26,1502,61741
16,49855,112,6.2,54725904,49433932,5291972,10,16,3667668,411780,1657356,4211008,5405,463,0,0,10,26,1502,57945
17,52756,121,7.4,54725904,49433932,5291972,10,16,3667668,402492,1648080,1077952832,5727,481,0,0,10,26,1502,65984
18,55794,109,6.6,54725904,49433932,5291972,10,16,3667668,424552,1670176,1077952832,6099,503,0,0,10,32,1502,61831
19,59150,116,6.0,54725904,49433924,5291980,10,16,3667668,444048,1689932,1077952832,6424,531,0,0,10,32,1502,56936
20,62235,125,7.4,54725904,49433916,5291988,10,16,3667668,384308,1634684,1077952832,6738,557,0,0,10,32,1502,70726
21,65209,116,5.6,54725904,49433916,5291988,10,16,3667668,431712,1682316,1077952832,7059,580,0,0,10,32,1502,56150
22,68160,R,121,54725904,49433912,5291992,10,20,3667668,456420,1706280,1077952832,7380,608,0,0,10,32,1502,49247
23,71123,R,112,54725904,49433908,5291996,10,20,3667668,446428,1696256,1077952832,7682,644,0,0,10,32,1502,49723
24,74106,R,118,54725904,49433904,5292000,10,20,3667668,426576,1676552,4211008,7991,684,0,0,10,32,1502,62622
25,77102,118,5.9,54725904,49433904,5292000,10,20,3667668,454932,1704920,1077952832,8304,714,0,0,10,32,1502,40890
26,80082,128,7.0,54725904,49433904,5292000,10,20,3667668,463024,1713024,1077952832,8614,750,0,0,10,32,1502,40845
27,83057,R,115,54725904,49433904,5292000,10,20,3667668,455808,1705808,1077952832,8930,778,0,0,10,32,1502,52912
28,86040,106,4.4,54725904,49433900,5292004,10,20,3667668,429508,1679520,1077952832,9242,818,0,0,10,32,1502,56101
29,89070,R,109,54725904,49433900,5292004,10,20,3667668,425780,1676732,1077952832,9548,851,0,0,10,32,1502,58544
