Timestamp,Frame Count,Total Frame Time (millis),Avg Frame Time (millis),Avg FPS
20201230_024814,58,1004.0,17.310344827586206,5.776892430278884E-5
20201230_024815,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_024816,59,1000.0,16.949152542372882,5.9E-5
20201230_024817,60,1002.0,16.7,5.988023952095808E-5
20201230_024818,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_024819,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_024820,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_024821,59,1000.0,16.949152542372882,5.9E-5
20201230_024822,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_024823,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_024824,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_024825,60,1002.0,16.7,5.988023952095808E-5
20201230_024826,58,1000.0,17.24137931034483,5.8E-5
20201230_024827,58,1001.0,17.25862068965517,5.7942057942057946E-5
20201230_024828,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_024829,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_024830,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_024831,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_024832,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_024833,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_024834,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_024835,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_024836,58,1006.0,17.344827586206897,5.7654075546719685E-5
20201230_024837,61,1012.0,16.59016393442623,6.027667984189723E-5
20201230_024838,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_024839,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_024840,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_024841,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_024842,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_024843,60,1002.0,16.7,5.988023952095808E-5
20201230_024844,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_024845,58,1000.0,17.24137931034483,5.8E-5
20201230_024846,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_024847,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_024848,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_024849,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_024850,59,1003.0,17.0,5.882352941176471E-5
20201230_024851,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_024852,57,1001.0,17.56140350877193,5.6943056943056946E-5
20201230_024853,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_024854,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_024855,59,1000.0,16.949152542372882,5.9E-5
20201230_024856,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_024857,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_024858,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_024859,60,1001.0,16.683333333333334,5.994005994005995E-5
