  bash arg: -p
  bash arg: edu.temple.mar_security.mlkit
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=41ms (0ms mobile, 0ms wifi, 41ms not connected)
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,R,113,54725904,49436468,5289436,10,16,3667668,320696,1641860,1077952832,648,62,0,0,10,25,1498,43234
2,7930,110,5.8,54725904,49436468,5289436,10,16,3667668,369168,1691160,1077952832,969,84,0,0,10,25,1498,46421
3,10886,117,6.3,54725904,49436460,5289444,10,16,3667668,351336,1634604,1077952832,1287,103,0,0,10,25,1498,56042
4,13834,123,5.7,54725904,49436460,5289444,10,16,3667668,355324,1638600,1077952832,1600,132,0,0,10,27,1498,47510
5,16800,106,4.6,54725904,49436460,5289444,10,16,3667668,346360,1617896,1077952832,1919,158,0,0,10,27,1498,43309
6,19752,123,3.3,54725904,49436460,5289444,10,16,3667668,404156,1675816,1077952832,2234,188,0,0,10,27,1498,24764
7,22706,110,2.6,54725904,49436452,5289452,10,16,3667668,328704,1600372,1077952832,2550,210,0,0,10,27,1498,30872
8,25666,113,5.6,54725904,49436452,5289452,10,16,3667668,395476,1667196,1077952832,2857,233,0,0,10,27,1498,52707
9,28567,113,6.1,54725904,49436452,5289452,10,16,3667668,353396,1625124,1077952832,3171,255,0,0,10,27,1498,48202
10,31498,103,7.2,54725904,49436444,5289460,10,16,3667668,344560,1616336,1077952832,3499,268,0,0,10,27,1498,62428
11,34472,124,6.1,54725904,49436444,5289460,10,16,3667668,363636,1635420,1077952832,3806,298,0,0,10,27,1498,49473
12,37446,103,4.4,54725904,49436444,5289460,10,16,3667668,403064,1674896,1077952832,4120,323,0,0,10,27,1498,42088
13,40421,120,3.9,54725904,49436444,5289460,10,16,3667668,394676,1666700,1077952832,4424,345,0,0,10,27,1498,31102
14,43297,113,3.7,54725904,49436428,5289476,10,16,3667668,332812,1604712,1077952832,4733,366,0,0,10,27,1498,41354
15,46161,123,7.6,54725904,49436428,5289476,10,16,3667668,349896,1622496,1077952832,5051,385,0,0,10,27,1498,63413
16,49100,113,6.3,54725904,49436428,5289476,10,16,3667668,336512,1609180,4211008,5358,414,0,0,10,27,1498,56328
17,52076,110,5.0,54725904,49436420,5289484,10,16,3667668,324632,1597320,1077952832,5667,444,0,0,10,33,1498,53319
18,55002,R,113,54725904,49436420,5289484,10,16,3667668,359440,1632128,1077952832,5977,465,0,0,10,33,1498,45747
19,57922,110,3.9,54725904,49436420,5289484,10,16,3667668,350036,1622848,1077952832,6285,493,0,0,10,33,1498,29435
20,60807,113,7.1,54725904,49436416,5289488,10,16,3667668,376544,1649432,1077952832,6591,524,0,0,10,33,1498,60117
21,63737,113,5.9,54725904,49436408,5289496,10,20,3667668,391828,1664828,4211008,6908,545,0,0,10,33,1498,46447
22,66678,117,5.3,54725904,49436404,5289500,10,20,3667668,378128,1651204,1077952832,7217,571,0,0,10,33,1498,60393
23,69655,110,5.5,54725904,49436400,5289504,10,20,3667668,383636,1656724,1077952832,7528,591,0,0,10,33,1498,46092
24,72548,103,5.1,54725904,49436396,5289508,10,20,3667668,381864,1654960,1077952832,7834,612,0,0,10,33,1498,41030
25,75476,109,4.1,54725904,49436392,5289512,10,20,3667668,383060,1656180,1077952832,8135,643,0,0,10,33,1498,35162
26,78402,103,3.8,54725904,49436384,5289520,10,20,3667668,415768,1688900,1077952832,8438,668,0,0,10,33,1498,26194
27,81311,127,6.4,54725904,49436384,5289520,10,20,3667668,375508,1648644,1077952832,8746,685,0,0,10,33,1498,52912
28,84214,116,6.0,54725904,49436380,5289524,10,20,3667668,379588,1652736,1077952832,9058,707,0,0,10,33,1498,45948
29,87176,117,4.7,54725904,49436376,5289528,10,20,3667668,365508,1638660,1077952832,9373,725,0,0,10,33,1498,58140
30,90082,117,4.9,54725904,49436368,5289536,10,20,3667668,365304,1638456,1077952832,9681,748,0,0,10,33,1498,50016
31,93008,R,120,54725904,49436364,5289540,10,20,3667668,377848,1651004,1077952832,9975,777,0,0,10,33,1498,44760
32,95872,110,4.6,54725904,49436360,5289544,10,20,3667668,394152,1667316,1077952832,10279,802,0,0,10,33,1498,37052
33,98782,124,4.3,54725904,49436352,5289552,10,20,3667668,380524,1653716,1077952832,10581,825,0,0,10,33,1498,20745
34,101662,R,106,54725904,49436352,5289552,10,20,3667668,386188,1659384,1077952832,10881,849,0,0,10,33,1498,55418
35,104544,110,5.1,54725904,49436348,5289556,10,20,3667668,393924,1667128,1077952832,11189,869,0,0,10,33,1498,46200
36,107435,103,5.7,54725904,49436344,5289560,10,20,3667668,324100,1597316,4211008,11500,883,0,0,10,33,1498,61451
37,110344,106,7.0,54725904,49436336,5289568,10,20,3667668,340044,1610948,1077952832,11814,899,0,0,10,33,1498,60606
38,113294,113,5.4,54725904,49436332,5289572,10,20,3667668,414560,1662620,4211008,12129,921,0,0,10,33,1498,52218
39,116270,110,5.8,54725904,49436328,5289576,10,20,3667668,409300,1657364,1077952832,12435,945,0,0,10,33,1498,45876
40,119191,113,5.1,54725904,49436324,5289580,10,20,3667668,431748,1679836,1077952832,12738,967,0,0,10,34,1498,38724
41,122061,R,113,54725904,49436320,5289584,10,20,3667668,413796,1661896,1077952832,13042,990,0,0,10,34,1498,40836
42,124970,120,3.7,54725904,49436316,5289588,10,20,3667668,401888,1649992,1077952832,13355,1013,0,0,10,34,1498,32097
43,127898,110,2.4,54725904,49436312,5289592,10,24,3667668,408608,1656724,1077952832,13662,1031,0,0,10,34,1498,20667
44,130808,113,2.2,54725904,49436308,5289596,10,24,3667668,377844,1625976,1077952832,13968,1052,0,0,10,34,1498,23994
45,133736,117,2.3,54725904,49436304,5289600,10,24,3667668,380776,1629388,1077952832,14274,1078,0,0,10,34,1498,20675
46,136697,106,2.2,54725904,49436304,5289600,10,24,3667668,362508,1611344,1077952832,14587,1097,0,0,10,34,1498,20677
47,139647,100,2.2,54725904,49436304,5289600,10,24,3667668,363636,1612480,1077952832,14897,1116,0,0,10,34,1498,20677
48,142586,110,2.2,54725904,49436300,5289604,10,24,3667668,351596,1600448,1077952832,15196,1136,0,0,10,34,1498,20683
49,145502,117,2.2,54725904,49436296,5289608,10,24,3667668,364204,1613192,1077952832,15498,1155,0,0,10,34,1498,20688
50,148396,113,2.2,54725904,49436296,5289608,10,24,3667668,375992,1624980,1077952832,15799,1176,0,0,10,34,1498,20693
51,151281,110,2.2,54725904,49436296,5289608,10,24,3667668,372080,1621076,1077952832,16119,1189,0,0,10,34,1498,20697
52,154270,117,6.4,54725904,49436288,5289616,10,24,3667668,395768,1644780,1077952832,16425,1220,0,0,10,34,1498,56475
53,157294,106,5.8,54725904,49436288,5289616,10,24,3667668,392368,1641132,1077952832,16740,1246,0,0,10,34,1498,49728
54,160295,113,4.1,54725904,49436288,5289616,10,24,3667668,395848,1644876,1077952832,17048,1269,0,0,10,34,1498,43900
55,163248,R,116,54725904,49436288,5289616,10,24,3667668,390416,1639452,1077952832,17360,1289,0,0,10,34,1498,37407
56,166189,120,4.1,54725904,49436280,5289624,10,24,3667668,362080,1611124,1077952832,17678,1310,0,0,10,34,1498,36348
57,169163,109,3.2,54725904,49436280,5289624,10,24,3667668,435940,1641820,1077952832,17993,1325,0,0,10,34,1498,32961
58,172123,106,2.3,54725904,49436280,5289624,10,24,3667668,422636,1628532,1077952832,18301,1349,0,0,10,34,1498,22801
59,175104,R,110,54725904,49436280,5289624,10,24,3667668,399248,1605148,1077952832,18611,1374,0,0,10,34,1498,20914
60,178067,116,2.2,54725904,49436272,5289632,10,24,3667668,442716,1648632,1077952832,18926,1399,0,0,10,34,1498,20733
