  bash arg: -p
  bash arg: edu.temple.mar_security.mlkit_comp
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=50ms (0ms mobile, 0ms wifi, 50ms not connected)
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,116,6.8,54725904,49458608,5267296,10,16,3667668,284568,1452776,1077952832,609,64,0,0,10,25,1498,67957
2,7950,116,6.4,54725904,49430272,5295632,10,16,3667668,304948,1497328,1077952832,911,86,0,0,10,26,1498,66495
3,10856,116,6.9,54725904,49429920,5295984,10,16,3667668,266092,1513568,1077952832,1219,107,0,0,10,26,1498,61416
4,13812,126,7.4,54725904,49429944,5295960,10,16,3667668,238308,1492596,1077952832,1533,131,0,0,10,26,1498,65151
5,16743,121,7.6,54725904,49429940,5295964,10,16,3667668,261828,1508080,4211008,1848,155,0,0,10,26,1498,67667
6,19675,116,6.7,54725904,49429912,5295992,10,16,3667668,231488,1484560,1077952832,2157,190,0,0,10,26,1498,66175
7,22613,113,6.5,54725904,49482936,5242968,10,16,3667668,249916,1562144,1077952832,2482,210,0,0,10,31,1498,64753
8,25639,112,7.5,54725904,49431200,5294704,10,16,3667668,234372,1559908,1077952832,2785,239,0,0,10,31,1498,66384
9,28509,112,6.4,54725904,49431200,5294704,10,16,3667668,202892,1529760,1077952832,3086,264,0,0,10,31,1498,67186
10,31438,103,7.4,54725904,49431196,5294708,10,16,3667668,247148,1571616,1077952832,3385,285,0,0,10,31,1498,64200
11,34306,112,6.7,54725904,49431192,5294712,10,16,3667668,206464,1519952,1077952832,3691,302,0,0,10,31,1498,71434
12,37214,116,7.8,54725904,49429892,5296012,10,16,3667668,265360,1601556,1077952832,4000,326,0,0,10,31,1498,59810
13,40141,112,7.6,54725904,49429812,5296092,10,16,3667668,222908,1576504,1077952832,4316,349,0,0,10,31,1498,70129
14,43092,112,6.6,54725904,49429812,5296092,10,16,3667668,245684,1599652,1077952832,4632,374,0,0,10,31,1498,55224
15,46032,112,6.4,54725904,49429804,5296100,10,16,3667668,273112,1627116,1077952832,4945,398,0,0,10,31,1498,56499
16,49016,112,6.4,54725904,49429796,5296108,10,16,3667668,202080,1556112,1077952832,5268,419,0,0,10,31,1498,70296
17,52014,112,7.1,54725904,49429796,5296108,10,16,3667668,259732,1615116,1077952832,5572,449,0,0,10,31,1498,65589
18,54953,109,7.8,54725904,49429788,5296116,10,16,3667668,241640,1597052,4211008,5874,475,0,0,10,31,1498,61638
19,57881,112,7.0,54725904,49429784,5296120,10,16,3667668,253356,1608888,1077952832,6182,509,0,0,10,31,1498,67682
20,60853,112,6.6,54725904,49429784,5296120,10,16,3667668,328464,1684288,4211008,6497,540,0,0,10,31,1498,60254
21,63834,R,112,54725904,49429784,5296120,10,16,3667668,356904,1702520,1077952832,6797,582,0,0,10,31,1498,52044
22,66819,R,109,54725904,49429776,5296128,10,20,3667668,349216,1691488,4211008,7105,615,0,0,10,31,1498,50336
23,69808,R,119,54725904,49429776,5296128,10,20,3667668,342672,1685112,1077952832,7420,643,0,0,10,31,1498,47400
24,72801,R,112,54725904,49429776,5296128,10,20,3667668,357716,1700176,1077952832,7717,682,0,0,10,31,1498,53097
25,75802,119,4.8,54725904,49429772,5296132,10,20,3667668,347148,1689660,4211008,8034,709,0,0,10,31,1498,46927
26,78807,R,106,54725904,49429768,5296136,10,20,3667668,358396,1700912,4211008,8343,741,0,0,10,31,1498,47024
27,81847,R,100,54725904,49429768,5296136,10,20,3667668,360800,1703324,4211008,8653,769,0,0,10,31,1498,50990
28,84862,109,5.4,54725904,49429768,5296136,10,20,3667668,337580,1680108,4211008,8958,797,0,0,10,31,1498,57202
29,87889,R,100,54725904,49429776,5296128,10,20,3667668,336860,1681496,1077952832,9260,828,0,0,10,31,1498,52713
30,90870,129,5.5,54725904,49429772,5296132,10,20,3667668,321636,1666276,4211008,9568,860,0,0,10,31,1498,50078
31,93882,R,122,54725904,49429772,5296132,10,20,3667668,366596,1711248,1077952832,9877,887,0,0,10,31,1498,52461
32,96865,124,6.7,54725904,49429772,5296132,10,20,3667668,313220,1657872,4211008,10182,918,0,0,10,31,1498,52027
33,99839,R,106,54725904,49429772,5296132,10,20,3667668,353484,1698144,1077952832,10495,943,0,0,10,31,1498,46328
34,102897,R,118,54725904,49429772,5296132,10,20,3667668,337644,1682304,1077952832,10804,970,0,0,10,31,1498,44151
35,105889,R,97.0,54725904,49429776,5296128,10,20,3667668,359416,1707572,4211008,11105,1013,0,0,10,32,1498,50116
36,108961,112,5.0,54725904,49429772,5296132,10,20,3667668,317288,1665452,4211008,11425,1036,0,0,10,32,1498,47769
37,111987,131,5.6,54725904,49429772,5296132,10,20,3667668,318992,1667208,4211008,11730,1069,0,0,10,32,1498,41553
38,115042,R,127,54725904,49429768,5296136,10,20,3667668,339524,1687740,1077952832,12026,1110,0,0,10,32,1498,52244
39,118058,106,4.9,54725904,49429764,5296140,10,20,3667668,324432,1672760,4211008,12340,1134,0,0,10,32,1498,53439
40,121048,127,6.4,54725904,49429760,5296144,10,20,3667668,351016,1699348,4211008,12644,1165,0,0,10,32,1498,41779
41,124078,105,5.6,54725904,49429760,5296144,10,20,3667668,284380,1632720,1077952832,12948,1202,0,0,10,32,1498,55257
42,127152,112,5.9,54725904,49429760,5296144,10,20,3667668,280260,1628608,1077952832,13262,1235,0,0,10,32,1498,56916
43,130139,109,5.2,54725904,49429760,5296144,10,20,3667668,295776,1644124,1077952832,13585,1258,0,0,10,32,1498,50922
44,133131,115,6.5,54725904,49429760,5296144,10,20,3667668,283284,1631648,4211008,13900,1287,0,0,10,32,1498,52985
45,136135,118,6.2,54725904,49429756,5296148,10,20,3667668,265964,1614340,1077952832,14218,1314,0,0,10,32,1498,60741
46,139139,112,5.6,54725904,49429752,5296152,10,20,3667668,283628,1632016,1077952832,14536,1342,0,0,10,32,1498,58826
47,142132,R,130,54725904,49429748,5296156,10,20,3667668,268260,1616668,1077952832,14856,1369,0,0,10,32,1498,59953
48,145139,R,118,54725904,49429748,5296156,10,20,3667668,258100,1606508,1077952832,15171,1395,0,0,10,32,1498,59072
49,148122,112,6.0,54725904,49429748,5296156,10,20,3667668,282168,1630708,1077952832,15478,1422,0,0,10,32,1498,52913
50,151060,111,5.4,54725904,49429744,5296160,10,20,3667668,255760,1604304,4211008,15797,1445,0,0,10,32,1498,53858
51,154049,R,115,54725904,49429740,5296164,10,20,3667668,280580,1629136,1077952832,16108,1479,0,0,10,32,1498,52976
52,157046,109,6.4,54725904,49429740,5296164,10,20,3667668,244224,1592844,1077952832,16418,1506,0,0,10,32,1498,56433
53,160043,R,112,54725904,49429736,5296168,10,24,3667668,282372,1631008,1077952832,16728,1538,0,0,10,32,1498,57851
54,163050,115,4.9,54725904,49429736,5296168,10,24,3667668,292424,1641068,1077952832,17048,1561,0,0,10,32,1498,49872
55,166057,112,5.3,54725904,49429732,5296172,10,24,3667668,306616,1655272,1077952832,17373,1587,0,0,10,32,1498,45946
56,169041,109,6.1,54725904,49429728,5296176,10,24,3667668,253280,1601948,1077952832,17692,1602,0,0,10,32,1498,59252
57,172026,118,5.9,54725904,49429728,5296176,10,24,3667668,285320,1634036,4211008,18015,1627,0,0,10,32,1498,50723
58,175049,115,6.1,54725904,49429728,5296176,10,24,3667668,168248,1552660,1077952832,18338,1657,0,0,10,32,1498,63380
59,178382,R,109,54725904,49429720,5296184,10,24,3667668,224876,1599016,1077952832,18638,1679,0,0,10,33,1498,58002
