Timestamp,Result Title,Result Confidence
20201230_035013,bird group.slgns.mp4 00:00 03:00
20201230_035014,bird group_signs.mp4 T
20201230_035014,T -
20201230_035015,T
20201230_035015,T
20201230_035015,T -
20201230_035016,, T
20201230_035017,2. -
20201230_035018,T
20201230_035019,a -
20201230_035019,T
20201230_035020,a T
20201230_035020,T
20201230_035021,T
20201230_035022,T * 1
20201230_035023,a
20201230_035024,T
20201230_035024,T
20201230_035025,T
20201230_035025,T
20201230_035026,T
20201230_035026,T
20201230_035027,T 1
20201230_035028,T
20201230_035028,T
20201230_035029,T
20201230_035030,T
20201230_035030,T
20201230_035031,T
20201230_035031,T
20201230_035032,T
20201230_035033,T
20201230_035033,T
20201230_035034,T
20201230_035034,T 1
20201230_035035,T 1
20201230_035035,T
20201230_035036,T
20201230_035037,T
20201230_035037,T
20201230_035038,T
20201230_035038,T 1
20201230_035039,T
20201230_035040,T
20201230_035040,T
20201230_035041,T
20201230_035042,T
20201230_035044,2
20201230_035045,20 1
20201230_035047,2 1
20201230_035049,1
20201230_035051,1
20201230_035052,T
20201230_035053,*
20201230_035053,T
20201230_035054,1
20201230_035054,T
20201230_035055,T
20201230_035056,T 1
20201230_035056,T
20201230_035057,T
20201230_035058,-
20201230_035058,T
20201230_035059,T
20201230_035103,T
20201230_035103,-
20201230_035104,O T 1
20201230_035104,O
20201230_035105,O . 1
20201230_035105,O 1
20201230_035106,O
20201230_035107,O . 1
20201230_035107,1 O
20201230_035108,O
20201230_035108,O . *
20201230_035109,1
20201230_035109,*
20201230_035110,1
20201230_035111,T 1
20201230_035112,-
20201230_035113,1
20201230_035115,-
20201230_035116,T -
20201230_035121,T
20201230_035122,T
20201230_035123,-
20201230_035124,T
20201230_035125,T
20201230_035126,1
20201230_035127,T
20201230_035127,T 1
20201230_035128,T
20201230_035130,M T
20201230_035131,M -
20201230_035131,M T
20201230_035132,M
20201230_035133,T
20201230_035135,T
20201230_035136,T
20201230_035137,T
20201230_035138,T
20201230_035140,1
20201230_035140,1
20201230_035141,1
20201230_035142,T
20201230_035144,T
20201230_035145,T
20201230_035147,1
20201230_035150,-
20201230_035152,.
20201230_035155,T
20201230_035159,-
20201230_035159,a -
20201230_035200,a T
20201230_035202,T
20201230_035203,T
20201230_035208,,. T
20201230_035209,e T
20201230_035211,-
20201230_035212,T
20201230_035214,PL NICOLE 7800 N NO OUTLET 1
20201230_035215,NICOLE PL 7800 N NO OUTLET T -
20201230_035215,NICOLE PL 7800 N NO OUTLET
20201230_035216,NICOLE 7800 N PL NO OUTLET
20201230_035217,NICOLE PL 7800 N NO OUTLET 2 T -
20201230_035218,NICOLE NO OUTLET PL 7800 N --
20201230_035218,NICOLE PL 7800 N NO OUTLET T
20201230_035219,Black Lives Matter AVENUE Stonewal ST HISTORIC t DISTRICT -
20201230_035220,Black Lives Matter AVENUE StonevalST I HISTORIC t DISTRICT
20201230_035220,Black Lives Matter AVENUE StonewallST L HISTORIC tDISTRICT -
20201230_035221,Black Lives Matter AVENUE StonewallST I HISTORIC DISTRICT --
20201230_035222,Black Lives Matter AVENUE Stoneval ST I HISTORIC DISTRICT H
20201230_035223,Black Lives Matter AVENUE StonevallST I HISTORIC DISTRICT T -
20201230_035223,Black Lives Matter AVENUE Stonewall ST I HISTORIC tDISTRICT T
20201230_035224,ONE AY ar 19ANS a18R ONE HAY BROADWAY e 5P NO STANDING ANYTIME T
20201230_035225,ONE AY ONE HAY BROADWAY 5P NO STANDING ANYTIME -
20201230_035226,ONE AY ar 18ANS a*18R ONE HAY BROADWAY 5 NO STANDING ANYTIME -
20201230_035226,ONE AY ONE HAY BROADWAY NO STANDING ANYTIME
20201230_035227,ONE AY ONE WA BROADWAY 5 NO STANDING ANYTIME
20201230_035228,ONE AY ONE HAY BROADWAY e 5 NO STANDING ANYTIME T
20201230_035228,ONE AY ONE HAY BROADWAY e 5P NO STANDING ANYTIME
20201230_035229,Ohio St Historic South Nortolk Chesapeake Ave Historic Soth Norfolk STOP T
20201230_035230,Ohio St Historic South Norfolk Chesapeake Ave . Historic Soath Norfolk STOP T
20201230_035231,Ohio St Historic South Norfolk Chesapeake Ave . Historic Sonth Norfolk STOP
20201230_035231,Ohio St Historic South Norfolk Chesapeake Ave Historic Soth Norfolk STOP T
20201230_035232,Ohio St Historic South Norfolk Chesapeake Ave Historic Soth Norfolk STOP T
20201230_035233,Ohio St Historic South Norfolk Chesapeake Ave Historic Soath Norfolk STOP T
20201230_035234,Ohio St Historic South Norfolk Chesapeake Ave . Historic South Norfolk STOP T -
20201230_035234,STOP T
20201230_035235,STOP T
20201230_035236,STOP
20201230_035236,STOP T
20201230_035237,STOP
20201230_035238,STOP
20201230_035239,STOP T
20201230_035239,A ALTO ALTC T
20201230_035240,ALTO ALTC
20201230_035241,ALTO ALTC T --
20201230_035242,ALTO ALTC T 1
20201230_035242,AN ALTO ALTC T -
20201230_035243,A ALTO ALTC T - 1
20201230_035244,TOWAWAY NO PARKING 9AM-1:30PM FTOWED27-5000 T
20201230_035244,TOW AWAY NO PARKING ME ANY 9AM-1:30PM IFTOWED 127-5000
20201230_035245,TOW AWAY NO PARKING ANY 94M-1:30PM FTOWED 27-5000 T
