  bash arg: -p
  bash arg: edu.temple.mar_security.mlkit
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=37ms (0ms mobile, 0ms wifi, 37ms not connected)
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,119,6.0,54725904,49453716,5272188,10,16,3667668,473208,1576680,1077952832,554,61,0,0,10,28,1487,45342
2,7854,R,109,54725904,49453656,5272248,10,16,3667668,288980,1529984,1077952832,861,81,0,0,10,28,1487,41650
3,10776,105,6.1,54725904,49453532,5272372,10,16,3667668,244996,1565140,1077952832,1162,103,0,0,10,28,1487,52516
4,13676,116,5.7,54725904,49453400,5272504,10,16,3667668,212796,1550588,1077952832,1478,118,0,0,10,28,1487,48937
5,16662,119,6.1,54725904,49453392,5272512,10,16,3667668,222652,1527668,1077952832,1779,144,0,0,10,28,1487,50974
6,19544,109,4.3,54725904,49453340,5272564,10,16,3667668,171552,1520388,1077952832,2083,162,0,0,10,28,1487,44712
7,22425,116,3.4,54725904,49453344,5272560,10,16,3667668,190856,1530824,1077952832,2388,186,0,0,10,28,1487,33881
8,25281,106,2.4,54725904,49453184,5272720,10,16,3667668,170248,1522840,1077952832,2697,206,0,0,10,30,1487,26354
9,28211,103,2.0,54725904,49453076,5272828,10,16,3667668,165348,1510416,1077952832,3000,231,0,0,10,30,1487,18850
10,31183,106,2.0,54725904,49424936,5300968,10,16,3667668,186704,1526708,1077952832,3304,248,0,0,10,31,1487,26320
11,34106,R,115,54725904,49424364,5301540,10,16,3667668,272144,1661400,1077952832,3608,267,0,0,10,31,1487,18970
12,37065,119,2.0,54725904,49424356,5301548,10,16,3667668,206252,1608184,1077952832,3930,290,0,0,10,31,1487,19050
13,40000,119,2.0,54725904,49424376,5301528,10,16,3667668,201492,1613568,1077952832,4251,308,0,0,10,31,1487,19096
14,42956,106,2.0,54725904,49424748,5301156,10,16,3667668,207372,1620016,1077952832,4573,323,0,0,10,31,1487,19101
15,45912,113,2.0,54725904,49424340,5301564,10,16,3667668,199072,1627688,1077952832,4895,340,0,0,10,31,1487,19176
16,48866,119,2.0,54725904,49426832,5299072,10,16,3667668,216120,1627900,1077952832,5217,354,0,0,10,31,1487,18462
17,51799,109,2.0,54725904,49425636,5300268,10,16,3667668,198364,1612700,1077952832,5522,378,0,0,10,31,1487,18479
18,54727,106,2.0,54725904,49425628,5300276,10,16,3667668,209060,1623504,1077952832,5823,404,0,0,10,31,1487,18491
19,57714,106,2.0,54725904,49425620,5300284,10,16,3667668,230136,1644688,1077952832,6127,425,0,0,10,31,1487,18499
20,60652,109,6.0,54725904,49424324,5301580,10,16,3667668,218024,1671296,1077952832,6431,445,0,0,10,31,1487,47906
21,63513,136,6.1,54725904,49424236,5301668,10,20,3667668,173704,1670796,1077952832,6745,467,0,0,10,32,1487,51714
22,66423,116,5.8,54725904,49424228,5301676,10,20,3667668,168404,1666752,1077952832,7060,497,0,0,10,32,1487,49690
23,69365,130,5.4,54725904,49424220,5301684,10,20,3667668,166724,1665140,1077952832,7382,519,0,0,10,32,1487,35003
24,72307,R,106,54725904,49424220,5301684,10,20,3667668,152224,1650648,1077952832,7694,546,0,0,10,32,1487,39478
25,75282,106,3.5,54725904,49424216,5301688,10,20,3667668,167868,1666308,1077952832,8004,560,0,0,10,32,1487,38798
26,78193,103,3.5,54725904,49424216,5301688,10,20,3667668,189376,1687860,1077952832,8305,586,0,0,10,32,1487,23876
27,81127,109,2.6,54725904,49424212,5301692,10,20,3667668,169684,1668180,1077952832,8620,605,0,0,10,32,1487,24861
28,84106,112,2.0,54725904,49424204,5301700,10,20,3667668,194276,1692784,1077952832,8932,632,0,0,10,32,1487,22172
29,87104,109,2.0,54725904,49424200,5301704,10,20,3667668,221620,1720140,1077952832,9240,659,0,0,10,32,1487,18876
30,89993,109,2.0,54725904,49424196,5301708,10,20,3667668,180268,1679664,1077952832,9550,686,0,0,10,32,1487,18935
31,92933,125,2.0,54725904,49424196,5301708,10,20,3667668,207316,1706716,1077952832,9871,704,0,0,10,32,1487,18945
