  bash arg: -p
  bash arg: edu.temple.mar_security.mlkit
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=42ms (0ms mobile, 0ms wifi, 42ms not connected)
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,110,6.3,54725904,49494092,5231812,10,40,3667668,359748,1494804,1077952832,665,71,0,0,10,27,30323,64374
2,8848,103,5.6,54725904,49494092,5231812,10,40,3667668,376760,1511480,1077952832,1002,92,0,0,10,27,30323,57107
3,11871,106,5.2,54725904,49494092,5231812,10,40,3667668,394552,1529536,1077952832,1327,109,0,0,10,27,30323,49002
4,14891,109,4.6,54725904,49494084,5231820,10,40,3667668,372772,1508092,1077952832,1667,123,0,0,10,27,30323,38873
5,17929,113,3.6,54725904,49494084,5231820,10,40,3667668,384544,1520160,1077952832,1993,149,0,0,10,27,30323,25095
6,20911,109,3.3,54725904,49494084,5231820,10,40,3667668,360396,1496108,1077952832,2328,165,0,0,10,27,30323,30617
7,24043,113,1.9,54725904,49494084,5231820,10,40,3667668,377820,1513872,1077952832,2678,180,0,0,10,27,30323,21767
8,27121,113,6.9,54725904,49494076,5231828,10,40,3667668,387016,1523084,1077952832,3003,206,0,0,10,27,30323,62102
9,30260,106,5.9,54725904,49494076,5231828,10,40,3667668,395688,1532040,1077952832,3328,233,0,0,10,27,30323,52209
10,33319,109,5.1,54725904,49494076,5231828,10,40,3667668,388524,1524876,1077952832,3655,250,0,0,10,27,30323,49922
11,36313,113,4.5,54725904,49494068,5231836,10,40,3667668,377148,1513568,4211008,3977,269,0,0,10,27,30323,34990
12,39297,110,6.5,54725904,49494068,5231836,10,40,3667668,380612,1517060,1077952832,4299,292,0,0,10,27,30323,53591
13,42291,110,6.2,54725904,49494068,5231836,10,40,3667668,366356,1503016,1077952832,4636,320,0,0,10,27,30323,47626
14,45633,113,4.9,54725904,49494064,5231840,10,40,3667668,380312,1527968,1077952832,4965,347,0,0,10,27,30323,39667
15,48671,113,4.0,54725904,49494060,5231844,10,40,3667668,369316,1527124,4211008,5289,365,0,0,10,27,30323,35165
16,51649,120,3.3,54725904,49494060,5231844,10,40,3667668,356340,1517932,1077952832,5607,397,0,0,10,27,30323,30174
17,54833,123,3.0,54725904,49494060,5231844,10,40,3667668,341256,1503216,1077952832,5922,423,0,0,10,27,30323,26905
18,57849,119,1.9,54725904,49494052,5231852,10,40,3667668,364112,1526132,1077952832,6258,449,0,0,10,27,30323,18082
19,60937,113,1.9,54725904,49494052,5231852,10,40,3667668,321864,1484828,1077952832,6570,476,0,0,10,27,30323,18095
20,63923,123,1.9,54725904,49494048,5231856,10,44,3667668,327152,1490216,1077952832,6902,488,0,0,10,31,30323,18110
21,66940,113,1.9,54725904,49494044,5231860,10,44,3667668,381748,1545088,1077952832,7220,514,0,0,10,31,30323,18191
22,70015,113,1.9,54725904,49494040,5231864,10,44,3667668,389104,1554640,1077952832,7531,537,0,0,10,31,30323,18207
23,72938,112,1.9,54725904,49494036,5231868,10,44,3667668,374268,1539224,1077952832,7857,557,0,0,10,31,30323,18216
24,75963,106,1.9,54725904,49494036,5231868,10,44,3667668,371256,1536340,1077952832,8163,584,0,0,10,31,30323,18222
25,78901,106,1.9,54725904,49494032,5231872,10,44,3667668,312540,1477636,1077952832,8477,610,0,0,10,31,30323,18222
26,81862,120,1.9,54725904,49494028,5231876,10,44,3667668,377844,1543396,1077952832,8787,637,0,0,10,31,30323,18224
27,84865,113,1.9,54725904,49494028,5231876,10,44,3667668,393336,1560164,1077952832,9097,656,0,0,10,31,30323,18228
28,87779,112,1.9,54725904,49494024,5231880,10,44,3667668,367596,1534428,1077952832,9417,677,0,0,10,31,30323,18234
29,90768,106,1.9,54725904,49494020,5231884,10,44,3667668,343748,1510608,1077952832,9730,699,0,0,10,31,30323,18235
30,93737,116,1.9,54725904,49494020,5231884,10,44,3667668,381896,1548756,1077952832,10040,723,0,0,10,31,30323,18241
31,96674,113,1.9,54725904,49494016,5231888,10,44,3667668,380168,1547040,1077952832,10350,741,0,0,10,31,30323,18243
32,99597,109,1.9,54725904,49494012,5231892,10,44,3667668,357948,1524824,1077952832,10665,764,0,0,10,31,30323,18289
33,102556,124,1.9,54725904,49494008,5231896,10,44,3667668,372184,1539084,1077952832,10972,786,0,0,10,31,30323,18294
34,105501,110,1.9,54725904,49494008,5231896,10,44,3667668,363568,1530472,1077952832,11273,811,0,0,10,31,30323,57806
35,108468,116,4.8,54725904,49494008,5231896,10,44,3667668,359680,1526596,1077952832,11584,837,0,0,10,33,30323,51011
36,111424,106,4.7,54725904,49494000,5231904,10,44,3667668,381484,1548472,1077952832,11893,859,0,0,10,33,30323,41150
37,114363,106,4.4,54725904,49494000,5231904,10,44,3667668,380864,1547920,1077952832,12203,881,0,0,10,33,30323,32965
38,117288,109,3.0,54725904,49493996,5231908,10,44,3667668,393248,1561052,1077952832,12532,896,0,0,10,33,30323,25022
39,120303,110,2.6,54725904,49493996,5231908,10,44,3667668,371592,1539416,1077952832,12835,920,0,0,10,33,30323,18701
40,123211,113,2.0,54725904,49493992,5231912,10,48,3667668,357852,1525680,1077952832,13146,943,0,0,10,33,30323,18375
41,126167,106,2.0,54725904,49493984,5231920,10,48,3667668,377328,1545172,1077952832,13465,957,0,0,10,33,30323,18383
42,129127,113,2.0,54725904,49493984,5231920,10,48,3667668,350028,1517940,1077952832,13783,974,0,0,10,33,30323,18391
43,132066,116,2.0,54725904,49493980,5231924,10,48,3667668,359732,1527804,1077952832,14083,1002,0,0,10,33,30323,18395
44,135014,113,2.0,54725904,49493980,5231924,10,48,3667668,358400,1526484,1077952832,14392,1025,0,0,10,33,30323,18401
45,137942,109,2.0,54725904,49493976,5231928,10,48,3667668,347280,1515380,1077952832,14703,1049,0,0,10,33,30323,18404
46,140928,110,2.0,54725904,49493976,5231928,10,48,3667668,337468,1505584,1077952832,15011,1073,0,0,10,33,30323,18409
47,143847,106,2.0,54725904,49493972,5231932,10,48,3667668,356948,1519492,1077952832,15317,1094,0,0,10,33,30323,18359
48,146774,131,2.0,54725904,49493972,5231932,10,48,3667668,361132,1523684,1077952832,15626,1113,0,0,10,33,30323,18364
49,149675,113,2.0,54725904,49493968,5231936,10,48,3667668,355076,1517632,1077952832,15940,1127,0,0,10,33,30323,18368
50,152590,117,2.0,54725904,49493968,5231936,10,48,3667668,345740,1508332,1077952832,16251,1149,0,0,10,33,30323,18374
51,155574,113,2.0,54725904,49493964,5231940,10,48,3667668,367136,1529740,1077952832,16569,1163,0,0,10,33,30323,18379
52,158544,110,2.0,54725904,49493964,5231940,10,48,3667668,376152,1538756,1077952832,16882,1179,0,0,10,33,30323,53331
53,161512,103,5.5,54725904,49493960,5231944,10,48,3667668,372244,1535032,1077952832,17196,1200,0,0,10,33,30323,51812
54,164513,106,4.7,54725904,49493960,5231944,10,48,3667668,365124,1527920,1077952832,17512,1221,0,0,10,33,30323,45034
55,167467,110,4.2,54725904,49493956,5231948,10,48,3667668,385588,1548396,1077952832,17817,1249,0,0,10,33,30323,33430
56,170441,123,3.6,54725904,49493956,5231948,10,48,3667668,381972,1544808,1077952832,18132,1271,0,0,10,33,30323,32644
57,173440,120,4.0,54725904,49493952,5231952,10,48,3667668,344560,1507436,1077952832,18466,1296,0,0,10,34,30323,31920
58,176793,130,2.1,54725904,49493952,5231952,10,48,3667668,387360,1550244,4211008,18800,1324,0,0,10,34,30323,18416
59,179801,106,2.0,54725904,49493948,5231956,10,48,3667668,335260,1498156,1077952832,19116,1349,0,0,10,34,30323,20505
