  bash arg: -p
  bash arg: edu.temple.mar_security.mlkit_comp
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=80ms (0ms mobile, 0ms wifi, 80ms not connected)
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,112,8.0,54725904,49488488,5237416,10,16,3667668,357532,1502168,1077952832,607,71,0,0,10,27,1464,59070
2,7951,109,7.7,54725904,49488432,5237472,10,16,3667668,347784,1506416,1077952832,906,100,0,0,10,27,1464,67573
3,10882,119,7.4,54725904,49488304,5237600,10,16,3667668,336624,1537192,4211008,1199,127,0,0,10,29,1464,69591
4,13757,106,6.8,54725904,49488168,5237736,10,16,3667668,279256,1499116,1077952832,1501,151,0,0,10,29,1464,69934
5,16670,100,7.7,54725904,49459836,5266068,10,16,3667668,315724,1534336,1077952832,1820,168,0,0,10,29,1464,71244
6,19605,109,6.5,54725904,49459492,5266412,10,16,3667668,294652,1566032,4211008,2136,185,0,0,10,29,1464,68976
7,22563,109,7.5,54725904,49459516,5266388,10,16,3667668,297176,1575944,1077952832,2436,214,0,0,10,29,1464,67950
8,25488,112,7.2,54725904,49459500,5266404,10,16,3667668,287440,1571108,1077952832,2749,235,0,0,10,29,1464,71963
9,28440,R,116,54725904,49459560,5266344,10,16,3667668,292908,1582852,1077952832,3067,256,0,0,10,29,1464,62959
10,31378,110,6.9,54725904,49471052,5254852,10,16,3667668,226296,1611396,1077952832,3375,278,0,0,10,29,1464,62441
11,34271,118,7.3,54725904,49460920,5264984,10,16,3667668,237204,1575896,1077952832,3696,298,0,0,10,29,1464,65620
12,37251,112,6.5,54725904,49460920,5264984,10,16,3667668,267372,1606348,1077952832,4007,315,0,0,10,29,1464,60421
13,40192,109,7.4,54725904,49460920,5264984,10,16,3667668,258884,1598272,1077952832,4316,334,0,0,10,30,1464,68926
14,43132,R,116,54725904,49460912,5264992,10,16,3667668,239876,1579520,1077952832,4615,360,0,0,10,30,1464,64052
15,46040,116,6.1,54725904,49459524,5266380,10,16,3667668,179620,1598188,1077952832,4920,387,0,0,10,30,1464,70210
16,48976,103,7.4,54725904,49459524,5266380,10,16,3667668,210904,1629900,1077952832,5233,416,0,0,10,30,1464,58635
17,51934,109,7.2,54725904,49459524,5266380,10,16,3667668,209488,1628704,1077952832,5551,439,0,0,10,30,1464,70961
18,54935,112,7.5,54725904,49459516,5266388,10,16,3667668,201892,1621172,1077952832,5863,466,0,0,10,30,1464,60700
19,57898,116,7.5,54725904,49459516,5266388,10,16,3667668,195232,1614512,1077952832,6190,482,0,0,10,30,1464,62742
20,60836,126,6.8,54725904,49459516,5266388,10,16,3667668,241640,1661100,1077952832,6498,500,0,0,10,30,1464,58791
21,63748,112,6.3,54725904,49459504,5266400,10,20,3667668,260720,1680272,1077952832,6808,524,0,0,10,30,1464,59538
22,66670,R,119,54725904,49459500,5266404,10,20,3667668,305988,1717676,1077952832,7112,552,0,0,10,32,1464,49316
23,69576,103,5.5,54725904,49459500,5266404,10,20,3667668,292632,1699300,4211008,7433,576,0,0,10,32,1464,47590
24,72561,R,119,54725904,49459496,5266408,10,20,3667668,275856,1682596,4211008,7750,603,0,0,10,30,1464,49959
25,75520,113,5.5,54725904,49459492,5266412,10,20,3667668,288024,1695472,1077952832,8065,632,0,0,10,30,1464,55043
26,78485,R,112,54725904,49459492,5266412,10,20,3667668,249420,1656868,4211008,8377,662,0,0,10,30,1464,63429
27,81439,113,5.0,54725904,49459488,5266416,10,20,3667668,278072,1684892,1077952832,8676,704,0,0,10,30,1464,60633
28,84383,128,6.3,54725904,49459488,5266416,10,20,3667668,293796,1700684,1077952832,8985,740,0,0,10,30,1464,41522
29,87359,R,103,54725904,49459484,5266420,10,20,3667668,257768,1664668,4211008,9297,776,0,0,10,30,1464,53037
30,90414,112,6.6,54725904,49459484,5266420,10,20,3667668,264224,1671140,1077952832,9623,795,0,0,10,30,1464,54834
31,93408,122,6.4,54725904,49459484,5266420,10,20,3667668,270916,1677836,1077952832,9929,829,0,0,10,30,1464,58359
32,96323,124,6.5,54725904,49459484,5266420,10,20,3667668,255304,1664312,1077952832,10242,859,0,0,10,30,1464,63444
33,99308,125,6.1,54725904,49459480,5266424,10,20,3667668,269284,1678268,1077952832,10554,887,0,0,10,30,1464,52046
34,102253,R,116,54725904,49459480,5266424,10,20,3667668,265500,1674512,4211008,10863,916,0,0,10,30,1464,57438
35,105178,R,112,54725904,49459480,5266424,10,20,3667668,238760,1647792,1077952832,11164,952,0,0,10,30,1464,58571
36,108128,129,6.3,54725904,49459480,5266424,10,20,3667668,297932,1706972,1077952832,11476,983,0,0,10,30,1464,41466
37,111082,115,6.2,54725904,49459480,5266424,10,20,3667668,322436,1731516,1077952832,11775,1023,0,0,10,30,1464,41322
38,114039,109,5.0,54725904,49459472,5266432,10,20,3667668,242888,1652244,1077952832,12085,1050,0,0,10,30,1464,59060
39,116970,R,118,54725904,49459472,5266432,10,20,3667668,270796,1680160,1077952832,12399,1075,0,0,10,30,1464,50485
40,119916,128,6.2,54725904,49459468,5266436,10,24,3667668,285252,1694628,1077952832,12710,1106,0,0,10,30,1464,41074
41,122877,R,118,54725904,49459468,5266436,10,24,3667668,186892,1635732,1077952832,13008,1142,0,0,10,32,1464,56138
42,125797,106,6.7,54725904,49459464,5266440,10,24,3667668,196820,1635064,1077952832,13326,1167,0,0,10,32,1464,57683
43,128795,112,5.4,54725904,49459456,5266448,10,28,3667668,210984,1649668,1077952832,13622,1198,0,0,10,32,1464,46524
44,131749,109,5.5,54725904,49459452,5266452,10,28,3667668,194764,1633504,1077952832,13928,1224,0,0,10,32,1464,58311
45,134681,109,6.7,54725904,49459452,5266452,10,28,3667668,204588,1643472,1077952832,14237,1252,0,0,10,32,1464,53679
46,137649,121,6.5,54725904,49459452,5266452,10,28,3667668,186504,1625412,1077952832,14542,1276,0,0,10,32,1464,62977
47,140610,109,5.8,54725904,49459448,5266456,10,28,3667668,181052,1619972,1077952832,14855,1304,0,0,10,32,1464,61274
48,143585,115,5.8,54725904,49459444,5266460,10,28,3667668,225892,1664824,1077952832,15161,1331,0,0,10,32,1464,59360
49,146522,125,6.1,54725904,49459444,5266460,10,28,3667668,196172,1635116,1077952832,15476,1350,0,0,10,32,1464,59842
50,149468,115,5.0,54725904,49459444,5266460,10,28,3667668,213696,1652636,1077952832,15782,1381,0,0,10,32,1464,57492
51,152416,108,6.4,54725904,49459444,5266460,10,28,3667668,211796,1650788,4211008,16107,1401,0,0,10,32,1464,51168
52,155401,108,5.9,54725904,49459440,5266464,10,28,3667668,187100,1626364,1077952832,16427,1426,0,0,10,32,1464,55312
53,158411,109,5.6,54725904,49459436,5266468,10,28,3667668,200716,1639984,1077952832,16741,1449,0,0,10,32,1464,49260
54,161345,106,5.4,54725904,49459440,5266464,10,28,3667668,208208,1647504,1077952832,17053,1470,0,0,10,32,1464,56840
55,164338,127,6.5,54725904,49459440,5266464,10,28,3667668,226160,1665464,4211008,17374,1494,0,0,10,32,1464,59133
56,167321,127,5.4,54725904,49459440,5266464,10,28,3667668,216448,1655752,1077952832,17689,1519,0,0,10,32,1464,56089
57,170327,112,6.5,54725904,49459440,5266464,10,28,3667668,220560,1659928,1077952832,18005,1545,0,0,10,32,1464,52407
58,173304,R,108,54725904,49459436,5266468,10,28,3667668,209316,1649016,1077952832,18304,1587,0,0,10,32,1464,57278
