  bash arg: -p
  bash arg: edu.temple.mar_security.mlkit
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=43ms (0ms mobile, 0ms wifi, 43ms not connected)
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,113,7.5,54725904,49459404,5266500,10,16,3667668,344044,1532428,1077952832,617,75,0,0,10,26,1521,60662
2,7956,106,6.1,54725904,49459392,5266512,10,16,3667668,355424,1544428,1077952832,920,108,0,0,10,26,1521,53118
3,10898,106,6.4,54725904,49459392,5266512,10,16,3667668,386784,1575960,1077952832,1241,126,0,0,10,26,1521,50068
4,13918,106,6.4,54725904,49459392,5266512,10,16,3667668,334072,1523600,4211008,1571,149,0,0,10,26,1521,55693
5,16952,113,6.5,54725904,49459384,5266520,10,16,3667668,349600,1539376,1077952832,1913,172,0,0,10,26,1521,62032
6,20115,109,6.8,54725904,49459384,5266520,10,16,3667668,317020,1506812,1077952832,2238,195,0,0,10,26,1521,68214
7,23184,106,6.9,54725904,49459384,5266520,10,16,3667668,326856,1516664,1077952832,2565,225,0,0,10,26,1521,62223
8,26171,113,7.3,54725904,49459376,5266528,10,16,3667668,323996,1514008,1077952832,2870,250,0,0,10,26,1521,65423
9,29110,113,7.1,54725904,49459376,5266528,10,16,3667668,326996,1517020,1077952832,3185,279,0,0,10,26,1521,69483
10,32160,110,7.0,54725904,49459336,5266568,10,16,3667668,329084,1519200,1077952832,3504,301,0,0,10,26,1521,60069
11,35149,117,6.6,54725904,49459336,5266568,10,16,3667668,335252,1525404,1077952832,3821,329,0,0,10,26,1521,57893
12,38126,R,130,54725904,49459316,5266588,10,16,3667668,312748,1502916,1077952832,4147,349,0,0,10,26,1521,56067
13,41104,134,7.6,54725904,49459316,5266588,10,16,3667668,308784,1498960,1077952832,4452,383,0,0,10,26,1521,70917
14,44088,125,7.7,54725904,49459316,5266588,10,16,3667668,301524,1491736,1077952832,4776,401,0,0,10,26,1521,70967
15,47076,106,7.2,54725904,49459308,5266596,10,16,3667668,311792,1502016,1077952832,5079,436,0,0,10,26,1521,66028
16,50031,110,6.8,54725904,49459308,5266596,10,16,3667668,287764,1477992,1077952832,5401,461,0,0,10,26,1521,70594
17,53076,110,7.3,54725904,49459304,5266600,10,16,3667668,325148,1515392,4211008,5722,488,0,0,10,33,1521,66888
18,56087,117,6.6,54725904,49459304,5266600,10,16,3667668,297752,1488004,1077952832,6021,522,0,0,10,33,1521,68865
19,59009,106,7.4,54725904,49459292,5266612,10,16,3667668,341520,1531844,1077952832,6336,544,0,0,10,33,1521,68240
20,61961,109,7.1,54725904,49459272,5266632,10,20,3667668,338020,1528800,1077952832,6643,568,0,0,10,33,1521,63698
21,64855,109,7.2,54725904,49459272,5266632,10,20,3667668,314544,1505320,1077952832,6948,591,0,0,10,33,1521,61322
22,67777,106,6.6,54725904,49459284,5266620,10,20,3667668,351288,1542444,1077952832,7259,616,0,0,10,33,1521,54450
