Timestamp,TimeToClassify,LabelCount,IsRunningLocally,,,,,
57:09.1,143,6,TRUE,,,,43.28467153,137
57:09.2,44,6,TRUE,,,,,
57:09.4,42,6,TRUE,,,,,
57:09.5,41,6,TRUE,,,,,
57:09.7,40,6,TRUE,,,,,
57:09.8,40,6,TRUE,,,,,
57:09.9,46,6,TRUE,,,,,
57:10.1,41,6,TRUE,,,,,
57:10.2,43,6,TRUE,,,,,
57:10.4,41,6,TRUE,,,,,
57:10.6,42,6,TRUE,,,,,
57:10.7,41,6,TRUE,,,,,
57:10.9,42,6,TRUE,,,,,
57:11.1,64,6,TRUE,,,,,
57:11.3,42,6,TRUE,,,,,
57:11.4,41,6,TRUE,,,,,
57:11.6,42,6,TRUE,,,,,
57:11.7,41,6,TRUE,,,,,
57:11.9,41,6,TRUE,,,,,
57:12.0,43,6,TRUE,,,,,
57:12.2,42,6,TRUE,,,,,
57:12.3,44,6,TRUE,,,,,
57:12.5,41,6,TRUE,,,,,
57:12.6,46,6,TRUE,,,,,
57:12.8,46,6,TRUE,,,,,
57:12.9,41,6,TRUE,,,,,
57:13.1,41,6,TRUE,,,,,
57:13.2,43,3,TRUE,,,,,
57:13.4,41,3,TRUE,,,,,
57:13.5,44,3,TRUE,,,,,
57:13.7,40,3,TRUE,,,,,
57:13.9,46,3,TRUE,,,,,
57:14.1,41,3,TRUE,,,,,
57:14.2,41,3,TRUE,,,,,
57:14.4,45,3,TRUE,,,,,
57:14.6,42,3,TRUE,,,,,
57:14.7,42,3,TRUE,,,,,
57:14.9,41,3,TRUE,,,,,
57:15.0,47,3,TRUE,,,,,
57:15.2,41,3,TRUE,,,,,
57:15.3,42,3,TRUE,,,,,
57:15.5,46,3,TRUE,,,,,
57:15.7,41,3,TRUE,,,,,
57:15.8,42,3,TRUE,,,,,
57:15.9,42,3,TRUE,,,,,
57:16.1,44,3,TRUE,,,,,
57:16.2,41,3,TRUE,,,,,
57:16.4,40,3,TRUE,,,,,
57:16.5,47,3,TRUE,,,,,
57:16.6,44,3,TRUE,,,,,
57:16.8,41,3,TRUE,,,,,
57:17.0,43,3,TRUE,,,,,
57:17.1,43,3,TRUE,,,,,
57:17.3,44,3,TRUE,,,,,
57:17.4,41,3,TRUE,,,,,
57:17.6,49,3,TRUE,,,,,
57:17.8,43,3,TRUE,,,,,
57:17.9,41,3,TRUE,,,,,
57:18.1,41,3,TRUE,,,,,
57:18.3,40,3,TRUE,,,,,
57:18.4,48,3,TRUE,,,,,
57:18.6,39,3,TRUE,,,,,
57:18.7,40,3,TRUE,,,,,
57:18.8,41,3,TRUE,,,,,
57:19.0,41,3,TRUE,,,,,
57:19.1,41,3,TRUE,,,,,
57:19.3,46,3,TRUE,,,,,
57:19.4,41,3,TRUE,,,,,
57:19.6,48,3,TRUE,,,,,
57:19.7,41,3,TRUE,,,,,
57:19.9,41,3,TRUE,,,,,
57:20.0,39,3,TRUE,,,,,
57:20.2,43,3,TRUE,,,,,
57:20.3,44,3,TRUE,,,,,
57:20.5,45,3,TRUE,,,,,
57:20.6,40,3,TRUE,,,,,
57:20.7,41,3,TRUE,,,,,
57:20.9,43,3,TRUE,,,,,
57:21.1,43,3,TRUE,,,,,
57:21.2,40,4,TRUE,,,,,
57:21.4,43,4,TRUE,,,,,
57:21.5,40,4,TRUE,,,,,
57:21.6,47,4,TRUE,,,,,
57:21.8,45,4,TRUE,,,,,
57:21.9,40,4,TRUE,,,,,
57:22.1,44,4,TRUE,,,,,
57:22.2,42,4,TRUE,,,,,
57:22.3,48,4,TRUE,,,,,
57:22.5,41,4,TRUE,,,,,
57:22.6,43,4,TRUE,,,,,
57:22.8,45,4,TRUE,,,,,
57:22.9,41,4,TRUE,,,,,
57:23.1,41,4,TRUE,,,,,
57:23.2,41,4,TRUE,,,,,
57:23.4,43,4,TRUE,,,,,
57:23.5,43,4,TRUE,,,,,
57:23.7,44,4,TRUE,,,,,
57:23.8,49,4,TRUE,,,,,
57:24.0,40,4,TRUE,,,,,
57:24.1,41,4,TRUE,,,,,
57:24.3,47,4,TRUE,,,,,
57:24.4,41,4,TRUE,,,,,
57:24.6,39,4,TRUE,,,,,
57:24.7,47,4,TRUE,,,,,
57:24.9,40,4,TRUE,,,,,
57:25.1,40,4,TRUE,,,,,
57:25.2,39,4,TRUE,,,,,
57:25.3,40,4,TRUE,,,,,
57:25.6,67,4,TRUE,,,,,
57:25.7,40,4,TRUE,,,,,
57:25.8,42,4,TRUE,,,,,
57:26.0,40,4,TRUE,,,,,
57:26.2,44,4,TRUE,,,,,
57:26.3,42,4,TRUE,,,,,
57:26.5,44,4,TRUE,,,,,
57:26.6,39,4,TRUE,,,,,
57:26.8,41,4,TRUE,,,,,
57:26.9,39,4,TRUE,,,,,
57:27.0,44,4,TRUE,,,,,
57:27.2,46,4,TRUE,,,,,
57:27.3,43,4,TRUE,,,,,
57:27.5,40,4,TRUE,,,,,
57:27.6,40,4,TRUE,,,,,
57:27.8,39,4,TRUE,,,,,
57:27.9,45,4,TRUE,,,,,
57:28.1,40,4,TRUE,,,,,
57:28.2,39,4,TRUE,,,,,
57:28.3,40,4,TRUE,,,,,
57:28.5,41,4,TRUE,,,,,
57:28.6,43,4,TRUE,,,,,
57:28.8,41,4,TRUE,,,,,
57:28.9,39,4,TRUE,,,,,
57:29.1,42,4,TRUE,,,,,
57:29.2,39,4,TRUE,,,,,
57:29.4,39,3,TRUE,,,,,
57:29.6,41,3,TRUE,,,,,
57:29.7,42,3,TRUE,,,,,
