Timestamp,TimeToClassify,LabelCount,IsRunningLocally,,,,,
37:00.0,656,14,FALSE,,,,532.09375,32
37:00.6,540,14,FALSE,,,,,
37:01.1,440,14,FALSE,,,,,
37:01.8,485,14,FALSE,,,,,
37:02.4,531,14,FALSE,,,,,
37:03.1,579,14,FALSE,,,,,
37:03.7,549,14,FALSE,,,,,
37:04.1,319,14,FALSE,,,,,
37:04.7,487,14,FALSE,,,,,
37:05.4,494,14,FALSE,,,,,
37:06.1,622,14,FALSE,,,,,
37:06.8,622,14,FALSE,,,,,
37:07.2,325,14,FALSE,,,,,
37:08.0,706,14,FALSE,,,,,
37:08.7,579,14,FALSE,,,,,
37:09.3,536,14,FALSE,,,,,
37:09.9,485,14,FALSE,,,,,
37:10.4,390,14,FALSE,,,,,
37:11.2,700,14,FALSE,,,,,
37:11.7,380,14,FALSE,,,,,
37:12.3,560,14,FALSE,,,,,
37:12.8,395,15,FALSE,,,,,
37:13.5,606,15,FALSE,,,,,
37:14.3,593,15,FALSE,,,,,
37:14.9,511,15,FALSE,,,,,
37:15.6,523,15,FALSE,,,,,
37:16.4,669,15,FALSE,,,,,
37:17.1,611,15,FALSE,,,,,
37:17.6,397,15,FALSE,,,,,
37:18.3,558,15,FALSE,,,,,
37:19.1,609,15,FALSE,,,,,
37:19.8,570,15,FALSE,,,,,
