  bash arg: -p
  bash arg: com.instagram.android
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=51ms (0ms mobile, 0ms wifi, 51ms not connected)
Starting up the app... You have 5sec to configure it.
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,102,8.6,54725904,47966180,6759724,13,16,3667664,113836,1147380,1077952832,1403,304,1,1,12,156,1525,78498
2,11032,106,8.0,54725904,47966112,6759792,13,16,3667664,123268,1164084,1077952832,1691,341,1,1,12,157,1525,74318
3,13941,90.6,8.0,54725904,47965984,6759920,13,16,3667664,119372,1153892,1077952832,1958,368,1,1,12,164,1525,74836
4,16847,106,8.0,54725904,47965968,6759936,13,16,3667664,100516,1158472,1077952832,2226,405,1,1,12,164,1525,73843
5,19781,112,8.1,54725904,47965996,6759908,13,16,3667664,79756,1157432,1077952832,2521,438,1,1,12,164,1525,73410
6,22709,113,7.2,54725904,47965788,6760116,13,16,3667664,108060,1194116,1077952832,2797,481,1,1,12,165,1525,63993
7,25693,119,6.4,54725904,47965740,6760164,13,16,3667664,90840,1123380,1077952832,3075,518,1,1,12,165,1525,58777
8,28657,109,6.4,54725904,47937608,6788296,13,16,3667664,77688,1159928,1077952832,3371,549,1,1,12,166,1525,61092
9,31825,115,6.6,54725904,47937104,6788800,13,16,3667664,126028,1192900,1077952832,3637,586,1,1,12,166,1525,60889
10,34778,96.9,6.7,54725904,47937064,6788840,13,16,3667664,131144,1206644,1077952832,3916,616,1,1,12,166,1525,62722
11,37679,112,6.2,54725904,47894028,6831876,13,16,3667664,115488,1218304,1077952832,4214,639,1,1,12,164,1525,56318
