RECORD,T1,T2,T3,T4,T5,AVG,CPU_EWMA,T1,T2,T3,T4,T5,AVG,MEM_EWMA
1,116,115,89.4,96.9,102,103.86,103.86,9.6,8.8,8.6,9.2,8.6,8.96,8.96
2,106,100,100,115,106,105.4,104.63,9.5,8.8,8.4,9.1,8,8.76,8.86
3,110,103,103,96.7,90.6,100.66,102.645,9.7,8.5,8.1,9.1,8,8.68,8.77
4,103,112,119,83.3,106,104.66,103.6525,9.8,8.1,7.8,8.8,8,8.5,8.635
5,100,109,109,96.9,112,105.38,104.51625,10,7.8,7.1,7.8,8.1,8.16,8.3975
6,103,100,93.5,106,113,103.1,103.808125,10,7.9,7,7.5,7.2,7.92,8.15875
7,106,103,88.2,125,119,108.24,106.0240625,10.2,7.4,7.1,7.3,6.4,7.68,7.919375
8,100,105,119,132,109,113,109.5120313,10.3,6.5,7.2,7.3,6.4,7.54,7.7296875
9,100,106,106,122,115,109.8,109.6560156,10.5,6.5,5.6,6.6,6.6,7.16,7.44484375
10,110,96.9,68.8,109,96.9,96.32,102.9880078,9.4,6.8,5.1,5.7,6.7,6.74,7.092421875
11,103,112,106,115,112,109.6,106.2940039,9.5,7,5.3,5.3,6.2,6.66,6.876210938
12,100,109,100,97.4,141,109.48,107.887002,9.7,6.2,5.5,5.4,6.2,6.6,6.738105469
13,110,106,129,106,109,112,109.943501,9.8,6.5,5.7,5.5,6.4,6.78,6.759052734
14,100,116,125,96.7,112,109.94,109.9417505,10,6.7,5.9,5.7,6.6,6.98,6.869526367
15,110,132,100,103,112,111.4,110.6708752,10.2,6.8,6.1,5.8,6.3,7.04,6.954763184
16,106,112,100,106,106,106,108.3354376,10.3,5.6,6.2,5.5,5.8,6.68,6.817381592
17,100,103,106,109,119,107.4,107.8677188,10.5,5.8,5.5,5.1,5.6,6.5,6.658690796
18,110,119,110,100,118,111.4,109.6338594,10.7,6,5.2,5.2,5.6,6.54,6.599345398
19,100,125,116,109,100,110,109.8169297,9.4,5.9,5.4,5.3,5.7,6.34,6.469672699
20,110,97.1,109,118,103,107.42,108.6184649,9.6,6,5.4,5.4,5.8,6.44,6.454836349
21,82.7,75,53.1,60,75,69.16,88.88923243,9.8,6.3,5.8,5.7,6.1,6.74,6.597418175
22,76.6,69.6,100,87.5,63.6,79.46,84.17461621,10,6.5,6.1,5.9,6.3,6.96,6.778709087
23,120,103,90.6,100,96.7,102.06,93.11730811,10.2,6.6,6.2,6.1,6.5,7.12,6.949354544
24,100,119,76.6,74.1,103,94.54,93.82865405,10.3,6.4,6.4,6.2,6.7,7.2,7.074677272
25,90,90.6,112,71.8,71.8,87.24,90.53432703,10.5,5.6,6.5,5.9,5.2,6.74,6.907338636
26,80,75,100,80.6,90.6,85.24,87.88716351,10.7,5.8,6.7,5.5,5.4,6.82,6.863669318
27,93.3,87.5,80.6,83.8,96.8,88.4,88.14358176,10.8,5.9,5.3,5.2,5.5,6.54,6.701834659
28,100,84.3,83.8,61.2,100,85.86,87.00179088,11.1,6.1,5.5,5.4,5.8,6.78,6.740917329
29,100,103,100,100,93.7,99.34,93.17089544,10.2,6.3,5.7,5.6,6,6.76,6.750458665
30,60,96.9,100,96.7,103,91.32,92.24544772,9.6,6.5,5.8,5.7,6.1,6.74,6.745229332
31,77.4,87.5,93.7,90.3,96.9,89.16,90.70272386,9.8,6.7,6.1,6,6.4,7,6.872614666
32,80.6,96.9,83.8,103,103,93.46,92.08136193,9.9,6.8,6.3,6.2,6.6,7.16,7.016307333
33,87,100,109,90.6,66.6,90.64,91.36068096,10.1,7.1,6.4,6.3,6.8,7.34,7.178153667
34,87,96.9,103,100,100,97.38,94.37034048,10.3,7.2,6.6,6.5,7,7.52,7.349076833
35,83.3,90.9,103,96.8,100,94.8,94.58517024,10.5,5.6,6.8,6.7,7.1,7.34,7.344538417
36,90,109,90.6,96.9,100,97.3,95.94258512,10.7,5.7,7,5.9,7.3,7.32,7.332269208
37,109,106,100,112,106,106.6,101.2712926,10.8,5.9,7.1,6,5.4,7.04,7.186134604
38,63.3,87.8,96.8,106,103,91.38,96.32564628,11,6,5.4,6.1,5.6,6.82,7.003067302
39,90,93.9,96.9,96.8,106,96.72,96.52282314,11.2,6.3,5.6,6.3,5.8,7.04,7.021533651
40,87,106,93.9,109,96.9,98.56,97.54141157,10.3,6.5,5.7,6.2,5.9,6.92,6.970766826
41,125,118,106,115,118,116.4,106.9707058,9.6,6.6,5.9,6.3,6.1,6.9,6.935383413
42,113,118,106,127,118,116.4,111.6853529,9.7,6.7,6.1,6.4,6.3,7.04,6.987691706
43,106,120,96.9,127,127,115.38,113.5326764,9.9,6.9,6.3,6.2,6.4,7.14,7.063845853
44,112,127,112,127,103,116.2,114.8663382,10.1,7,6.5,6.3,6.6,7.3,7.181922927
45,103,118,133,121,121,119.2,117.0331691,10.2,6.7,6.5,6.5,6.7,7.32,7.250961463
46,103,115,124,124,114,116,116.5165846,10.4,5.6,6.7,5.6,6.9,7.04,7.145480732
47,113,109,135,106,127,118,117.2582923,10.5,5.8,6.9,5.1,7.1,7.08,7.112740366
48,113,103,96.9,90.9,112,103.16,110.2091461,10.7,5.9,5.3,5.2,5.4,6.5,6.806370183
49,116,112,133,109,115,117,113.6045731,9.8,6.1,5.5,5.4,5.5,6.46,6.633185091
50,113,120,118,109,136,119.2,116.4022865,10,6.3,5.7,5.6,5.7,6.66,6.646592546
51,96.7,121,115,115,118,113.14,114.7711433,10.2,6.4,5.8,5.7,5.8,6.78,6.713296273
52,115,123,111,112,109,114,114.3855716,10.3,6.6,6,5.9,6,6.96,6.836648136
53,123,115,115,115,121,117.8,116.0927858,10.5,6.8,6.2,6.1,6.2,7.16,6.998324068
54,119,118,108,118,118,116.2,116.1463929,10.3,6.9,6.3,6.3,6.3,7.22,7.109162034
55,129,111,105,135,108,117.6,116.8731965,10.5,5.7,6.5,6.4,6.5,7.12,7.114581017
56,116,109,118,118,109,114,115.4365982,10.3,5.6,6.6,5.6,6.7,6.96,7.037290509
57,100,127,112,121,118,115.6,115.5182991,9.5,5.8,5.3,5.7,6.9,6.64,6.838645254
58,100,112,108,121,124,113,114.2591496,9.7,5.9,5.4,5.7,5.9,6.52,6.679322627
59,109,,,,,109,111.6295748,9.8,,,,,9.8,8.239661314
