RECORD,T1,T2,T3,T4,T5,AVG,CPU_EWMA,T1,T2,T3,T4,T5,AVG,MEM_EWMA
1,108,103,94.1,97.4,97,99.9,99.9,8.8,8.8,9.3,8.7,8.9,8.9,8.9
2,119,106,109,88.5,112,106.9,105.15,9,9,9.2,8.9,8.3,8.88,8.885
3,112,96.6,109,162,96.8,115.28,112.7475,9.2,9.2,7.7,8.7,8.1,8.58,8.65625
4,91.1,90.6,106,110,100,99.54,102.841875,9.3,9,6.9,7.3,8.3,8.16,8.2840625
5,109,103,93.5,96.7,100,100.44,101.0404688,8.1,8.9,6.6,7.1,7.8,7.7,7.846015625
6,106,100,103,100,103,102.4,102.0601172,7.5,7.9,6.7,6.5,7.6,7.24,7.391503906
7,106,109,109,106,90.9,104.18,103.6500293,6.9,6.9,6.9,6.6,6.7,6.8,6.947875977
8,90.3,110,71,93.5,87,90.36,93.68250732,6.4,6.6,6.6,6.7,6.6,6.58,6.671968994
9,100,90,103,84.3,125,100.46,98.76562683,6.5,6.7,5.6,6.4,5.7,6.18,6.302992249
10,116,100,129,103,101,109.8,107.0414067,6.7,6.8,5.7,5.8,5.6,6.12,6.165748062
11,100,83.8,106,91.4,100,96.24,98.94035168,6.8,6.7,5.9,5.9,5.1,6.08,6.101437016
12,76.3,109,90.3,112,96.6,96.84,97.36508792,5.5,5.7,5.1,4.7,5.1,5.22,5.440359254
13,100,100,116,106,110,106.4,104.141272,4.8,5.9,4.8,5,5.2,5.14,5.215089813
14,96.8,103,100,93.5,103,99.26,100.480318,4.6,6.1,5.1,5.1,5.2,5.22,5.218772453
15,96.8,96.8,109,106,115,104.72,103.6600795,4.7,4.8,5.2,5.3,5.4,5.08,5.114693113
16,88.2,109,112,118,106,106.64,105.8950199,4.9,4.9,5.4,5.4,5.5,5.22,5.193673278
17,115,121,100,103,100,107.8,107.323755,5,5,5.6,5.6,5.7,5.38,5.33341832
18,93.5,106,80.6,109,77.4,93.3,96.80593874,5.1,5.2,5.7,5.7,5.9,5.52,5.47335458
19,93.5,106,90.3,81.2,70.9,88.38,90.48648469,5.3,5.3,5.8,5.9,5.6,5.58,5.553338645
20,54.8,70.9,58,67.7,48.3,59.94,67.57662117,5.6,5.7,6.1,5.4,5.7,5.7,5.663334661
21,61.2,73.3,62.5,71.8,51.6,64.08,64.95415529,5,5.9,6.1,5.2,6,5.64,5.645833665
