  bash arg: -p
  bash arg: com.instagram.android
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=48ms (0ms mobile, 0ms wifi, 48ms not connected)
Starting up the app... You have 5sec to configure it.
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,108,8.7,54725904,47960960,6764944,13,16,3667664,85372,1129052,1077952832,1388,282,1,0,12,156,1492,80222
2,11091,93.5,8.5,54725904,47960880,6765024,13,16,3667664,124488,1154500,1077952832,1651,320,1,0,12,157,1492,78691
3,13990,96.7,8.5,54725904,47960856,6765048,13,16,3667664,101820,1153776,1077952832,1914,339,1,0,12,157,1492,78532
4,16863,96.6,8.1,54725904,47960828,6765076,13,16,3667664,95832,1136256,1077952832,2159,371,1,0,12,157,1492,75224
5,19722,110,8.2,54725904,47960856,6765048,13,16,3667664,102212,1183308,1077952832,2410,397,1,0,12,157,1492,76147
6,22526,96.8,7.3,54725904,47960696,6765208,13,16,3667664,102352,1189428,1077952832,2688,425,1,0,12,158,1492,67658
7,25502,103,7.1,54725904,47960676,6765228,13,16,3667664,110720,1188784,1077952832,2949,455,1,0,12,159,1492,63596
8,28360,96.6,6.5,54725904,47951892,6774012,13,16,3667664,82168,1125804,1077952832,3203,484,1,0,12,159,1492,61432
9,31250,86.1,6.6,54725904,47932392,6793512,13,16,3667664,96768,1188420,1077952832,3442,507,1,0,12,159,1492,60816
10,34290,90.0,6.7,54725904,47931968,6793936,13,16,3667664,85348,1199836,1077952832,3684,525,1,0,12,158,1492,62000
11,37282,116,6.7,54725904,47931948,6793956,13,16,3667664,88300,1195856,1077952832,3996,554,1,0,12,157,1492,61939
12,40215,103,5.9,54725904,47888916,6836988,13,16,3667664,79732,1170436,1077952832,4265,590,1,0,12,157,1492,54668
13,43166,100,6.0,54725904,47888112,6837792,13,16,3667664,96940,1181924,1077952832,4520,613,1,0,12,157,1492,55312
14,46023,93.7,6.1,54725904,47887336,6838568,13,16,3667664,125656,1211740,1077952832,4785,642,1,0,12,157,1492,56910
15,48943,106,5.3,54725904,47887312,6838592,13,16,3667664,158292,1261980,1077952832,5099,671,1,0,12,155,1492,48848
16,51845,90.3,5.0,54725904,47887300,6838604,13,16,3667664,143024,1238028,1077952832,5373,700,1,0,12,155,1492,46514
17,54737,100,5.1,54725904,47887300,6838604,13,16,3667664,121044,1261188,1077952832,5629,723,1,0,12,155,1492,47962
18,57724,106,5.3,54725904,47979432,6746472,13,16,3667664,99324,1258024,1077952832,5902,753,1,0,12,155,1492,49341
19,60644,87.0,5.3,54725904,47889788,6836116,13,16,3667664,81908,1255264,1077952832,6156,779,1,0,12,155,1492,49601
20,63575,81.8,5.4,54725904,47888592,6837312,13,16,3667664,97108,1203096,1077952832,6389,796,1,0,12,153,1492,50866
21,66524,65.6,5.8,54725904,47888596,6837308,13,16,3667664,84556,1206416,4211008,6591,829,1,0,12,160,1492,54020
22,69453,61.2,6.0,54725904,47888596,6837308,13,16,3667664,107772,1211200,1077952832,6769,844,1,0,12,160,1492,55479
23,72370,93.5,6.5,54725904,47887292,6838612,13,16,3667664,91292,1192196,1077952832,7036,875,1,0,12,160,1492,59682
24,75329,75.0,6.6,54725904,47887288,6838616,13,16,3667664,115732,1248020,1077952832,7300,914,1,0,12,160,1492,61563
25,78318,64.5,5.2,54725904,47887288,6838616,13,16,3667664,135052,1292684,1077952832,7502,953,1,0,12,160,1492,47980
26,81219,90.3,5.3,54725904,47887208,6838696,13,16,3667664,113340,1286108,1077952832,7725,994,1,0,12,160,1492,50001
27,84216,83.8,5.5,54725904,47887204,6838700,13,16,3667664,98780,1248276,1077952832,7950,1027,1,0,12,160,1492,51432
28,87181,87.0,5.7,54725904,47887204,6838700,13,16,3667664,123180,1303348,1077952832,8206,1059,1,0,12,160,1492,52998
29,90185,106,5.9,54725904,47887216,6838688,13,16,3667664,114868,1296996,1077952832,8469,1103,1,0,12,160,1492,54735
