  bash arg: -p
  bash arg: com.instagram.android
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=62ms (0ms mobile, 0ms wifi, 62ms not connected)
Starting up the app... You have 5sec to configure it.
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,103,8.6,54725904,47946332,6779572,13,16,3667664,101112,1171344,1077952832,1411,277,1,1,12,157,1526,79519
2,11098,106,8.7,54725904,47946296,6779608,13,16,3667664,129432,1183776,1077952832,1697,307,1,1,12,157,1526,79873
3,14051,110,8.4,54725904,47946268,6779636,13,16,3667664,92696,1147364,1077952832,1960,335,1,1,12,157,1526,76914
4,16935,103,7.7,54725904,47946132,6779772,13,16,3667664,115116,1197516,1077952832,2232,367,1,1,12,158,1526,70572
5,19897,103,7.3,54725904,47946148,6779756,13,16,3667664,135812,1149440,1077952832,2498,397,1,1,12,159,1526,67233
6,22791,93.7,6.8,54725904,47918168,6807736,13,16,3667664,86376,1127080,1077952832,2770,420,1,1,12,159,1526,62210
7,25827,97.0,6.8,54725904,47917920,6807984,13,16,3667664,133148,1141532,1077952832,3013,453,1,1,12,159,1526,62855
8,28880,113,6.9,54725904,47917564,6808340,13,16,3667664,145016,1197860,1077952832,3300,482,1,1,12,159,1526,65736
9,31860,90.0,7.2,54725904,47917560,6808344,13,16,3667664,133612,1188824,1077952832,3583,515,1,1,12,159,1526,67146
10,34832,80.6,7.2,54725904,47873736,6852168,13,16,3667664,95192,1189060,1077952832,3806,539,1,1,12,157,1526,67100
11,37666,118,7.2,54725904,47873736,6852168,13,16,3667664,120732,1140108,1077952832,4097,558,1,1,12,157,1526,64352
12,40534,109,6.4,54725904,47873736,6852168,13,16,3667664,141792,1190144,1077952832,4389,596,1,1,12,155,1526,59313
13,43447,116,6.5,54725904,47872936,6852968,13,16,3667664,182572,1248140,1077952832,4687,622,1,1,12,155,1526,60887
14,46399,109,6.7,54725904,47872936,6852968,13,16,3667664,179796,1226368,1077952832,4978,653,1,1,12,155,1526,61490
15,49335,100,6.7,54725904,47872928,6852976,13,16,3667664,144928,1246436,1077952832,5242,675,1,1,12,155,1526,61762
16,52285,116,6.7,54725904,47872928,6852976,13,16,3667664,140084,1243276,1077952832,5529,699,1,1,12,155,1526,62228
17,55242,109,5.9,54725904,47875420,6850484,13,16,3667664,133700,1270200,1077952832,5816,734,1,1,12,155,1526,54404
18,58180,90.9,5.8,54725904,47874220,6851684,13,16,3667664,138736,1213288,1077952832,6099,762,1,1,12,155,1526,54244
19,61150,103,6.0,54725904,47874224,6851680,13,16,3667664,134468,1238092,1077952832,6359,789,1,1,12,155,1526,55711
20,64067,90.3,5.6,54725904,47874224,6851680,13,16,3667664,149172,1253036,1077952832,6609,818,1,1,12,153,1526,51789
21,66956,71.8,5.8,54725904,47874220,6851684,13,16,3667664,130100,1226140,4211008,6813,853,1,1,12,160,1526,52877
22,69874,74.1,5.2,54725904,47872916,6852988,13,16,3667664,175932,1260156,1077952832,7010,879,1,1,12,160,1526,50674
23,72830,127,5.6,54725904,47872916,6852988,13,16,3667664,169940,1282828,1077952832,7348,910,1,1,12,160,1526,52290
24,75861,81.2,5.8,54725904,47872916,6852988,13,16,3667664,171728,1280628,1077952832,7608,950,1,1,12,160,1526,53938
25,78834,78.1,5.9,54725904,47872836,6853068,13,16,3667664,167484,1277512,1077952832,7867,993,1,1,12,160,1526,54984
26,81799,84.3,6.2,54725904,47872836,6853068,13,16,3667664,194752,1293828,1077952832,8102,1027,1,1,12,160,1526,57126
27,84799,96.8,6.3,54725904,47872836,6853068,13,16,3667664,186664,1314816,1077952832,8344,1077,1,1,12,160,1526,59804
28,87797,96.8,6.6,54725904,47872836,6853068,13,16,3667664,178120,1306288,1077952832,8588,1133,1,1,12,160,1526,61258
29,90772,96.8,6.8,54725904,47872840,6853064,13,16,3667664,165964,1266344,1077952832,8850,1173,1,1,12,160,1526,63025
30,93817,87.8,6.9,54725904,47872840,6853064,13,16,3667664,159924,1290764,1077952832,9087,1222,1,1,12,160,1526,64417
31,96826,96.9,5.8,54725904,47872840,6853064,13,16,3667664,199640,1330832,1077952832,9362,1279,1,1,12,160,1526,53882
32,99865,103,5.9,54725904,47872840,6853064,13,16,3667664,197228,1328428,1077952832,9631,1327,1,1,12,160,1526,54308
33,102924,90.9,5.9,54725904,47872832,6853072,13,16,3667664,187524,1290276,1077952832,9875,1382,1,1,12,160,1526,54851
34,105957,93.9,6.0,54725904,47872832,6853072,13,16,3667664,184104,1315512,1077952832,10111,1426,1,1,12,160,1526,55497
35,108967,103,6.1,54725904,47872832,6853072,13,16,3667664,178576,1309992,1077952832,10379,1469,1,1,12,160,1526,56624
36,111946,106,6.3,54725904,47872828,6853076,13,16,3667664,170400,1301824,1077952832,10656,1507,1,1,12,160,1526,58360
37,114969,90.9,6.4,54725904,47872828,6853076,13,16,3667664,152412,1248072,1077952832,10926,1536,1,1,12,160,1526,60018
38,117957,87.8,6.6,54725904,47872828,6853076,13,16,3667664,154424,1278668,1077952832,11166,1581,1,1,12,160,1526,61402
39,120977,96.9,6.8,54725904,47872828,6853076,13,16,3667664,147584,1271836,1077952832,11420,1617,1,1,12,160,1526,63577
40,123937,103,7.0,54725904,47872828,6853076,13,16,3667664,139120,1263408,4211008,11695,1660,1,1,12,160,1526,65181
41,127001,106,6.4,54725904,47872824,6853080,13,16,3667664,178244,1274128,1077952832,11990,1706,1,1,12,160,1526,59311
42,130012,121,6.6,54725904,47872824,6853080,13,16,3667664,175180,1299852,1077952832,12280,1747,1,1,12,160,1526,61047
43,133034,133,6.6,54725904,47872824,6853080,13,16,3667664,171024,1296696,1077952832,12592,1788,1,1,12,160,1526,61618
44,136067,136,6.8,54725904,47872820,6853084,13,16,3667664,162352,1288064,1077952832,12925,1817,1,1,12,160,1526,62587
45,139113,118,6.9,54725904,47872820,6853084,13,16,3667664,152032,1249112,1077952832,13230,1848,1,1,12,160,1526,63707
46,142099,117,6.9,54725904,47872820,6853084,13,16,3667664,149524,1275276,1077952832,13562,1886,1,1,12,160,1526,64248
47,145084,115,7.0,54725904,47872816,6853088,13,16,3667664,147748,1273508,1077952832,13873,1926,1,1,12,160,1526,64642
48,148100,127,7.0,54725904,47872808,6853096,13,16,3667664,136428,1233624,1077952832,14189,1960,1,1,12,160,1526,65172
49,151106,115,7.1,54725904,47872808,6853096,13,16,3667664,134336,1260660,1077952832,14501,1994,1,1,12,160,1526,65504
