  bash arg: -p
  bash arg: com.instagram.android
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=77ms (0ms mobile, 0ms wifi, 77ms not connected)
Starting up the app... You have 5sec to configure it.
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,97.0,8.9,54725904,47932044,6793860,13,16,3667664,98480,1151620,1077952832,1263,309,2,0,12,157,1551,78153
2,11151,112,8.3,54725904,47931952,6793952,13,16,3667664,79880,1130140,1077952832,1542,348,2,0,12,157,1551,75426
3,14109,96.8,8.1,54725904,47931976,6793928,13,16,3667664,88796,1201192,1077952832,1808,378,2,0,12,157,1551,74706
4,17068,100,8.3,54725904,47931780,6794124,13,16,3667664,82636,1199876,1077952832,2085,402,2,0,12,157,1551,74826
5,20063,100,7.8,54725904,47931788,6794116,13,16,3667664,121376,1204276,1077952832,2329,428,2,0,12,157,1551,70583
6,22918,103,7.6,54725904,47931736,6794168,13,16,3667664,100836,1204720,4211008,2607,453,2,0,12,157,1551,69428
7,25818,90.9,6.7,54725904,47931576,6794328,13,16,3667664,81368,1156464,1077952832,2861,479,2,0,12,157,1551,61536
8,28776,87.0,6.6,54725904,47931520,6794384,13,16,3667664,83692,1137104,1077952832,3097,492,2,0,12,158,1551,60824
9,31596,125,5.7,54725904,47903536,6822368,13,16,3667664,80388,1129024,1077952832,3335,517,2,0,12,159,1551,53374
10,34453,101,5.6,54725904,47903216,6822688,13,16,3667664,130652,1159700,1077952832,3612,557,2,0,12,155,1551,47539
11,37696,100,5.1,54725904,47902872,6823032,13,16,3667664,185708,1236120,1077952832,3891,582,2,0,12,155,1551,47341
12,40654,96.6,5.1,54725904,47902868,6823036,13,16,3667664,185728,1237416,1077952832,4168,616,2,0,12,155,1551,47724
13,43566,110,5.2,54725904,47859036,6866868,13,16,3667664,138720,1241408,1077952832,4422,638,2,0,12,155,1551,47043
14,46413,103,5.2,54725904,47859036,6866868,13,16,3667664,108888,1211896,1077952832,4682,674,2,0,12,155,1551,48607
15,49283,115,5.4,54725904,47859036,6866868,13,16,3667664,93924,1197112,1077952832,4965,697,2,0,12,155,1551,50077
16,52188,106,5.5,54725904,47858244,6867660,13,16,3667664,176232,1266636,1077952832,5252,725,2,0,12,155,1551,51665
17,55156,100,5.7,54725904,47858240,6867664,13,16,3667664,158900,1256832,1077952832,5538,748,2,0,12,155,1551,53154
18,58111,77.4,5.9,54725904,47858236,6867668,13,16,3667664,125380,1248380,1077952832,5748,770,2,0,12,155,1551,55096
19,61067,70.9,5.6,54725904,47950368,6775536,13,16,3667664,120536,1263364,1077952832,5956,796,2,0,12,162,1551,53098
20,64013,48.3,5.7,54725904,47860732,6865172,13,16,3667664,123220,1282152,1077952832,6083,826,2,0,12,160,1551,53404
21,66894,51.6,6.0,54725904,47859536,6866368,13,16,3667664,102748,1257052,1077952832,6218,848,2,0,12,160,1551,55651
22,69823,56.2,6.1,54725904,47859536,6866368,13,16,3667664,89836,1244316,1077952832,6351,877,2,0,12,160,1551,55906
