  bash arg: -p
  bash arg: com.instagram.android
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=70ms (0ms mobile, 0ms wifi, 70ms not connected)
Starting up the app... You have 5sec to configure it.
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,102,8.8,54725904,47928432,6797472,13,16,3667664,97488,1065420,1077952832,1485,352,2,0,12,157,1502,81664
2,11323,106,8.8,54725904,47928364,6797540,13,16,3667664,90136,1067756,1077952832,1752,382,2,0,12,157,1502,80877
3,14288,143,8.7,54725904,47928328,6797576,13,16,3667664,106456,1100448,1077952832,2054,403,2,0,12,157,1502,76017
4,17377,93.7,8.0,54725904,47931740,6794164,13,16,3667664,84720,1125364,1077952832,2321,428,2,0,12,157,1502,70796
5,20281,93.5,7.6,54725904,47928240,6797664,13,16,3667664,92684,1166728,1077952832,2608,451,2,0,12,157,1502,68431
6,23185,94.4,7.0,54725904,47928188,6797716,13,16,3667664,110912,1162672,1077952832,2890,486,2,0,12,157,1502,63800
7,26174,87.0,6.7,54725904,47928128,6797776,13,16,3667664,109452,1155404,1077952832,3162,506,2,0,12,157,1502,61637
8,29131,90.0,6.8,54725904,47928044,6797860,13,16,3667664,116916,1200004,1077952832,3415,522,2,0,12,157,1502,63228
9,32040,116,6.4,54725904,47927972,6797932,13,16,3667664,74472,1101144,1077952832,3687,547,2,0,12,158,1502,52158
10,34888,118,5.6,54725904,47908576,6817328,13,16,3667664,109364,1102608,1077952832,3983,575,2,0,12,157,1502,49141
11,37859,70.2,5.4,54725904,47899708,6826196,13,16,3667664,95064,1087400,1077952832,4238,607,2,0,12,157,1502,50786
12,40982,100,5.6,54725904,47899328,6826576,13,16,3667664,149696,1185088,1077952832,4518,644,2,0,12,157,1502,53803
13,43935,106,6.0,54725904,47899328,6826576,13,16,3667664,145448,1182960,1077952832,4801,670,2,0,12,157,1502,55481
14,46931,103,6.1,54725904,47856312,6869592,13,16,3667664,115852,1161044,1077952832,5066,692,2,0,12,157,1502,56752
15,49849,109,5.3,54725904,47855504,6870400,13,16,3667664,107548,1182708,1077952832,5343,725,2,0,12,155,1502,49820
16,52807,106,5.5,54725904,47855504,6870400,13,16,3667664,116860,1192468,1077952832,5638,745,2,0,12,155,1502,50825
17,55635,122,5.3,54725904,47854708,6871196,13,16,3667664,158880,1251912,1077952832,5949,772,2,0,12,155,1502,49473
18,58606,100,5.5,54725904,47854696,6871208,13,16,3667664,141520,1208672,1077952832,6222,802,2,0,12,155,1502,50630
19,61569,67.7,5.6,54725904,47854696,6871208,13,16,3667664,91188,1206588,1077952832,6421,833,2,0,12,162,1502,53474
20,64527,66.6,5.9,54725904,47854696,6871208,13,16,3667664,94336,1211404,1077952832,6575,864,2,0,12,161,1502,54364
21,67416,60.0,6.2,54725904,47857180,6868724,13,16,3667664,104452,1235592,1077952832,6728,886,2,0,12,160,1502,58013
22,70333,83.8,6.4,54725904,47855980,6869924,13,16,3667664,105788,1201472,1077952832,6885,918,2,0,12,160,1502,59118
23,73262,67.7,6.6,54725904,47855980,6869924,13,16,3667664,92036,1216492,1077952832,7054,948,2,0,12,160,1502,61282
24,76165,70.9,6.8,54725904,47855980,6869924,13,16,3667664,94352,1205600,1077952832,7225,983,2,0,12,160,1502,62873
25,79061,68.7,7.0,54725904,47854688,6871216,13,16,3667664,117816,1224852,1077952832,7395,1009,2,0,12,160,1502,59096
26,82003,83.8,5.4,54725904,47854680,6871224,13,16,3667664,176516,1265516,1077952832,7618,1054,2,0,12,160,1502,50107
27,84935,61.2,5.6,54725904,47854680,6871224,13,16,3667664,152212,1285052,1077952832,7839,1086,2,0,12,160,1502,51564
28,87817,87.5,5.7,54725904,47854604,6871300,13,16,3667664,126184,1276492,1077952832,8043,1125,2,0,12,160,1502,53682
29,90740,81.2,6.0,54725904,47854600,6871304,13,16,3667664,129296,1243620,1077952832,8277,1167,2,0,12,160,1502,55351
30,93737,93.5,6.1,54725904,47854600,6871304,13,16,3667664,152760,1297380,1077952832,8514,1213,2,0,12,160,1502,56892
31,96733,100,6.3,54725904,47854600,6871304,13,16,3667664,144552,1291580,4211008,8772,1265,2,0,12,160,1502,58329
32,99681,96.8,6.5,54725904,47854600,6871304,13,16,3667664,137384,1284428,1077952832,9026,1307,2,0,12,160,1502,60114
33,102656,84.8,6.7,54725904,47854600,6871304,13,16,3667664,118156,1237320,1077952832,9252,1346,2,0,12,160,1502,62057
34,105623,90.6,6.8,54725904,47854604,6871300,13,16,3667664,112324,1260584,1077952832,9485,1382,2,0,12,160,1502,63891
35,108602,84.3,7.0,54725904,47854604,6871300,13,16,3667664,107352,1255632,1077952832,9703,1418,2,0,12,160,1502,64930
36,111592,90.9,7.2,54725904,47854604,6871300,13,16,3667664,97160,1245468,4211008,9944,1469,2,0,12,160,1502,66948
37,114619,93.7,6.7,54725904,47854604,6871300,13,16,3667664,134456,1288180,1077952832,10198,1511,2,0,12,160,1502,59408
38,117633,93.7,5.5,54725904,47854604,6871300,13,16,3667664,178444,1333068,4211008,10431,1567,2,0,12,160,1502,50833
39,120602,90.6,5.6,54725904,47854604,6871300,13,16,3667664,169232,1324660,1077952832,10683,1604,2,0,12,160,1502,52915
40,123571,125,5.8,54725904,47854600,6871304,13,16,3667664,161252,1317944,1077952832,11025,1636,2,0,12,160,1502,54000
41,126602,128,6.0,54725904,47854596,6871308,13,16,3667664,143816,1275380,4211008,11348,1661,2,0,12,160,1502,55626
42,129587,139,6.2,54725904,47854596,6871308,13,16,3667664,138708,1298944,1077952832,11689,1699,2,0,12,160,1502,57255
43,132540,117,6.3,54725904,47854596,6871308,13,16,3667664,130744,1291012,1077952832,12041,1738,2,0,12,160,1502,58653
44,135612,120,6.5,54725904,47854592,6871312,13,16,3667664,115888,1247604,1077952832,12350,1780,2,0,12,160,1502,60223
45,138599,133,6.6,54725904,47854592,6871312,13,16,3667664,109060,1269440,1077952832,12665,1817,2,0,12,160,1502,61519
46,141576,121,6.8,54725904,47854592,6871312,13,16,3667664,101884,1262272,1077952832,12986,1859,2,0,12,160,1502,63036
47,144653,109,6.2,54725904,47854592,6871312,13,16,3667664,124812,1285208,1077952832,13303,1904,2,0,12,160,1502,53233
48,147692,100,5.9,54725904,47854588,6871316,13,16,3667664,124012,1255836,1077952832,13620,1942,2,0,12,160,1502,51021
49,150741,109,5.7,54725904,47854584,6871320,13,16,3667664,129452,1290100,1077952832,13907,1978,2,0,12,160,1502,52576
50,153690,102,5.8,54725904,47854584,6871320,13,16,3667664,122152,1282808,1077952832,14201,2015,2,0,12,160,1502,54144
51,156670,111,6.0,54725904,47854584,6871320,13,16,3667664,115348,1276192,1077952832,14511,2060,2,0,12,160,1502,55724
52,159704,115,6.2,54725904,47854576,6871328,13,16,3667664,131872,1264688,1077952832,14818,2090,2,0,12,160,1502,57197
53,162696,126,6.3,54725904,47854576,6871328,13,16,3667664,124744,1286436,1077952832,15153,2127,2,0,12,160,1502,58894
54,165683,133,6.5,54725904,47854572,6871332,13,16,3667664,119160,1280888,1077952832,15509,2155,2,0,12,160,1502,60337
55,168705,109,6.7,54725904,47854572,6871332,13,16,3667664,106516,1268652,1077952832,15825,2191,2,0,12,160,1502,61821
56,171737,112,6.8,54725904,47854572,6871332,13,16,3667664,95536,1229056,1077952832,16125,2225,2,0,12,160,1502,63437
57,174718,130,5.9,54725904,47854572,6871332,13,16,3667664,136668,1299916,1077952832,16450,2265,2,0,12,160,1502,54383
58,177722,118,6.0,54725904,47854572,6871332,13,16,3667664,131240,1294496,1077952832,16777,2296,2,0,12,160,1502,55956
