
--------------------------------------------------------------------------------
 	 MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 	 TESTING APPLICATION: mal_comp
--------------------------------------------------------------------------------

Application output directory created at: output/mal_comp
Output will be written to file: output/mal_comp/mal_comp.2020-12-23.191127.csv

Running test script with params: 
	 Application package name: 		 edu.temple.mar_security.mlkit_comp
	 Application local name: 		 mal_comp
	 Run time (milliseconds): 			 180000

  bash arg: -p
  bash arg: edu.temple.mar_security.mlkit_comp
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=35ms (0ms mobile, 0ms wifi, 35ms not connected)

--------------------------------------------------------------------------------

App PID: 27558
Trial start time (ms): 1608768687487

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,112,6.8,54725904,49275988,5449916,10,16,3667668,141684,1403572,1077952832,551,55,0,0,10,26,10832525,70217
2,7736,109,6.1,54725904,49275984,5449920,10,16,3667668,209400,1471732,1077952832,1194,108,0,0,10,26,10832525,57917
3,13770,122,6.4,54725904,49275988,5449916,10,16,3667668,196144,1458040,1077952832,1840,156,0,0,10,29,10832525,60151
4,19765,109,5.9,54725904,49275988,5449916,10,16,3667668,208616,1470532,1077952832,2499,201,0,0,10,29,10832525,59533
5,25782,115,6.7,54725904,49275988,5449916,10,16,3667668,198184,1460124,1077952832,3134,265,0,0,10,29,10832525,56451
6,31862,112,6.3,54725904,49275984,5449920,10,16,3667668,177932,1439928,1077952832,3782,317,0,0,10,31,10832525,61930
7,37921,112,6.5,54725904,49275976,5449928,10,16,3667668,141184,1403248,1077952832,4432,364,0,0,10,31,10832525,72135
8,43953,118,6.5,54725904,49275976,5449928,10,16,3667668,401308,1455744,1077952832,5088,418,0,0,10,31,10832525,53445
9,50013,112,5.3,54725904,49275976,5449928,10,16,3667668,399620,1454080,1077952832,5728,475,0,0,10,32,10832525,59016
10,56082,116,7.5,54725904,49275976,5449928,10,16,3667668,350004,1404512,1077952832,6372,528,0,0,10,32,10832525,65048
11,62133,112,6.4,54725904,49275956,5449948,10,16,3667668,354564,1417044,1077952832,7012,577,0,0,10,33,10832525,52760
12,68156,116,5.4,54725904,49275948,5449956,10,20,3667668,367116,1427984,4211008,7646,640,0,0,10,33,10832525,61612
13,74211,115,6.2,54725904,49275948,5449956,10,20,3667668,329156,1390132,4211008,8291,702,0,0,10,33,10832525,64199
14,80269,106,6.4,54725904,49275948,5449956,10,20,3667668,349812,1410820,1077952832,8918,768,0,0,10,33,10832525,66951
15,86312,109,6.9,54725904,49275944,5449960,10,20,3667668,373028,1434092,1077952832,9550,832,0,0,10,33,10832525,58209
16,92405,121,5.9,54725904,49275944,5449960,10,20,3667668,428848,1489928,1077952832,10186,894,0,0,10,33,10832525,41052
17,98415,116,6.3,54725904,49275944,5449960,10,20,3667668,360660,1420052,4211008,10822,954,0,0,10,33,10832525,49006
18,104389,116,6.6,54725904,49275944,5449960,10,20,3667668,383276,1442768,1077952832,11446,1018,0,0,10,33,10832525,57829
19,110375,115,5.9,54725904,49275944,5449960,10,20,3667668,353432,1413056,1077952832,12078,1076,0,0,10,34,10832525,69449
20,116355,129,6.0,54725904,49275944,5449960,10,20,3667668,401388,1461024,1077952832,12728,1129,0,0,10,34,10832525,49734
21,122385,112,6.9,54725904,49275944,5449960,10,20,3667668,321412,1381084,1077952832,13370,1182,0,0,10,34,10832525,63694
22,128351,112,5.6,54725904,49275944,5449960,10,20,3667668,343876,1403624,1077952832,14022,1213,0,0,10,34,10832525,58429
23,134365,125,7.6,54725904,49275940,5449964,10,24,3667668,331704,1387936,1077952832,14663,1259,0,0,10,34,10832525,64043
24,140346,112,5.8,54725904,49275940,5449964,10,24,3667668,366508,1419352,1077952832,15304,1302,0,0,10,34,10832525,59344
25,146310,112,6.3,54725904,49275940,5449964,10,24,3667668,356232,1409168,1077952832,15944,1348,0,0,10,36,10832525,59318
26,152367,109,7.7,54725904,49275936,5449968,10,24,3667668,296704,1349684,1077952832,16592,1397,0,0,10,36,10832525,66767
27,158404,112,6.5,54725904,49275940,5449964,10,24,3667668,374608,1427632,1077952832,17239,1441,0,0,10,36,10832525,55446
28,164454,109,6.5,54725904,49275940,5449964,10,24,3667668,373140,1426236,1077952832,17884,1494,0,0,10,36,10832525,57448
29,170498,112,6.6,54725904,49275940,5449964,10,24,3667668,351424,1404624,1077952832,18522,1540,0,0,10,36,10832525,51568
30,176474,125,6.7,54725904,49275940,5449964,10,24,3667668,346372,1399688,1077952832,19185,1571,0,0,10,37,10832525,62716

--------------------------------------------------------------------------------
 	 APPLICATION TESTING TRIAL COMPLETE
--------------------------------------------------------------------------------
Output available: output/mal_comp/mal_comp.2020-12-23.191127.csv
--------------------------------------------------------------------------------

