
--------------------------------------------------------------------------------
 	 MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 	 TESTING APPLICATION: mal_orth
--------------------------------------------------------------------------------

Application output directory created at: output/mal_orth
Output will be written to file: output/mal_orth/mal_orth.2020-12-23.191448.csv

Running test script with params: 
	 Application package name: 		 edu.temple.mar_security.mlkit_orth
	 Application local name: 		 mal_orth
	 Run time (milliseconds): 			 180000

  bash arg: -p
  bash arg: edu.temple.mar_security.mlkit_orth
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=49ms (0ms mobile, 0ms wifi, 49ms not connected)

--------------------------------------------------------------------------------

App PID: 28354
Trial start time (ms): 1608768888446

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,112,3.8,54725904,49276020,5449884,10,20,3667668,151180,1410164,1077952832,751,69,0,0,10,47,10852653,34570
2,8104,112,3.3,54725904,49276004,5449900,10,20,3667668,385164,1406236,1077952832,1638,143,0,0,10,47,10852653,35978
3,14096,102,5.2,54725904,49275984,5449920,10,20,3667668,369288,1377888,1077952832,2532,205,0,0,10,47,10852653,39070
4,20205,109,5.4,54725904,49275960,5449944,10,20,3667668,379312,1388008,1077952832,3430,266,0,0,10,49,10852653,44882
5,26222,193,3.2,54725904,49275944,5449960,10,20,3667668,384264,1393000,1077952832,4302,330,0,0,10,49,10852653,35047
6,32234,203,4.9,54725904,49275912,5449992,10,20,3667668,447676,1456504,1077952832,5201,416,0,0,10,49,10852653,32094
7,38292,200,6.4,54725904,49275892,5450012,10,20,3667668,386056,1396296,1077952832,6031,485,0,0,10,49,10852653,63229
8,44232,178,5.9,54725904,49275860,5450044,10,20,3667668,365832,1376172,4211008,6878,550,0,0,10,49,10852653,60804
9,50246,193,3.7,54725904,49275840,5450064,10,20,3667668,438112,1448268,1077952832,7722,618,0,0,10,52,10852653,45615
10,56272,119,6.8,54725904,49275820,5450084,10,20,3667668,442000,1452496,1077952832,8586,687,0,0,10,52,10852653,50851
11,62275,115,5.0,54725904,49275784,5450120,10,20,3667668,440540,1451220,1077952832,9472,740,0,0,10,52,10852653,52235
12,68294,184,5.7,54725904,49275752,5450152,10,24,3667668,435144,1445952,1077952832,10334,797,0,0,10,52,10852653,53360
13,74204,203,7.6,54725904,49275736,5450168,10,24,3667668,417024,1427884,1077952832,11185,870,0,0,10,52,10852653,60488
14,80199,109,5.0,54725904,49275712,5450192,10,24,3667668,444064,1454992,1077952832,12044,943,0,0,10,54,10852653,61811
15,86261,229,6.3,54725904,49275692,5450212,10,24,3667668,428056,1439052,1077952832,12920,1005,0,0,10,54,10852653,59430
16,92293,106,5.9,54725904,49275664,5450240,10,24,3667668,461436,1472512,1077952832,13820,1064,0,0,10,54,10852653,53914
17,98319,216,5.7,54725904,49275644,5450260,10,24,3667668,447100,1458252,1077952832,14694,1138,0,0,10,54,10852653,53600
18,104375,131,6.7,54725904,49275612,5450292,10,24,3667668,432656,1442160,1077952832,15537,1187,0,0,10,54,10852653,57965
19,110438,125,7.1,54725904,49275592,5450312,10,24,3667668,358564,1368132,1077952832,16381,1268,0,0,10,54,10852653,64155
20,116507,190,6.9,54725904,49275572,5450332,10,24,3667668,377312,1387080,1077952832,17232,1327,0,0,10,54,10852653,67442
21,122605,215,5.0,54725904,49275544,5450360,10,24,3667668,408184,1418156,4211008,18151,1402,0,0,10,54,10852653,49668
22,128719,219,4.2,54725904,49275524,5450380,10,24,3667668,387388,1397424,1077952832,19097,1477,0,0,10,54,10852653,44778
23,134768,119,5.7,54725904,49275500,5450404,10,28,3667668,370832,1380936,1077952832,20081,1554,0,0,10,55,10852653,36484
24,140775,112,4.6,54725904,49275480,5450424,10,28,3667668,362724,1373076,1077952832,21028,1623,0,0,10,55,10852653,20148
25,146778,203,4.3,54725904,49275456,5450448,10,28,3667668,392104,1402548,1077952832,21937,1685,0,0,10,55,10852653,43608
26,152785,212,4.4,54725904,49275436,5450468,10,28,3667668,387544,1398064,1077952832,22886,1745,0,0,10,55,10852653,53020
27,158791,115,4.0,54725904,49275408,5450496,10,28,3667668,408052,1418632,1077952832,23911,1807,0,0,10,56,10852653,40958
28,164818,106,4.6,54725904,49275388,5450516,10,32,3667668,450052,1460676,1077952832,24828,1884,0,0,10,56,10852653,42839
29,170832,106,3.3,54725904,49275368,5450536,10,32,3667668,411476,1422300,1077952832,25725,1957,0,0,10,56,10852653,40293
30,176874,106,3.9,54725904,49275352,5450552,10,32,3667668,422512,1433416,4211008,26675,2011,0,0,10,56,10852653,37017

--------------------------------------------------------------------------------
 	 APPLICATION TESTING TRIAL COMPLETE
--------------------------------------------------------------------------------
Output available: output/mal_orth/mal_orth.2020-12-23.191448.csv
--------------------------------------------------------------------------------

