  bash arg: -p
  bash arg: com.snapchat.android
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=50ms (0ms mobile, 0ms wifi, 50ms not connected)
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,16.6,13.7,54725904,48781648,5944256,11,8,3667664,170728,1244788,1077952832,1253,358,0,0,10,139,75525,126112
2,7501,100,13.9,54725904,48781668,5944236,11,8,3667664,115864,886764,1077952832,1487,405,0,0,10,140,75525,127554
3,10420,123,13.7,54725904,48781664,5944240,11,8,3667664,152020,872112,1077952832,1738,444,0,0,10,141,75525,124214
4,13314,93.3,13.3,54725904,48781664,5944240,11,8,3667664,191428,864308,1077952832,1964,474,0,0,10,141,75525,121587
5,16259,93.5,13.5,54725904,48781664,5944240,11,8,3667664,185448,887116,1077952832,2214,518,0,0,10,141,75525,123884
6,19246,90.3,13.3,54725904,48781664,5944240,11,8,3667664,179936,881612,1077952832,2478,553,0,0,10,141,75525,121707
7,22195,77.4,14.1,54725904,48781664,5944240,11,8,3667664,165708,838964,1077952832,2708,599,0,0,10,141,75525,129510
8,25120,87.0,14.3,54725904,48781660,5944244,11,8,3667664,178444,880372,1077952832,2938,637,0,0,10,142,75525,130732
9,28018,93.3,14.1,54725904,48781660,5944244,11,8,3667664,173888,875836,1077952832,3190,673,0,0,10,142,75525,129234
10,30980,93.5,13.9,54725904,48781660,5944244,11,8,3667664,168896,870844,1077952832,3447,711,0,0,10,142,75525,132709
11,33973,87.0,14.9,54725904,48781660,5944244,11,8,3667664,156548,829932,1077952832,3668,747,0,0,10,142,75525,136271
12,36868,96.6,14.7,54725904,48781660,5944244,11,8,3667664,149848,852132,1077952832,3915,781,0,0,10,142,75525,134624
13,39839,83.8,14.4,54725904,48781660,5944244,11,8,3667664,154168,856460,1077952832,4174,823,0,0,10,142,75525,130940
14,42828,93.3,13.9,54725904,48781660,5944244,11,8,3667664,187948,890240,1077952832,4426,863,0,0,10,142,75525,127560
