  bash arg: -p
  bash arg: com.snapchat.android
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=44ms (0ms mobile, 0ms wifi, 44ms not connected)
Starting up the app... You have 5sec to configure it.
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,68.7,8.6,54725904,48214360,6511544,12,8,3667664,116040,1141012,1077952832,1270,376,0,0,16,134,1479,79557
2,11034,106,8.5,54725904,48214536,6511368,12,8,3667664,132928,1123672,1077952832,1530,416,0,0,16,133,1479,77942
3,14031,54.8,8.8,54725904,48216100,6509804,12,8,3667664,133716,1133328,1077952832,1682,438,0,0,16,133,1479,80683
4,16954,59.3,8.7,54725904,48215296,6510608,12,8,3667664,146500,1159160,1077952832,1837,463,0,0,16,133,1479,79196
5,19853,54.8,9.0,54725904,48214508,6511396,12,8,3667664,146784,1160148,1077952832,1984,489,0,0,16,133,1479,82153
6,22760,93.7,8.9,54725904,48214500,6511404,12,8,3667664,129716,1160772,1077952832,2240,524,0,0,16,133,1479,81252
7,25784,54.8,9.3,54725904,48214496,6511408,12,8,3667664,123488,1154776,1077952832,2433,553,0,0,16,134,1479,85172
8,28727,87.0,8.2,54725904,48214492,6511412,12,8,3667664,144240,1214344,1077952832,2604,579,0,0,16,134,1479,73911
9,31618,70.0,8.7,54725904,48295408,6430496,12,8,3667664,124844,1219960,1077952832,2755,597,0,0,16,134,1479,76851
10,34516,54.8,7.9,54725904,48215784,6510120,12,8,3667664,127344,1241176,1077952832,2887,628,0,0,16,134,1479,72849
11,37452,54.8,8.3,54725904,48215788,6510116,12,8,3667664,121096,1194348,1077952832,3046,651,0,0,16,134,1479,75826
12,40366,62.5,8.0,54725904,48215788,6510116,12,8,3667664,101636,1203848,1077952832,3214,672,0,0,16,134,1479,73521
13,43320,74.1,9.3,54725904,48215788,6510116,12,8,3667664,101324,1200636,1077952832,3377,696,0,0,16,134,1479,83589
14,46252,80.6,8.8,54725904,48214488,6511416,12,8,3667664,120648,1238072,1077952832,3557,720,0,0,16,134,1479,81141
15,49186,77.4,9.4,54725904,48214488,6511416,12,8,3667664,110156,1201972,1077952832,3784,743,0,0,16,134,1479,86023
16,52085,51.6,9.0,54725904,48214420,6511484,12,8,3667664,112680,1236624,1077952832,3960,774,0,0,16,134,1479,82404
17,55020,90.6,9.5,54725904,48214400,6511504,12,8,3667664,112548,1231948,1077952832,4201,804,0,0,16,134,1479,87262
18,57997,71.8,9.3,54725904,48214400,6511504,12,8,3667664,124884,1208488,1077952832,4414,836,0,0,16,134,1479,83679
19,60983,87.0,9.0,54725904,48214400,6511504,12,8,3667664,117708,1230992,1077952832,4657,866,0,0,16,126,1479,81205
