  bash arg: -p
  bash arg: com.snapchat.android
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=59ms (0ms mobile, 0ms wifi, 59ms not connected)
Starting up the app... You have 5sec to configure it.
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,90.6,13.2,54725904,48214980,6510924,12,8,3667664,121512,1000808,1077952832,1323,423,0,0,16,134,1496,121631
2,11314,109,13.0,54725904,48214980,6510924,12,8,3667664,113400,1023096,1077952832,1595,474,0,0,16,134,1496,119258
3,14297,119,13.6,54725904,48214980,6510924,12,8,3667664,147264,1018992,1077952832,1844,513,0,0,16,134,1496,124866
4,17241,90.6,13.4,54725904,48214980,6510924,12,8,3667664,135984,988772,1077952832,2072,557,0,0,16,135,1496,122581
5,20168,93.3,13.7,54725904,48214980,6510924,12,8,3667664,130584,1012528,1077952832,2289,607,0,0,16,135,1496,125529
6,23070,119,13.4,54725904,48214980,6510924,12,8,3667664,142244,1016672,1077952832,2532,656,0,0,16,135,1496,124304
7,26003,90.6,13.0,54725904,48214980,6510924,12,8,3667664,155800,1030944,1077952832,2768,701,0,0,16,135,1496,119123
8,28933,90.3,12.8,54725904,48214976,6510928,12,8,3667664,144872,996268,1077952832,2996,737,0,0,16,135,1496,117089
9,31903,83.3,12.6,54725904,48214976,6510928,12,8,3667664,137904,1019508,1077952832,3238,771,0,0,16,135,1496,125317
10,34889,93.5,13.5,54725904,48214980,6510924,12,8,3667664,135152,1017016,1077952832,3461,808,0,0,16,135,1496,124146
11,37890,83.8,13.4,54725904,48214980,6510924,12,8,3667664,133492,1015540,1077952832,3685,835,0,0,16,135,1496,122870
12,40822,83.3,13.7,54725904,48214972,6510932,12,8,3667664,127828,977928,1077952832,3909,871,0,0,16,135,1496,125309
13,43732,100,13.4,54725904,48214972,6510932,12,8,3667664,140164,1006696,1077952832,4147,899,0,0,16,135,1496,127404
14,46648,90.3,14.1,54725904,48214972,6510932,12,8,3667664,134620,1001160,1077952832,4391,929,0,0,16,135,1496,129362
15,49615,51.6,13.9,54725904,48214968,6510936,12,8,3667664,131800,988756,1077952832,4616,964,0,0,16,136,1496,127167
16,52548,76.6,14.6,54725904,48214968,6510936,12,8,3667664,129940,953048,1077952832,4843,997,0,0,16,136,1496,133531
17,55507,75.7,14.3,54725904,48214968,6510936,12,8,3667664,124960,976848,1077952832,5080,1040,0,0,16,136,1496,131241
18,58520,83.8,14.1,54725904,48214968,6510936,12,8,3667664,118936,970948,1077952832,5318,1091,0,0,16,136,1496,135126
19,61483,83.3,13.7,54725904,48214956,6510948,12,8,3667664,151408,977348,1077952832,5536,1130,0,0,16,128,1496,120506
20,64471,83.3,13.2,54725904,48214956,6510948,12,8,3667664,163568,1019052,1077952832,5740,1176,0,0,16,127,1496,120639
21,67453,70.9,13.4,54725904,48214956,6510948,12,8,3667664,154268,1011852,1077952832,5942,1215,0,0,16,127,1496,122722
22,70474,166,13.5,54725904,48214956,6510948,12,8,3667664,147188,1005644,1077952832,6229,1349,0,0,16,130,1496,124159
