  bash arg: -p
  bash arg: com.snapchat.android
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=43ms (0ms mobile, 0ms wifi, 43ms not connected)
Starting up the app... You have 5sec to configure it.
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,80.0,9.0,54725904,48250488,6475416,12,8,3667664,106928,1079052,1077952832,1186,378,0,0,16,132,1491,82275
2,10936,50.0,8.8,54725904,48250372,6475532,12,8,3667664,106048,1103344,1077952832,1339,402,0,0,16,131,1491,80345
3,13983,61.2,8.3,54725904,48250332,6475572,12,8,3667664,112724,1119820,1077952832,1498,431,0,0,16,131,1491,74050
4,16928,56.2,7.6,54725904,48250216,6475688,12,8,3667664,97228,1048232,1077952832,1650,450,0,0,16,131,1491,69500
5,19868,64.5,6.9,54725904,48250108,6475796,12,8,3667664,110820,1116876,1077952832,1825,469,0,0,16,131,1491,61972
6,22791,93.5,6.0,54725904,48249988,6475916,12,8,3667664,93736,1107992,1077952832,2005,505,0,0,16,131,1491,54195
7,25655,76.6,5.7,54725904,48249920,6475984,12,8,3667664,98088,1133964,1077952832,2178,532,0,0,16,131,1491,50982
8,28561,70.0,5.2,54725904,48249888,6476016,12,8,3667664,98312,1107448,1077952832,2339,557,0,0,16,131,1491,46948
9,31429,83.8,5.0,54725904,48249760,6476144,12,8,3667664,149392,1179992,1077952832,2517,579,0,0,16,131,1491,51804
10,34399,56.6,5.4,54725904,48249756,6476148,12,8,3667664,120216,1167628,1077952832,2708,602,0,0,16,131,1491,49882
11,37305,45.1,5.6,54725904,48221764,6504140,12,8,3667664,109032,1096664,1077952832,2809,631,0,0,16,131,1491,51530
12,40210,70.2,5.8,54725904,48221196,6504708,12,8,3667664,108688,1134604,1077952832,2945,655,0,0,16,131,1491,52662
13,43289,60.0,5.5,54725904,48221088,6504816,12,8,3667664,120908,1124912,1077952832,3102,677,0,0,16,131,1491,51510
14,46215,54.8,6.4,54725904,48256280,6469624,12,8,3667664,107356,1113404,1077952832,3300,710,0,0,16,131,1491,58014
15,49153,60.0,6.0,54725904,48221872,6504032,12,8,3667664,84232,1086044,1077952832,3430,732,0,0,16,131,1491,54814
16,52029,61.2,6.1,54725904,48221872,6504032,12,8,3667664,88580,1083680,1077952832,3579,757,0,0,16,131,1491,56162
17,54913,106,6.4,54725904,48221076,6504828,12,8,3667664,126676,1126452,1077952832,3784,791,0,0,16,131,1491,56081
18,57810,83.3,6.0,54725904,48221072,6504832,12,8,3667664,150508,1150644,1077952832,4004,829,0,0,16,131,1491,54525
19,60747,56.6,5.8,54725904,48221068,6504836,12,8,3667664,117500,1135920,1077952832,4163,849,0,0,16,126,1491,48652
20,63694,56.6,5.5,54725904,48221068,6504836,12,8,3667664,124884,1178560,1077952832,4311,874,0,0,16,125,1491,50236
21,66638,45.1,4.8,54725904,48223560,6502344,12,8,3667664,136652,1201476,1077952832,4424,893,0,0,16,124,1491,44434
22,69560,135,4.6,54725904,48222360,6503544,12,8,3667664,121148,1173712,1077952832,4569,944,0,0,16,127,1491,43668
23,72462,147,5.7,54725904,48222360,6503544,12,8,3667664,101000,1183308,1077952832,4812,1136,0,0,16,126,1491,53150
24,75391,159,5.7,54725904,48222360,6503544,12,8,3667664,85132,1169224,1077952832,5083,1310,0,0,16,126,1491,53084
25,78354,158,5.8,54725904,48222360,6503544,12,8,3667664,96728,1176048,1077952832,5364,1468,0,0,16,126,1491,53241
26,81262,156,5.5,54725904,48221060,6504844,12,8,3667664,118240,1173436,1077952832,5631,1650,0,0,16,126,1491,55145
