  bash arg: -p
  bash arg: com.snapchat.android
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=57ms (0ms mobile, 0ms wifi, 57ms not connected)
Starting up the app... You have 5sec to configure it.
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,131,9.9,54725904,48756712,5969192,11,8,3667664,100028,1168744,1077952832,1211,416,0,0,16,141,1479,90546
2,11251,77.4,9.2,54725904,48756600,5969304,11,8,3667664,138008,1157188,1077952832,1350,457,0,0,16,135,1479,85343
3,14203,63.3,9.1,54725904,48756548,5969356,11,8,3667664,110784,1137004,1077952832,1535,487,0,0,16,135,1479,82979
4,17010,65.6,8.5,54725904,48756540,5969364,11,8,3667664,135340,1134100,1077952832,1739,514,0,0,16,135,1479,81541
5,19974,58.0,8.7,54725904,48756416,5969488,11,8,3667664,125004,1083056,1077952832,1904,543,0,0,16,135,1479,79500
6,22890,60.6,8.0,54725904,48756356,5969548,11,8,3667664,98372,1084568,1077952832,2067,577,0,0,16,135,1479,71689
7,25763,82.8,8.1,54725904,48728208,5997696,11,8,3667664,97568,1058036,1077952832,2220,607,0,0,16,135,1479,73075
8,28715,80.6,7.0,54725904,48727836,5998068,11,8,3667664,124000,1090908,1077952832,2384,639,0,0,16,135,1479,64584
9,31678,77.4,6.9,54725904,48727828,5998076,11,8,3667664,113568,1111372,1077952832,2612,662,0,0,16,135,1479,64027
10,34643,67.7,6.6,54725904,48727824,5998080,11,8,3667664,115664,1114832,1077952832,2772,692,0,0,16,135,1479,60762
11,37588,70.0,6.5,54725904,48727784,5998120,11,8,3667664,89352,1096732,1077952832,2926,724,0,0,16,135,1479,60090
12,40492,80.6,7.5,54725904,48727760,5998144,11,8,3667664,111064,1094464,1077952832,3118,753,0,0,16,135,1479,68648
13,43468,59.3,7.4,54725904,48727760,5998144,11,8,3667664,123144,1135352,1077952832,3328,779,0,0,16,135,1479,68894
14,46458,96.9,7.4,54725904,48727760,5998144,11,8,3667664,128208,1141840,1077952832,3528,815,0,0,16,135,1479,68354
15,49493,83.8,7.9,54725904,48727756,5998148,11,8,3667664,122608,1138508,1077952832,3768,862,0,0,16,135,1479,72331
16,52463,51.6,7.8,54725904,48727380,5998524,11,8,3667664,89004,1078768,1077952832,3920,885,0,0,16,135,1479,70339
17,55385,103,7.6,54725904,48727352,5998552,11,8,3667664,98648,1113872,1077952832,4154,924,0,0,16,135,1479,74725
18,58359,62.5,7.8,54725904,48727352,5998552,11,8,3667664,94924,1108900,1077952832,4376,962,0,0,16,135,1479,69116
19,61357,70.9,6.6,54725904,48727360,5998544,11,8,3667664,136204,1154280,1077952832,4571,992,0,0,16,129,1479,61474
20,64354,87.0,7.1,54725904,48727360,5998544,11,8,3667664,129304,1119388,1077952832,4790,1024,0,0,16,128,1479,64701
21,67331,60.0,6.6,54725904,48729852,5996052,11,8,3667664,128588,1158744,1077952832,4949,1046,0,0,16,127,1479,60760
22,70201,54.8,6.5,54725904,48728656,5997248,11,8,3667664,112148,1140632,1077952832,5077,1069,0,0,16,127,1479,60348
23,73091,130,7.2,54725904,48728656,5997248,11,8,3667664,107368,1137148,1077952832,5263,1146,0,0,16,128,1479,67411
24,76068,150,7.3,54725904,48728652,5997252,11,8,3667664,91440,1078048,1077952832,5540,1337,0,0,16,129,1479,66977
25,79099,157,7.2,54725904,48728644,5997260,11,8,3667664,88772,1098616,1077952832,5825,1512,0,0,16,129,1479,66307
26,82090,150,7.6,54725904,48727348,5998556,11,8,3667664,148696,1180660,1077952832,6093,1709,0,0,16,129,1479,70092
27,85045,162,7.6,54725904,48727344,5998560,11,8,3667664,162812,1197936,1077952832,6395,1877,0,0,16,129,1479,69570
28,87999,154,7.4,54725904,48727260,5998644,11,8,3667664,137676,1167440,1077952832,6695,2033,0,0,16,129,1479,68173
29,90973,171,7.4,54725904,48727256,5998648,11,8,3667664,131164,1189984,1077952832,7004,2212,0,0,16,129,1479,68345
30,93959,171,7.4,54725904,48727256,5998648,11,8,3667664,130500,1194892,1077952832,7333,2388,0,0,16,129,1479,68181
31,96957,154,7.3,54725904,48727256,5998648,11,8,3667664,129612,1154484,1077952832,7654,2562,0,0,16,129,1479,67116
32,99952,161,8.5,54725904,48727256,5998648,11,8,3667664,127448,1181004,1077952832,7948,2741,0,0,16,128,1479,78475
33,102856,168,8.4,54725904,48727256,5998648,11,8,3667664,120256,1173872,1077952832,8255,2925,0,0,16,130,1479,77366
34,105832,165,8.3,54725904,48727256,5998648,11,8,3667664,114936,1168700,1077952832,8569,3108,0,0,16,129,1479,76829
