  bash arg: -p
  bash arg: com.snapchat.android
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=40ms (0ms mobile, 0ms wifi, 40ms not connected)
Starting up the app... You have 5sec to configure it.
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,96.7,13.4,54725904,48752008,5973896,11,8,3667664,104312,921888,1077952832,1192,466,0,0,16,133,1454,123452
2,11030,90.3,13.2,54725904,48752012,5973892,11,8,3667664,105300,963576,1077952832,1441,496,0,0,16,133,1454,120455
3,13949,70.9,13.0,54725904,48752012,5973892,11,8,3667664,135700,966520,1077952832,1612,534,0,0,16,133,1454,122968
4,16929,71.8,13.4,54725904,48752012,5973892,11,8,3667664,133304,935912,1077952832,1840,568,0,0,16,133,1454,122314
5,19865,62.5,13.2,54725904,48752012,5973892,11,8,3667664,131612,957524,1077952832,2046,602,0,0,16,133,1454,121591
6,22908,90.3,13.6,54725904,48751984,5973920,11,8,3667664,133504,965348,1077952832,2245,636,0,0,16,133,1454,125384
7,25834,77.4,13.7,54725904,48751984,5973920,11,8,3667664,121628,954448,1077952832,2493,674,0,0,16,133,1454,126205
8,28783,54.8,13.6,54725904,48751940,5973964,11,8,3667664,133408,931268,1077952832,2654,708,0,0,16,133,1454,126021
9,31777,93.5,14.1,54725904,48751940,5973964,11,8,3667664,125576,952612,1077952832,2890,747,0,0,16,133,1454,129071
10,34704,51.6,14.0,54725904,48821736,5904168,11,8,3667664,101680,950352,1077952832,3082,778,0,0,16,133,1454,128440
11,37669,45.1,14.0,54725904,48753236,5972668,11,8,3667664,102948,955328,1077952832,3202,799,0,0,16,133,1454,132031
12,40563,75.0,14.1,54725904,48753228,5972676,11,8,3667664,127872,931728,1077952832,3368,822,0,0,16,133,1454,124944
13,43461,62.5,13.0,54725904,48753232,5972672,11,8,3667664,155212,988692,1077952832,3522,841,0,0,16,133,1454,119559
14,46329,61.2,13.1,54725904,48753232,5972672,11,8,3667664,134688,968648,1077952832,3680,860,0,0,16,133,1454,120425
15,49203,51.6,13.0,54725904,48751936,5973968,11,8,3667664,109416,981700,1077952832,3840,879,0,0,16,133,1454,119399
16,52104,78.1,12.9,54725904,48751920,5973984,11,8,3667664,106816,964976,1077952832,4055,912,0,0,16,133,1454,119091
17,55082,67.7,13.3,54725904,48751840,5974064,11,8,3667664,85084,996880,1077952832,4226,946,0,0,16,133,1454,122158
18,58040,93.7,13.3,54725904,48751840,5974064,11,8,3667664,84768,994476,1077952832,4474,974,0,0,16,133,1454,122068
19,61019,74.1,13.7,54725904,48751836,5974068,11,8,3667664,80008,987900,1077952832,4695,1015,0,0,16,126,1454,126073
20,63970,71.8,13.6,54725904,48751836,5974068,11,8,3667664,79220,950188,1077952832,4912,1046,0,0,16,125,1454,125075
21,66968,74.1,13.5,54725904,48751836,5974068,11,8,3667664,81592,976680,1077952832,5129,1082,0,0,16,125,1454,124560
22,69984,164,13.9,54725904,48751836,5974068,11,8,3667664,81748,973024,1077952832,5409,1210,0,0,16,127,1454,128045
23,72892,157,13.9,54725904,48751836,5974068,11,8,3667664,84420,968032,1077952832,5710,1387,0,0,16,128,1454,130657
24,75874,162,14.2,54725904,48751836,5974068,11,8,3667664,101444,989684,1077952832,6013,1574,0,0,16,127,1454,130589
25,78863,159,14.2,54725904,48751836,5974068,11,8,3667664,100172,987760,1077952832,6307,1767,0,0,16,127,1454,131059
26,81818,158,14.2,54725904,48751836,5974068,11,8,3667664,82468,965924,1077952832,6588,1950,0,0,16,127,1454,130673
27,84740,164,14.2,54725904,48751836,5974068,11,8,3667664,74440,927032,1077952832,6893,2115,0,0,16,127,1454,131297
28,87673,164,14.7,54725904,48751836,5974068,11,8,3667664,78200,953108,1077952832,7191,2291,0,0,16,127,1454,135051
29,90644,158,14.7,54725904,48751836,5974068,11,8,3667664,82084,949760,1077952832,7477,2484,0,0,16,127,1454,135684
30,93614,160,14.8,54725904,48751836,5974068,11,8,3667664,84176,944420,1077952832,7786,2671,0,0,16,128,1454,136154
31,96635,154,14.8,54725904,48751836,5974068,11,8,3667664,89032,912520,1077952832,8064,2857,0,0,16,128,1454,136054
32,99581,169,14.8,54725904,48751836,5974068,11,8,3667664,83312,935464,1077952832,8381,3032,0,0,16,129,1454,136112
33,102600,180,15.1,54725904,48751836,5974068,11,8,3667664,81176,930716,1077952832,8694,3225,0,0,16,129,1454,139320
34,105580,161,15.2,54725904,48751836,5974068,11,8,3667664,82584,925540,1077952832,8989,3413,0,0,16,129,1454,139602
35,108516,170,15.1,54725904,48751836,5974068,11,8,3667664,81108,883796,1077952832,9273,3592,0,0,16,130,1454,139321
36,111465,168,15.2,54725904,48751836,5974068,11,8,3667664,82524,908700,1077952832,9598,3766,0,0,16,129,1454,139577
37,114399,163,15.7,54725904,48751836,5974068,11,8,3667664,80636,904044,1077952832,9907,3955,0,0,16,129,1454,144232
38,117396,166,15.7,54725904,48751836,5974068,11,8,3667664,81552,892012,1077952832,10225,4129,0,0,16,129,1454,144361
39,120393,167,15.5,54725904,48751816,5974088,11,8,3667664,93012,861088,1077952832,10515,4325,0,0,16,129,1454,142868
40,123357,163,15.5,54725904,48751816,5974088,11,8,3667664,110752,907492,1077952832,10816,4520,0,0,16,129,1454,147241
41,126382,162,16.0,54725904,48751816,5974088,11,8,3667664,104584,901332,1077952832,11135,4692,0,0,16,128,1454,147559
42,129361,93.7,15.7,54725904,48751824,5974080,11,8,3667664,139656,936448,1077952832,11427,4808,0,0,16,125,1454,134595
43,132381,96.8,14.1,54725904,48751824,5974080,11,8,3667664,224596,994264,1077952832,11645,4851,0,0,16,125,1454,112625
44,135358,87.5,12.2,54725904,48751824,5974080,11,8,3667664,219692,1018032,1077952832,11877,4893,0,0,16,125,1454,112748
45,138318,103,12.2,54725904,48751824,5974080,11,8,3667664,213256,1011604,1077952832,12130,4924,0,0,16,125,1454,112153
46,141331,64.5,12.1,54725904,48751824,5974080,11,8,3667664,209264,979852,1077952832,12348,4959,0,0,16,125,1454,111573
47,144344,84.3,12.1,54725904,48751824,5974080,11,8,3667664,212352,1011860,1077952832,12573,4996,0,0,16,125,1454,110902
48,147348,100,12.1,54725904,48751824,5974080,11,8,3667664,208276,1009260,1077952832,12817,5043,0,0,16,125,1454,111463
49,150348,87.5,12.1,54725904,48751824,5974080,11,8,3667664,201820,1002812,1077952832,13066,5084,0,0,16,125,1454,111017
50,153393,90.6,13.2,54725904,48751824,5974080,11,8,3667664,186244,958924,1077952832,13283,5126,0,0,16,125,1454,121625
51,156377,78.1,13.2,54725904,48751824,5974080,11,8,3667664,173404,979084,1077952832,13519,5159,0,0,16,125,1454,121002
52,159390,87.5,13.1,54725904,48751824,5974080,11,8,3667664,169208,974920,1077952832,13758,5197,0,0,16,125,1454,120299
53,162406,81.2,12.4,54725904,48751824,5974080,11,8,3667664,190764,996500,1077952832,14018,5240,0,0,16,125,1454,113551
