  bash arg: -p
  bash arg: com.ufotosoft.justshot
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=56ms (0ms mobile, 0ms wifi, 56ms not connected)
Starting up the app... You have 5sec to configure it.
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,133,7.6,54725904,47646672,7079232,13,21420,3667664,172316,1036936,1077952832,1445,392,0,0,10,279,1509,70398
2,11328,154,8.0,54725904,47637624,7088280,13,21420,3667664,161340,1082068,1077952832,1884,458,0,0,10,278,1509,72764
3,14421,148,6.9,54725904,47636864,7089040,13,21420,3667664,150244,1067592,1077952832,2246,498,0,0,10,270,1509,63298
4,17525,147,6.1,54725904,47636920,7088984,13,21420,3667664,111208,1000008,1077952832,2596,523,0,0,10,262,1509,54946
5,20638,148,5.3,54725904,47636492,7089412,13,21420,3667664,109296,1026452,1077952832,2981,559,0,0,10,251,1509,48932
6,23543,151,4.7,54725904,47636404,7089500,13,21420,3667664,82844,1044244,1077952832,3406,591,0,0,10,251,1509,40820
7,26944,145,4.3,54725904,47631940,7093964,13,21420,3667664,117700,1139956,1077952832,3783,615,0,0,10,250,1509,38356
8,29801,151,4.0,54725904,47631512,7094392,13,21420,3667664,125960,1173148,4211008,4170,646,0,0,10,243,1509,37379
9,32683,143,4.0,54725904,47632252,7093652,13,21420,3667664,123920,1152980,1077952832,4545,678,0,0,10,242,1509,37567
10,35508,138,3.9,54725904,47632100,7093804,13,21420,3667664,137776,1170404,1077952832,4927,713,0,0,10,242,1509,34588
11,38555,140,3.7,54725904,47604040,7121864,14,21420,3667664,156800,1258796,1077952832,5319,743,0,0,10,242,1509,32914
12,41550,158,3.5,54725904,47603692,7122212,14,21420,3667664,158480,1271016,1077952832,5678,772,0,0,10,242,1509,32899
13,44408,137,3.4,54725904,47603684,7122220,14,21420,3667664,159288,1258104,1077952832,6071,804,0,0,10,242,1509,31520
14,47218,150,3.2,54725904,47569592,7156312,14,21420,3667664,118508,1124544,1077952832,6452,832,0,0,10,239,1509,29488
15,50146,112,3.0,54725904,47559348,7166556,14,21420,3667664,139888,1144488,1077952832,6827,860,0,0,10,239,1509,27742
16,53166,142,2.9,54725904,47559288,7166616,14,21420,3667664,113664,1129996,1077952832,7172,886,0,0,10,239,1509,27291
17,56162,102,2.9,54725904,47619748,7106156,13,21420,3667664,208388,1204624,4211008,7500,924,0,0,10,239,1509,27286
18,59174,147,2.9,54725904,47618520,7107384,13,21420,3667664,130452,1132656,4211008,7856,963,0,0,10,230,1509,27309
19,62125,151,3.0,54725904,47618856,7107048,13,21420,3667664,139632,1184020,1077952832,8239,998,0,0,10,213,1509,27806
20,65024,154,3.0,54725904,47618856,7107048,13,21420,3667664,140552,1186092,4211008,8629,1031,0,0,10,213,1509,27806
21,67858,150,3.0,54725904,47618832,7107072,13,21420,3667664,167268,1201220,4211008,9033,1064,0,0,10,212,1509,27670
22,70774,145,3.0,54725904,47619156,7106748,13,21420,3667664,165276,1181584,1077952832,9426,1098,0,0,10,212,1509,27670
23,73656,145,2.9,54725904,47621648,7104256,13,21420,3667664,151248,1239248,1077952832,9833,1121,0,0,10,210,1509,26801
24,76561,150,2.9,54725904,47620452,7105452,13,21420,3667664,114904,1211544,1077952832,10232,1155,0,0,10,210,1509,26601
25,79477,148,2.8,54725904,47620452,7105452,13,21420,3667664,129028,1223084,1077952832,10624,1189,0,0,10,210,1509,26167
26,82373,154,2.7,54725904,47620452,7105452,13,21420,3667664,157684,1177804,1077952832,11010,1220,0,0,10,210,1509,25373
27,85331,134,2.7,54725904,47620452,7105452,13,21420,3667664,171476,1220460,1077952832,11371,1266,0,0,10,210,1509,25373
28,88184,148,2.7,54725904,47619160,7106744,13,21420,3667664,149604,1219228,1077952832,11769,1296,0,0,10,210,1509,25373
29,91087,161,2.7,54725904,47619152,7106752,13,21420,3667664,183296,1264628,4211008,12191,1332,0,0,10,210,1509,25373
30,94003,146,2.7,54725904,47619152,7106752,13,21420,3667664,157176,1232160,1077952832,12624,1366,0,0,10,210,1509,25563
31,96934,158,2.7,54725904,47619072,7106832,13,21420,3667664,168772,1282324,4211008,13036,1393,0,0,10,210,1509,25502
32,99780,154,2.7,54725904,47619072,7106832,13,21420,3667664,166332,1279920,4211008,13441,1424,0,0,10,210,1509,25518
33,102669,161,2.7,54725904,47619060,7106844,13,21420,3667664,153688,1275020,4211008,13847,1458,0,0,10,210,1509,25605
34,105555,158,2.7,54725904,47619060,7106844,13,21420,3667664,180256,1258808,1077952832,14255,1500,0,0,10,210,1509,25363
35,108462,162,2.7,54725904,47619048,7106856,13,21420,3667664,197904,1307652,1077952832,14673,1538,0,0,10,210,1509,25363
36,111345,156,2.7,54725904,47619048,7106856,13,21420,3667664,195440,1305408,4211008,15088,1569,0,0,10,210,1509,25363
37,114261,168,2.7,54725904,47619048,7106856,13,21420,3667664,193364,1303552,4211008,15506,1606,0,0,10,210,1509,25437
38,117182,157,2.7,54725904,47619048,7106856,13,21420,3667664,192616,1302872,1077952832,15933,1640,0,0,10,210,1509,25612
39,120076,165,2.8,54725904,47619048,7106856,13,21420,3667664,189436,1299700,1077952832,16358,1677,0,0,10,210,1509,25737
40,122990,138,2.8,54725904,47619048,7106856,13,21420,3667664,175272,1287796,4211008,16754,1719,0,0,10,210,1509,25833
41,125916,163,2.8,54725904,47619048,7106856,13,21420,3667664,165936,1250788,1077952832,17161,1756,0,0,10,210,1509,25834
42,128830,166,2.8,54725904,47619048,7106856,13,21420,3667664,156668,1270724,1077952832,17594,1789,0,0,10,210,1509,26023
