  bash arg: -p
  bash arg: sweet.facecamera.selfie
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=92ms (0ms mobile, 0ms wifi, 92ms not connected)
Starting up the app... You have 5sec to configure it.
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,167,7.1,54725904,47985508,6740396,13,8044,3667664,127568,1103496,4211008,1793,423,0,0,10,256,3726,60976
2,11295,156,6.8,54725904,47979488,6746416,13,8044,3667664,134660,1151088,4211008,2224,477,0,0,10,265,3726,63028
3,14134,148,6.9,54725904,47974904,6751000,13,8044,3667664,157200,1150596,1077952832,2618,503,0,0,10,254,3726,63290
4,16960,145,6.7,54725904,47974532,6751372,13,8044,3667664,150552,1161332,1077952832,2992,529,0,0,10,248,3726,62394
5,19814,148,7.0,54725904,47974408,6751496,13,8044,3667664,142012,1162388,1077952832,3390,556,0,0,10,229,3726,64841
6,22651,151,6.5,54725904,47977232,6748672,13,8044,3667664,136140,1170688,1077952832,3783,584,0,0,10,229,3726,59856
7,25524,167,6.5,54725904,47975836,6750068,13,8044,3667664,93312,1207540,1077952832,4182,607,0,0,10,224,3726,60457
8,28396,142,6.5,54725904,47975836,6750068,13,8044,3667664,104184,1209004,1077952832,4583,633,0,0,10,221,3726,60796
9,31309,148,6.6,54725904,47975832,6750072,13,8044,3667664,101388,1207496,4211008,4971,669,0,0,10,219,3726,61079
10,34246,139,6.6,54725904,47975832,6750072,13,8044,3667664,98408,1200560,1077952832,5346,697,0,0,10,219,3726,61023
11,37146,148,6.6,54725904,47974536,6751368,13,8044,3667664,163432,1246444,1077952832,5741,722,0,0,10,219,3726,60652
12,39981,161,6.6,54725904,47974536,6751368,13,8044,3667664,159980,1243116,4211008,6155,754,0,0,10,219,3726,60957
13,42855,146,6.5,54725904,47974536,6751368,13,8044,3667664,138772,1216812,1077952832,6550,782,0,0,10,219,3726,59452
14,45666,151,6.5,54725904,47974456,6751448,13,8044,3667664,131736,1247488,1077952832,6955,808,0,0,10,216,3726,59898
15,48504,151,5.9,54725904,47974456,6751448,13,8044,3667664,143828,1271136,4211008,7370,829,0,0,10,216,3726,54630
16,51327,151,5.9,54725904,47974456,6751448,13,8044,3667664,155336,1271932,4211008,7784,849,0,0,10,216,3726,52963
17,54157,145,5.7,54725904,47974452,6751452,13,8044,3667664,140708,1231540,1077952832,8179,879,0,0,10,216,3726,52619
18,56969,151,5.7,54725904,47974452,6751452,13,8044,3667664,138264,1259328,1077952832,8565,911,0,0,10,216,3726,52861
19,59785,164,5.8,54725904,47974452,6751452,13,8044,3667664,136144,1257440,1077952832,8973,937,0,0,10,214,3726,53746
20,62615,161,6.0,54725904,47974452,6751452,13,8044,3667664,132876,1254272,4211008,9382,967,0,0,10,200,3726,55451
21,65441,148,6.0,54725904,47974448,6751456,13,8044,3667664,157764,1250524,1077952832,9780,998,0,0,10,199,3726,55593
22,68250,153,6.0,54725904,47974448,6751456,13,8044,3667664,154800,1276468,4211008,10207,1022,0,0,10,198,3726,55919
23,71103,158,6.0,54725904,47974448,6751456,13,8044,3667664,147748,1270672,1077952832,10613,1068,0,0,10,197,3726,56552
24,73990,170,6.4,54725904,47974448,6751456,13,8044,3667664,127408,1248416,4211008,11048,1107,0,0,10,196,3726,61075
25,76876,164,7.0,54725904,47974448,6751456,13,8044,3667664,117728,1239244,1077952832,11458,1140,0,0,10,196,3726,64908
26,79726,143,7.1,54725904,47974448,6751456,13,8044,3667664,114568,1235456,1077952832,11850,1175,0,0,10,196,3726,65155
27,82545,159,7.1,54725904,47974448,6751456,13,8044,3667664,116784,1234256,1077952832,12272,1204,0,0,10,196,3726,65356
28,85419,153,7.1,54725904,47974444,6751460,13,8044,3667664,112684,1230204,4211008,12676,1242,0,0,10,196,3726,65256
29,88266,153,7.1,54725904,47974444,6751460,13,8044,3667664,107676,1197296,1077952832,13095,1277,0,0,10,196,3726,65368
30,91112,146,7.1,54725904,47974448,6751456,13,8044,3667664,105572,1223944,4211008,13496,1320,0,0,10,196,3726,65730
31,93967,146,7.1,54725904,47974448,6751456,13,8044,3667664,105052,1223432,1077952832,13903,1354,0,0,10,196,3726,65872
32,96840,150,7.1,54725904,47974448,6751456,13,8044,3667664,100068,1227500,1077952832,14319,1395,0,0,10,196,3726,65662
33,99735,159,7.1,54725904,47974444,6751460,13,8044,3667664,96148,1228572,4211008,14748,1427,0,0,10,196,3726,65263
34,102656,159,7.1,54725904,47974444,6751460,13,8044,3667664,94808,1227824,1077952832,15158,1470,0,0,10,196,3726,65486
35,105555,159,7.1,54725904,47974444,6751460,13,8044,3667664,90148,1224152,4211008,15581,1500,0,0,10,196,3726,65877
36,108463,165,7.1,54725904,47974444,6751460,13,8044,3667664,104756,1199728,1077952832,16004,1542,0,0,10,196,3726,65640
37,111351,159,6.5,54725904,47974444,6751460,13,8044,3667664,134488,1258388,1077952832,16450,1582,0,0,10,196,3726,59991
38,114278,168,6.5,54725904,47974444,6751460,13,8044,3667664,133612,1257528,1077952832,16899,1616,0,0,10,196,3726,60261
39,117198,168,6.5,54725904,47974440,6751464,13,8044,3667664,132132,1256060,4211008,17339,1655,0,0,10,196,3726,60779
40,120168,139,6.6,54725904,47974440,6751464,13,8044,3667664,145764,1270696,1077952832,17749,1699,0,0,10,196,3726,61128
41,123135,157,6.6,54725904,47974440,6751464,13,8044,3667664,139256,1237828,1077952832,18182,1727,0,0,10,196,3726,61108
42,126050,169,6.6,54725904,47974440,6751464,13,8044,3667664,138788,1266028,1077952832,18610,1779,0,0,10,196,3726,61108
43,128946,163,6.6,54725904,47974440,6751464,13,8044,3667664,137516,1264768,1077952832,19061,1807,0,0,10,196,3726,61065
44,131905,145,6.6,54725904,47974440,6751464,13,8044,3667664,129444,1228500,4211008,19506,1839,0,0,10,196,3726,60902
45,134860,139,6.7,54725904,47974440,6751464,13,8044,3667664,128672,1256508,4211008,19921,1869,0,0,10,196,3726,61637
46,137817,163,6.7,54725904,47974440,6751464,13,8044,3667664,127084,1254920,4211008,20360,1912,0,0,10,196,3726,61886
47,140765,160,6.7,54725904,47974440,6751464,13,8044,3667664,123936,1251788,1077952832,20791,1956,0,0,10,196,3726,62168
48,143681,163,6.8,54725904,47974440,6751464,13,8044,3667664,115240,1215264,4211008,21232,1988,0,0,10,196,3726,62399
49,146593,157,6.8,54725904,47974440,6751464,13,8044,3667664,109792,1239708,1077952832,21652,2016,0,0,10,196,3726,62561
50,149489,157,6.8,54725904,47974444,6751460,13,8044,3667664,108196,1239016,1077952832,22069,2050,0,0,10,196,3726,62563
51,152425,166,6.8,54725904,47974444,6751460,13,8044,3667664,107296,1238124,4211008,22508,2080,0,0,10,196,3726,62736
52,155399,160,6.8,54725904,47974444,6751460,13,8044,3667664,102168,1233012,1077952832,22935,2130,0,0,10,196,3726,62651
53,158346,160,6.8,54725904,47974444,6751460,13,8044,3667664,100620,1230336,1077952832,23373,2162,0,0,10,196,3726,62842
54,161281,148,6.8,54725904,47974444,6751460,13,8044,3667664,99296,1229104,1077952832,23783,2204,0,0,10,196,3726,63105
55,164218,151,6.9,54725904,47974440,6751464,13,8044,3667664,94824,1224700,1077952832,24211,2249,0,0,10,196,3726,63286
56,167169,163,6.8,54725904,47974440,6751464,13,8044,3667664,138320,1229108,4211008,24643,2293,0,0,10,196,3726,63230
57,170102,157,6.9,54725904,47974436,6751468,13,8044,3667664,137248,1256748,1077952832,25074,2335,0,0,10,196,3726,63352
58,173046,160,6.9,54725904,47974436,6751468,13,8044,3667664,137548,1257060,1077952832,25520,2366,0,0,10,196,3726,63422
59,175997,161,6.9,54725904,47974436,6751468,13,8044,3667664,132744,1252304,4211008,25935,2399,0,0,10,196,3726,63426
60,178904,157,6.9,54725904,47974436,6751468,13,8044,3667664,129000,1248924,4211008,26369,2429,0,0,10,196,3726,63774
