  bash arg: -p
  bash arg: com.ufotosoft.justshot
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=33ms (0ms mobile, 0ms wifi, 33ms not connected)
Starting up the app... You have 5sec to configure it.
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,109,8.0,54725904,47654204,7071700,13,24816,3667664,36868,1053152,4213056,1450,383,0,0,10,268,1569,68368
2,11922,185,6.5,54725904,47645384,7080520,13,24816,3667664,97832,1051656,1077952832,1858,455,0,0,10,271,1569,58855
3,15005,150,5.4,54725904,47645276,7080628,13,24816,3667664,94000,1080328,1077952832,2252,490,0,0,10,262,1569,47897
4,18153,134,4.8,54725904,47641268,7084636,13,24816,3667664,85612,1106952,1077952832,2628,528,0,0,10,262,1569,43790
5,21088,128,4.8,54725904,47640516,7085388,13,24816,3667664,121624,1181356,1077952832,3030,562,0,0,10,244,1569,44825
6,24085,146,4.8,54725904,47640672,7085232,13,24816,3667664,104740,1160456,1077952832,3422,589,0,0,10,244,1569,44351
7,26987,151,3.9,54725904,47640568,7085336,13,24816,3667664,174056,1219800,1077952832,3797,625,0,0,10,243,1569,36429
8,29863,148,3.9,54725904,47640000,7085904,13,24816,3667664,116684,1216500,4211008,4183,663,0,0,10,237,1569,36351
9,32761,129,3.9,54725904,47611932,7113972,13,24816,3667664,103156,1239944,4211008,4567,699,0,0,10,236,1569,35875
10,35783,134,3.9,54725904,47611588,7114316,13,24816,3667664,111928,1263204,1077952832,4928,719,0,0,10,236,1569,35766
11,38655,153,3.8,54725904,47611552,7114352,13,24816,3667664,96572,1167528,1077952832,5311,744,0,0,10,236,1569,35458
12,41531,148,3.8,54725904,47569548,7156356,14,24816,3667664,111496,1164552,4211008,5701,784,0,0,10,235,1569,34937
13,44506,120,3.7,54725904,47567172,7158732,14,24816,3667664,87864,1167756,4211008,6104,810,0,0,10,235,1569,34707
14,47629,145,3.7,54725904,47612220,7113684,13,24816,3667664,149928,1232268,4211008,6463,839,0,0,10,234,1569,34716
15,50582,135,3.7,54725904,47612184,7113720,13,24816,3667664,126108,1218336,1077952832,6864,874,0,0,10,234,1569,34782
16,53648,156,3.7,54725904,47611372,7114532,14,24816,3667664,129572,1223888,1077952832,7265,906,0,0,10,234,1569,34782
17,56538,158,3.7,54725904,47611372,7114532,14,24816,3667664,125300,1249296,4211008,7667,939,0,0,10,234,1569,34782
18,59458,154,3.7,54725904,47611372,7114532,14,24816,3667664,113124,1256008,1077952832,8072,968,0,0,10,216,1569,34872
19,62361,161,3.8,54725904,47611372,7114532,14,24816,3667664,119036,1237636,4211008,8466,1007,0,0,10,207,1569,34960
20,65295,148,3.8,54725904,47703504,7022400,13,24816,3667664,131276,1276984,4211008,8841,1038,0,0,10,207,1569,34877
21,68153,156,3.7,54725904,47613864,7112040,13,24816,3667664,131288,1295904,1077952832,9229,1073,0,0,10,207,1569,34532
22,71071,153,3.7,54725904,47612668,7113236,13,24816,3667664,99872,1269688,1077952832,9636,1099,0,0,10,204,1569,34592
23,74021,142,3.9,54725904,47612664,7113240,13,24816,3667664,112004,1245760,1077952832,10052,1124,0,0,10,204,1569,37180
24,77039,140,4.0,54725904,47612664,7113240,13,24816,3667664,113548,1276048,1077952832,10464,1153,0,0,10,204,1569,37506
25,79968,138,4.0,54725904,47612664,7113240,13,24816,3667664,110708,1272972,1077952832,10859,1184,0,0,10,204,1569,37506
26,82898,139,4.1,54725904,47611376,7114528,14,24816,3667664,94720,1274420,1077952832,11251,1222,0,0,10,204,1569,37715
27,85864,164,3.8,54725904,47611364,7114540,14,24816,3667664,143604,1283380,1077952832,11666,1254,0,0,10,204,1569,35232
28,88757,148,3.8,54725904,47611364,7114540,14,24816,3667664,131988,1307212,1077952832,12058,1290,0,0,10,204,1569,35047
29,91652,153,3.7,54725904,47611284,7114620,14,24816,3667664,132036,1315984,1077952832,12470,1319,0,0,10,204,1569,34560
30,94575,143,3.7,54725904,47611272,7114632,14,24816,3667664,132804,1314872,1077952832,12887,1348,0,0,10,204,1569,34547
31,97485,153,3.7,54725904,47611268,7114636,14,24816,3667664,135820,1315332,4211008,13296,1382,0,0,10,204,1569,34381
32,100392,153,3.7,54725904,47611268,7114636,14,24816,3667664,156884,1336712,1077952832,13715,1415,0,0,10,204,1569,34381
33,103311,146,3.7,54725904,47611256,7114648,14,24816,3667664,154948,1336060,4211008,14131,1447,0,0,10,204,1569,34381
34,106235,156,3.7,54725904,47611256,7114648,14,24816,3667664,152440,1333860,4211008,14549,1479,0,0,10,204,1569,34381
35,109140,154,3.7,54725904,47611260,7114644,14,24816,3667664,155272,1312656,1077952832,14946,1517,0,0,10,204,1569,34224
36,112054,159,3.7,54725904,47611260,7114644,14,24816,3667664,150116,1336284,4211008,15352,1552,0,0,10,204,1569,34244
37,114978,156,3.7,54725904,47611260,7114644,14,24816,3667664,147568,1333752,1077952832,15758,1598,0,0,10,204,1569,34244
38,117912,151,3.7,54725904,47611256,7114648,14,24816,3667664,137784,1295564,4211008,16160,1632,0,0,10,204,1569,33838
39,120859,162,3.7,54725904,47611256,7114648,14,24816,3667664,138656,1322732,4211008,16578,1677,0,0,10,204,1569,33878
