  bash arg: -p
  bash arg: com.ufotosoft.justshot
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=58ms (0ms mobile, 0ms wifi, 58ms not connected)
Starting up the app... You have 5sec to configure it.
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,153,7.4,54725904,47616284,7109620,13,24816,3667664,129648,1124020,4211008,1657,362,0,0,10,272,1558,69800
2,11417,153,7.7,54725904,47607624,7118280,14,24816,3667664,154572,1071948,4211008,2086,416,0,0,10,278,1558,71604
3,14278,171,7.8,54725904,47607168,7118736,14,24816,3667664,156540,1064632,4211008,2478,454,0,0,10,272,1558,71902
4,17179,151,7.9,54725904,47606668,7119236,14,24816,3667664,168788,1107336,1077952832,2866,481,0,0,10,269,1558,73372
5,20072,158,8.1,54725904,47606568,7119336,14,24816,3667664,167104,1108004,1077952832,3271,511,0,0,10,259,1558,74374
6,22954,161,8.1,54725904,47606568,7119336,14,24816,3667664,181952,1123744,1077952832,3688,534,0,0,10,257,1558,74461
7,25814,151,7.5,54725904,47606024,7119880,14,24816,3667664,178284,1101104,1077952832,4093,573,0,0,10,256,1558,69550
8,28686,148,7.5,54725904,47606024,7119880,14,24816,3667664,173364,1126084,1077952832,4503,600,0,0,10,256,1558,69667
9,31569,133,7.6,54725904,47606024,7119880,14,24816,3667664,170996,1124200,4211008,4901,629,0,0,10,250,1558,69920
10,34445,154,7.6,54725904,47606028,7119876,14,24816,3667664,169160,1122468,1077952832,5285,660,0,0,10,250,1558,69990
11,37290,158,7.6,54725904,47606016,7119888,14,24816,3667664,154820,1081332,1077952832,5685,694,0,0,10,250,1558,70308
12,40167,139,7.6,54725904,47606016,7119888,14,24816,3667664,154736,1109944,4211008,6091,732,0,0,10,249,1558,70434
13,43102,151,7.7,54725904,47606016,7119888,14,24816,3667664,151312,1107124,1077952832,6482,773,0,0,10,249,1558,70741
14,45941,145,7.7,54725904,47606016,7119888,14,24816,3667664,146216,1103184,1077952832,6890,804,0,0,10,248,1558,71107
15,48782,148,7.7,54725904,47606008,7119896,14,24816,3667664,135724,1064592,1077952832,7291,832,0,0,10,248,1558,71035
16,51628,151,7.7,54725904,47606008,7119896,14,24816,3667664,157128,1125684,4211008,7692,861,0,0,10,248,1558,71213
17,54517,151,7.7,54725904,47606008,7119896,14,24816,3667664,154276,1123096,1077952832,8096,900,0,0,10,248,1558,71373
18,57419,153,7.8,54725904,47606008,7119896,14,24816,3667664,151656,1120484,4211008,8515,933,0,0,10,248,1558,71646
19,60363,154,7.9,54725904,47606000,7119904,14,24816,3667664,135672,1076756,1077952832,8924,959,0,0,10,226,1558,73574
20,63242,148,8.0,54725904,47606028,7119876,14,24816,3667664,131352,1102312,1077952832,9311,993,0,0,10,221,1558,74053
21,66173,158,8.0,54725904,47606028,7119876,14,24816,3667664,130004,1101008,1077952832,9707,1025,0,0,10,221,1558,74270
22,69056,161,8.1,54725904,47606028,7119876,14,24816,3667664,124280,1097548,4211008,10123,1058,0,0,10,220,1558,74467
23,71944,156,8.1,54725904,47606028,7119876,14,24816,3667664,122520,1095816,1077952832,10540,1099,0,0,10,218,1558,74751
24,74858,161,8.1,54725904,47606028,7119876,14,24816,3667664,125672,1095192,4211008,10960,1127,0,0,10,218,1558,74873
25,77705,148,8.1,54725904,47606028,7119876,14,24816,3667664,132284,1092276,1077952832,11371,1152,0,0,10,218,1558,75062
26,80585,158,8.1,54725904,47606020,7119884,14,24816,3667664,115988,1058256,1077952832,11790,1177,0,0,10,218,1558,74984
27,83505,156,8.1,54725904,47606020,7119884,14,24816,3667664,114428,1085580,4211008,12214,1209,0,0,10,218,1558,75097
28,86404,164,8.1,54725904,47606020,7119884,14,24816,3667664,122228,1084352,1077952832,12639,1248,0,0,10,218,1558,75270
29,89297,148,8.2,54725904,47606020,7119884,14,24816,3667664,120980,1083216,1077952832,13045,1277,0,0,10,218,1558,75270
30,92183,156,7.5,54725904,47605948,7119956,14,24816,3667664,133132,1071068,1077952832,13465,1313,0,0,10,218,1558,69311
31,95129,159,7.7,54725904,47605948,7119956,14,24816,3667664,132312,1098944,4211008,13895,1345,0,0,10,218,1558,70724
32,98046,156,7.7,54725904,47605948,7119956,14,24816,3667664,126852,1093588,1077952832,14311,1373,0,0,10,218,1558,71191
33,100954,165,7.7,54725904,47605948,7119956,14,24816,3667664,126152,1092888,1077952832,14733,1407,0,0,10,218,1558,71297
34,103878,162,7.7,54725904,47605948,7119956,14,24816,3667664,158468,1125952,1077952832,15152,1445,0,0,10,218,1558,71192
